project_id,action,final_year,final_units,final_building_sqft,final_land_sqft,allow_far,allow_dupac,year_source,units_source,building_source,land_source,evidence_ids,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status,decision_source
commercial_14084040010000,retain_dupac_only,2022,64,,NA,FALSE,TRUE,permit_100900621_and_commercial_2024,permit_100906143_and_commercial_2024,,construction_year_parcel_union,permits_100900621/100906143,,high,The project has verified units and site area but no comparable gross building area,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_14171200250000,retain_dupac_only,2022,26,,NA,FALSE,TRUE,permits_100873964/100878203_and_commercial_2024,permit_100878203_and_commercial_2024,,construction_year_parcel_union,permits_100873964/100878203,,high,The completed revision and assessor report establish 26 units but no comparable gross building area,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_14201040060000,retain_dupac_only,2022,9,,NA,FALSE,TRUE,permit_100817949_and_commercial_2024,commercial_2024_apartment_breakdown,,construction_year_parcel_union,permit_100817949/commercial_2024,,high,The project has verified units and site area but no comparable gross building area,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_14202240190000,retain_dupac_only,2022,18,,NA,FALSE,TRUE,permit_100890019_and_commercial_2024,permit_100890019_and_commercial_2024,,construction_year_parcel_union,permit_100890019,,high,The project has verified units and site area but no comparable gross building area,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_14203080100000,retain_dupac_only,2022,53,,NA,FALSE,TRUE,permit_100912748_and_commercial_2024,commercial_2024_apartment_breakdown,,construction_year_parcel_union,permit_100912748/commercial_2024,,high,The project has verified units and site area but no comparable gross building area,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_14213040110000,retain_dupac_only,2022,198,,NA,FALSE,TRUE,permit_100875573_and_commercial_2024,permit_100875573_and_commercial_2024,,construction_year_parcel_union,permits_100875573/100889829/100895324,,high,The project has verified units and site area but no comparable gross building area,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_14291000140000,retain_dupac_only,2022,9,,NA,FALSE,TRUE,commercial_2024,commercial_2024_apartment_breakdown,,construction_year_parcel_union,commercial_2024/address_permit_history,,medium,The latest assessor report identifies nine apartments and a verified site but no comparable gross building area,The new-construction permit was not recovered in the available address history,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_13142030200000,retain_source_units,2008,60,98988,NA,TRUE,TRUE,commercial_2024_and_city_building_year,commercial_2024_apartment_breakdown,commercial_2024,construction_year_parcel_union,permit_100202286/commercial_2024/city_building_footprints,,high,The completed assessor record establishes 60 units while the permit authorized 59,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_13253150250000,retain_permit_revision_units,2006,8,10750,NA,TRUE,TRUE,commercial_2024_and_permit_chain,final_permit_revision,commercial_2024,construction_year_parcel_union,permit_100137585_revision_chain,,high,The permit chain revises the authorized count from six to eight units and supersedes the seven-unit assessor count,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_13364140420000,retain_permit_units,2020,7,14422,NA,TRUE,TRUE,permit_100739501_and_commercial_2021,permit_100739501,commercial_2021,construction_year_parcel_union,permit_100739501,,high,The issued new-construction permit identifies seven units while the assessor source reports six,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_16111020190000,retain_permit_revision_units,2020,7,8307,NA,TRUE,TRUE,permit_100744642_and_commercial_2024,permit_revision_100828527,commercial_2024,construction_year_parcel_union,permits_100744642/100828527,,high,The revision increases the completed project from six to seven units and the permit timing supports a 2020 completion year,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_17053010190000,retain_completed_units,2015,40,40853,NA,TRUE,TRUE,commercial_2024_and_project_opening,commercial_2024_and_project_record,commercial_2024,construction_year_parcel_union,permit_100547689/Wicker_Park_Lofts,https://yochicago.com/new-wicker-park-lofts-now-leasing-apartments/,high,The completed building contains 40 apartments despite an earlier 41-unit permit count,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_13093170070000,retain_completed_units,2020,8,9102,NA,TRUE,TRUE,commercial_2024,commercial_2024_post_completion_assessment,commercial_2024,construction_year_parcel_union,permit_100752414/commercial_2024,,high,The later assessor records eight completed apartments rather than the seven units authorized by the earlier permit,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_14204180360000,retain_completed_units,2021,139,123832,NA,TRUE,TRUE,commercial_2024,commercial_2024_post_completion_assessment,commercial_2021_stable_membership_fallback,construction_year_parcel_union,permits_100794249/100879049/commercial_2021_2024,https://www.crexi.com/lease/properties/243763/illinois-3300-n-clark-st,high,The completed assessor record contains 139 apartments while the plans and permits authorized 140; the earlier vintage supplies gross building area for the same PIN,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_14213120380000,retain_dupac_only,2017,18,,NA,FALSE,TRUE,commercial_2024,commercial_2024_post_completion_assessment,,construction_year_parcel_union,permit_100588610/commercial_2024,,high,The completed assessor record and permit chain establish 18 apartments but no comparable gross building area is available,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_14283160520000,retain_dupac_only,2022,14,,NA,FALSE,TRUE,commercial_2024,permit_100861679_and_commercial_2024,,construction_year_parcel_union,permit_100861679/commercial_2024,,high,The completed permit and assessor record establish 14 apartments but no comparable gross building area is available,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_17102120370000,retain_completed_units,2017,490,896277,100946,TRUE,TRUE,project_completion_record,permit_chain_commercial_2021_and_project_record,commercial_2024,stable_commercial_2021_2024,permits_100561443/100600523/100609789/100625206/100820991/Optima_Signature,https://www.optima.inc/projects/optima-signature/,high,The assessor parcel address is 240 E Illinois but the permit chain and physical fields identify the 490-unit Optima Signature tower at 220 E Illinois completed in 2017,,codex_audit,2026-07-21,reviewed_evidence,field_ledger
commercial_16242010140000,retain_cross_family_resolution,2010,5,7635,5691,TRUE,TRUE,permit_100349959,permit_100349959_and_residential_post_completion_assessment,stable_commercial_2021_2024,stable_commercial_2021_2024,permit_100349959/commercial_rows_60518_83660/residential_assessor_16242010150000,,high,The two component PINs form one 1218-20 S Washtenaw project. The issued permit and later residential assessment identify five completed units; the stable commercial records supply whole-site building and land area.,,codex_audit,2026-07-23,reviewed_evidence,field_ledger
commercial_17042220640000,retain_override,2017,390,768240,68857,TRUE,TRUE,developer_reported_completion_2017,commercial_2024_apartment_unit_sum_rows:43138,commercial_2024_rows:43138,commercial_2024_rows:43138,,https://www.fifieldco.com/projects/the-sinclair/,high,Developer explicitly reports the 390-unit Sinclair completed in 2017; preserve Assessor unit and area measurements.,,codex_source_review,2026-09-08,reviewed_evidence,field_ledger
