source_project_id,override_action,override_final_project_id,override_condo_base,override_year,override_units,override_building_sqft,override_land_sqft,override_allow_far,override_allow_dupac,decision_reason,evidence_ids,confidence
residential_tieback_14171150250000,retain_override,residential_condo_1417115041,1417115041,2022,9,20875,8095,TRUE,TRUE,Two tied predecessor PINs became one nine-unit condominium building; the successor cohort repeats the same total building area and the modal site area is 8095 square feet.,condo_base_1417115041/permit_100850654,high
residential_tieback_14171150260000,retain_override,residential_condo_1417115041,1417115041,2022,9,20875,8095,TRUE,TRUE,Two tied predecessor PINs became one nine-unit condominium building; the successor cohort repeats the same total building area and the modal site area is 8095 square feet.,condo_base_1417115041/permit_100850654,high
residential_297_group_20112050550000,exclude_not_ground_up,"","","","","","","","",Permit history describes alterations and partial reconstruction of an existing building rather than ground-up construction.,permit_history_4840_s_dorchester,high
residential_297_group_17213050450000,exclude_not_ground_up,"","","","","","","","",Permit history describes a six-story addition and interior conversion of an existing five-story building rather than ground-up construction.,permit_history_1600_s_jefferson/condo_base_1721305046,high
residential_297_group_16014080410000,retain_override,residential_16014080410000,,2022,2,,3125,FALSE,TRUE,The new-construction permit expired but the later class-297 assessor record reports the completed two-unit building; building square footage remains unavailable.,permit_100911590/assessor_pin_16014080410000,medium
residential_tieback_17062210310000,exclude_unbuilt,"","","","","","","","",The only matched new-construction permit expired and neither a successor condominium cohort nor a new city building record confirms completion.,permit_100773601,high
residential_tieback_16014300040000,retain_override,residential_condo_1601430013,1601430013,2022,17,,16929,FALSE,TRUE,The tied predecessor lineages form one completed seventeen-unit project; the successor cohort contains seventeen residential and ten parking PINs and reports a modal site area of 16929 square feet.,condo_base_1601430013/permit_100850870,high
residential_tieback_16014300050000,retain_override,residential_condo_1601430013,1601430013,2022,17,,16929,FALSE,TRUE,The tied predecessor lineages form one completed seventeen-unit project; the successor cohort contains seventeen residential and ten parking PINs and reports a modal site area of 16929 square feet.,condo_base_1601430013/permit_100850870,high
residential_297_group_17092060350000,replace_by_commercial,commercial_17092060390000,1709206042,,,,,,,The two class-297 predecessor rows and the retained commercial record describe the same seventy-seven-unit project.,commercial_17092060390000/condo_base_1709206042,high
residential_297_group_17092060370000,replace_by_commercial,commercial_17092060390000,1709206042,,,,,,,The two class-297 predecessor rows and the retained commercial record describe the same seventy-seven-unit project.,commercial_17092060390000/condo_base_1709206042,high
residential_297_group_14202150290000,retain_override,residential_condo_1420215058,1420215058,2021,3,4940,3125,TRUE,TRUE,A 2020 demolition followed by a new 2021 class-297 assessor card and a three-unit successor condominium cohort identifies ground-up construction.,demolition_3742_n_clifton/condo_base_1420215058,high
