source_project_id,final_project_id,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,application_scope,decision_source,decision_reason,evidence_ids,evidence_urls
residential_tieback_13261060030000,residential_tieback_13261060030000,2017,6,8640,6250,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,An exact completed permit and duplicated tied-PIN cards identify one six-unit building.,permit_2777111/current_pins_13261060030000_13261060040000,NA
residential_tieback_13361070880000,residential_tieback_13361070880000,2007,2,5400,4848,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,An exact completed mixed-use new-construction permit and the tied assessor cards identify one two-unit residential building above commercial space.,permit_1794902/current_pins_13361070880000_13361070890000,NA
residential_tieback_14193230280000,residential_tieback_14193230280000,2008,6,10900,6223,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,The expired six-unit permit was followed by a six-unit successor condominium cohort reporting a 2008 building.,permit_1846600/condo_base_1419323054,NA
residential_tieback_14201180260000,residential_tieback_14201180260000,2011,6,15238,6075,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,An exact completed six-unit permit and the successor condominium cohort identify the same 2011 project.,permit_2382251/condo_base_1420118051,NA
residential_tieback_14203270150000,residential_tieback_14203270150000,2012,6,9236,5976,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,The exact permit establishes 2012 construction and the successor condominium cohort supplies the six-unit building fields.,permit_2369042/condo_base_1420327051,NA
residential_tieback_14311070100000,residential_tieback_14311070100000,2012,4,9457,6250,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,The exact permit and predecessor assessor records identify the 2012 four-unit project; a 2021 successor cohort is a later redevelopment and is not used.,permit_2353212/predecessor_pins_14311070100000_14311070110000,NA
residential_tieback_14313240020000,residential_tieback_14313240020000,2018,4,5855,4800,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,The exact four-unit permit and tied assessor cards identify the completed 2018 building.,permit_2910464/current_pins_14313240020000_14313240030000,NA
residential_tieback_16012070380000,residential_tieback_16012070380000,2007,5,13308,5271,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,A completed five-unit permit and the five-unit successor condominium cohort identify the completed 2007 project.,permit_1659594/condo_base_1601207051,NA
residential_tieback_16012250060000,residential_tieback_16012250060000,2017,6,12939,6000,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,An exact completed permit and duplicated tied-PIN cards identify one six-unit building.,permit_2662400/current_pins_16012250060000_16012250070000,NA
residential_tieback_16014090530000,residential_tieback_16014090530000,2010,6,11024,6013,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,Two exact three-unit permits and two three-unit successor cohorts identify one six-unit two-building site completed in 2010.,permits_2156908_2156907/condo_bases_1601409065_1601409066,NA
residential_tieback_17051160110000,residential_tieback_17051160110000,2011,5,8380,5318,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,The five-unit permit and five-unit successor condominium cohort identify a completed 2011 building despite the permit status.,permit_2189499/condo_base_1705116130,NA
residential_tieback_17053080540000,residential_tieback_17053080540000,2008,6,16000,6345,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,An exact completed six-unit permit and the successor condominium cohort identify the same 2008 project.,permit_1941475/condo_base_1705308126,NA
residential_tieback_17053210120000,residential_tieback_17053210120000,2008,5,8200,4050,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,The five-unit new-construction permit and five-unit successor condominium cohort identify the completed 2008 project.,permit_1697792/condo_base_1705321039,NA
residential_tieback_17063260150000,residential_tieback_17063260150000,2008,6,12404,5926,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,An exact six-unit permit and the six-unit successor condominium cohort identify the completed 2008 project.,permit_1837685/condo_base_1706326045,NA
residential_tieback_17203090110000,residential_tieback_17203090110000,2007,6,9700,6204,TRUE,TRUE,unresolved_building,residential_tieback_no_snapshot_decisions.csv,An exact completed six-unit permit and the six-unit successor condominium cohort identify the completed 2007 project.,permit_1725170/condo_base_1720309044,NA
