project_id,component_id,disposition,successor_rule,confidence,evidence
residential_multicard_13221240150000,episode_009,retain_card_inventory,suppress_matched_successors,high,"Three construction-year cards contain three units; three later rows reproduce those cards, while one unmatched neighboring row remains separate."
residential_multicard_13252030410000,episode_019,retain_card_inventory,suppress_matched_successors,high,"Two construction-year cards contain two units; two later rows reproduce those cards, while three unmatched neighboring rows remain separate."
residential_multicard_13254120290000,episode_020,retain_card_inventory,suppress_matched_successors,high,Two construction-year cards contain two units. One later Rockwell row reproduces one card; the other card remains represented by the parent inventory.
residential_multicard_13353210020000,episode_023,retain_card_inventory,suppress_matched_successors,high,Three construction-year cards contain three units and transition to three matched Monticello rows.
residential_multicard_17211230250000,episode_057,retain_card_inventory,suppress_matched_successors,high,Five construction-year cards contain five units. One later row reproduces one card; unmatched nearby Emerald and 15th Street rows remain separate.
residential_multicard_17215060040000,episode_060,retain_card_inventory,suppress_matched_successors,high,Twelve construction-year cards contain twelve units; six later rows reproduce individual cards and the remaining nearby rows represent additional buildings.
residential_multicard_17215060456002,episode_059,retain_card_inventory,suppress_matched_successors,high,Seven construction-year cards contain seven units; five later rows reproduce individual cards and the unmatched Union and 16th Street rows remain separate.
residential_multicard_17271090050000,episode_064,retain_card_inventory,suppress_matched_successors,high,Twenty-five construction-year cards contain twenty-five units and match twenty-five later Wabash rows. Two unmatched later rows remain separate projects.
residential_multicard_17271090190000,episode_063,retain_card_inventory,suppress_matched_successors,high,Fifteen construction-year cards contain fifteen units; thirteen later Wabash rows reproduce individual cards. The remaining cards stay in the parent inventory.
residential_multicard_17271290150000,episode_066,retain_card_inventory,suppress_matched_successors,high,Twenty-nine distinct construction-year townhouse cards describe the Eastgate and Calumet portion of the development. Four later rows reproduce individual cards.
residential_multicard_17271290160000,episode_069,retain_card_inventory,none,high,Four distinct 2007 townhouse cards on the larger 208 E 25th parcel do not match the separate nine-townhouse 2008 parcel and are retained independently.
residential_multicard_19111200130000,episode_081,retain_card_inventory,suppress_matched_successors,high,Seven construction-year townhouse cards match seven later 50th and 51st Street rows.
