pin,address,assessor_cards,one_card_units,one_card_sqft,naive_units,naive_sqft,physical_buildings,verified_units,verified_sqft,construction_date,classification,confidence,evidence
11303200330000,7215 N Oakley Ave,9,1,1926,9,17334,1 attached row,9,17334,2007,confirmed repeated townhouse units,high,"City permit 100155215 says TOWNHOUSE 9 UNITS; the 2008 footprint and current imagery show the completed attached row."
13141270250000,3630 W Montrose Ave,4,6,7680,24,30720,4,24,30720,2011,confirmed repeated buildings,high,"City permits 100408551, 100408557, 100408561, and 100408630 authorize four separate six-unit buildings at 3634, 3640, 3644, and 3648 W Montrose."
13322180280000,5612 W Grand Ave,2,3,4224,6,8448,3,9,12672,2020-2022,assessor cards undercount project,high for units; medium for sqft,"City permits 100877275, 100877276, and 100877278 authorize three separate three-unit buildings at 5612, 5614, and 5618 W Grand; the 2022 footprint layer shows three principal buildings. Verified sqft assumes the missing third building matches the two identical assessor cards."
14074070280000,5040 N Ravenswood Ave,2,1,1775,2,3550,1,1,,2006-2008,duplicate or administrative cards,high for units; unresolved sqft,"City permit 100152693 authorizes one single-family residence. Public records describe one detached house; CCAO changed this PIN from two identical 1775-sq-ft cards through 2023 to one 3154-sq-ft card in 2024."
14074070290000,5044 N Ravenswood Ave A/B,2,1,1775,2,3550,1,1,,2006-2008,duplicate or administrative cards,high for units; unresolved sqft,"City permit 100151080 authorizes one single-family residence. MLS and public records describe one 4500-sq-ft detached house, while CCAO retains two identical 1775-sq-ft cards; listing area is not necessarily comparable to assessor above-grade area."
14301010390000,3118 N Clybourn Ave,2,6,12406,12,24812,1,6,12406,2019-2021,duplicate or administrative cards,high,"City permit 100754305 authorizes one six-unit apartment building. Public records report one building and 12406 sq ft; the two identical assessor cards double the completed project."
17173330340000,1115-1117 S Throop St,4,2,2352,8,9408,2,4,4704,2007-2009,duplicated building sections,high for units; medium for sqft,"City permit 100192645 authorizes four dwellings at 1115-1117 S Throop. HUD identifies two building records, 1115 and 1117, with two units each. Verified sqft treats one 2352-sq-ft card as each HUD building rather than summing all four cards."
19083090620000,5245-5249 S Mulligan Ave,2,1,1416,2,2832,2,2,2832,2021-2022,confirmed repeated buildings,high,"City permits 100922803 and 100922805 authorize separate single-family residences at 5245 and 5249 S Mulligan; current footprints show two principal houses."
20211200220000,501-505 W 65th Pl,5,2,2210,10,11050,shared tied project,10,11050,2006-2008,tieback duplicate across two PINs,high for duplication; medium for project total,"PINs 20211200220000 and 20211200230000 each repeat the same five cards and carry tieback and card proration rates of 0.5. Address-level permits cross-reference the two PINs; public property records report 10 units and 11050 sq ft. Count the project once, not once per PIN."
20211200230000,501-505 W 65th Pl,5,2,2210,10,11050,shared tied project,10,11050,2006-2008,tieback duplicate across two PINs,high for duplication; medium for project total,"PINs 20211200220000 and 20211200230000 each repeat the same five cards and carry tieback and card proration rates of 0.5. Address-level permits cross-reference the two PINs; public property records report 10 units and 11050 sq ft. Count the project once, not once per PIN."
20211200290000,500 W 66th St,5,2,2210,10,11050,1,10,11050,2006-2008,confirmed repeated building sections,high,"The county improvement records contain five two-unit cards; LoopNet reports 11050 sq ft and Crexi reports one 10-unit building. The current footprint is one principal building."
20231160220000,6546-6548 S Greenwood Ave,2,2,2630,4,5260,2,4,5260,2006,confirmed repeated buildings,high,"City permits 100110271 and 100110747 authorize separate two-flat buildings at 6546 and 6548 S Greenwood."
25194060030000,11611-11613 S Vincennes Ave,2,3,3648,6,7296,2,6,7296,2008,confirmed repeated buildings,high,"City permits 100215649 and 100215668 authorize separate three-unit buildings at 11611 and 11613 S Vincennes."
