source_project_id,decision_action,final_project_id,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,year_source,units_source,building_source,land_source,decision_reason,evidence_ids,confidence
residential_tieback_11321160120000,retain_override,residential_tieback_11321160120000,2010,6,7368,6501,TRUE,TRUE,current_successor_assessor,current_successor_assessor,current_successor_assessor,current_successor_assessor,A 2006 demolition and the later successor PIN identify a six-unit building reported as built in 2010.,demolition_100091365/current_pin_11321160360000,medium
residential_tieback_13233000050000,exclude_unbuilt,"","","","","",FALSE,FALSE,"","","","",The only nearby ten-unit new-construction permit expired and the parcel continued to report a 1900 one-unit building.,permit_100170361/current_pin_13233000050000,high
residential_tieback_13261060030000,retain_override,residential_tieback_13261060030000,2017,6,8640,6250,TRUE,TRUE,assessor_tieback_and_exact_permit,assessor_tieback_and_exact_permit,assessor_tieback,assessor_tieback_site_land,An exact completed permit and duplicated tied-PIN cards identify one six-unit building.,permit_2777111/current_pins_13261060030000_13261060040000,high
residential_tieback_13361070880000,retain_override,residential_tieback_13361070880000,2007,2,5400,4848,TRUE,TRUE,assessor_tieback_and_exact_permit,assessor_tieback,assessor_tieback,assessor_tieback_site_land,An exact completed mixed-use new-construction permit and the tied assessor cards identify one two-unit residential building above commercial space.,permit_1794902/current_pins_13361070880000_13361070890000,high
residential_tieback_14193230280000,retain_override,residential_tieback_14193230280000,2008,6,10900,6223,TRUE,TRUE,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,The expired six-unit permit was followed by a six-unit successor condominium cohort reporting a 2008 building.,permit_1846600/condo_base_1419323054,high
residential_tieback_14201180260000,retain_override,residential_tieback_14201180260000,2011,6,15238,6075,TRUE,TRUE,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,An exact completed six-unit permit and the successor condominium cohort identify the same 2011 project.,permit_2382251/condo_base_1420118051,high
residential_tieback_14203270150000,retain_override,residential_tieback_14203270150000,2012,6,9236,5976,TRUE,TRUE,exact_completed_permit,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,The exact permit establishes 2012 construction and the successor condominium cohort supplies the six-unit building fields.,permit_2369042/condo_base_1420327051,high
residential_tieback_14311070100000,retain_override,residential_tieback_14311070100000,2012,4,9457,6250,TRUE,TRUE,exact_completed_permit,construction_episode_assessor,construction_episode_assessor,construction_episode_site_land,The exact permit and predecessor assessor records identify the 2012 four-unit project; a 2021 successor cohort is a later redevelopment and is not used.,permit_2353212/predecessor_pins_14311070100000_14311070110000,high
residential_tieback_14313240020000,retain_override,residential_tieback_14313240020000,2018,4,5855,4800,TRUE,TRUE,assessor_tieback_and_exact_permit,assessor_tieback_and_exact_permit,assessor_tieback,assessor_tieback_site_land,The exact four-unit permit and tied assessor cards identify the completed 2018 building.,permit_2910464/current_pins_14313240020000_14313240030000,high
residential_tieback_14314280410000,retain_override,residential_tieback_14314280410000,2011,5,14056,5828,TRUE,TRUE,current_successor_assessor_and_permits,new_construction_permit,current_successor_assessor,current_successor_assessor,Demolition and new-construction permits at 1746 West North are followed by an elevator permit and a five-unit 2011 successor building; the separate 2015 building is excluded from this project.,demolition_1806337/new_permit_1826362/elevator_1962953/current_pin_14314280550000,high
residential_tieback_16012070380000,retain_override,residential_tieback_16012070380000,2007,5,13308,5271,TRUE,TRUE,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,A completed five-unit permit and the five-unit successor condominium cohort identify the completed 2007 project.,permit_1659594/condo_base_1601207051,high
residential_tieback_16012250060000,retain_override,residential_tieback_16012250060000,2017,6,12939,6000,TRUE,TRUE,assessor_tieback_and_exact_permit,assessor_tieback_and_exact_permit,assessor_tieback,assessor_tieback_site_land,An exact completed permit and duplicated tied-PIN cards identify one six-unit building.,permit_2662400/current_pins_16012250060000_16012250070000,high
residential_tieback_16014090530000,retain_override,residential_tieback_16014090530000,2010,6,11024,6013,TRUE,TRUE,exact_completed_permits_and_successor_cohorts,successor_condo_cohorts,successor_condo_cohorts,successor_condo_cohorts,Two exact three-unit permits and two three-unit successor cohorts identify one six-unit two-building site completed in 2010.,permits_2156908_2156907/condo_bases_1601409065_1601409066,high
residential_tieback_16134150190000,exclude_not_ground_up,"","","","","",FALSE,FALSE,"","","","",The permit history describes structural alterations and revisions to an existing building rather than ground-up construction.,permits_100113260_100299112/current_pins_16134150190000_16134150200000,high
residential_tieback_17051160110000,retain_override,residential_tieback_17051160110000,2011,5,8380,5318,TRUE,TRUE,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,The five-unit permit and five-unit successor condominium cohort identify a completed 2011 building despite the permit status.,permit_2189499/condo_base_1705116130,high
residential_tieback_17053080540000,retain_override,residential_tieback_17053080540000,2008,6,16000,6345,TRUE,TRUE,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,An exact completed six-unit permit and the successor condominium cohort identify the same 2008 project.,permit_1941475/condo_base_1705308126,high
residential_tieback_17053210120000,retain_override,residential_tieback_17053210120000,2008,5,8200,4050,TRUE,TRUE,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,successor_condo_cohort,The five-unit new-construction permit and five-unit successor condominium cohort identify the completed 2008 project.,permit_1697792/condo_base_1705321039,high
