source_project_id,action,final_project_id,decision_reason,evidence_ids,confidence
residential_tieback_13233000050000,exclude_unbuilt,,The only nearby ten-unit new-construction permit expired and the parcel continued to report a 1900 one-unit building.,permit_100170361/current_pin_13233000050000,high
residential_tieback_16134150190000,exclude_not_ground_up,,The permit history describes structural alterations and revisions to an existing building rather than ground-up construction.,permits_100113260_100299112/current_pins_16134150190000_16134150200000,high
residential_tieback_17064340280000,exclude_not_ground_up,,The exact permit history describes deconversion and renovation of an existing building rather than ground-up construction.,permits_2116587_2212722/current_pin_17064340490000,high
residential_tieback_17172000120000,exclude_not_ground_up,,The exact permit history describes alteration of an existing three-story building and provides no ground-up construction permit or demolition.,permits_2082362_2314522/current_pins_17172000120000_17172000130000,high
residential_tieback_14311380110000,exclude_not_ground_up,,Completed permit 100827022 at 2125 W McLean explicitly remodels an existing two-flat with a two-story addition and converts it to one house. The tied parcel 2123 repeats the building area with a 2020 year while 2125 retains 1919. This is alteration and conversion rather than ground-up new construction under the agreed definition.,permit_100827022/permit_B100814586/assessment_2022_2026,high
residential_tieback_17312120510000,exclude_not_ground_up,,The October 2007 permit at 3242 Paulina explicitly adds a second floor and rear addition to an existing single-family residence. Later work is renovation and garage or coach-house removal. The 2008 Assessor date does not identify a wholly new building.,permits_100181387_100569090_100605658,high
residential_297_group_20112050550000,exclude_not_ground_up,,Permit history describes alterations and partial reconstruction of an existing building rather than ground-up construction.,permit_history_4840_s_dorchester,high
residential_297_group_17213050450000,exclude_not_ground_up,,Permit history describes a six-story addition and interior conversion of an existing five-story building rather than ground-up construction.,permit_history_1600_s_jefferson/condo_base_1721305046,high
residential_tieback_17062210310000,exclude_unbuilt,,The only matched new-construction permit expired and neither a successor condominium cohort nor a new city building record confirms completion.,permit_100773601,high
residential_297_group_17092060350000,replace_by_commercial,commercial_17092060390000,Jacob approved one completed One Chicago project with 735 rental apartments and 77 condos on the shared Assessor site. Permit 100785446 covers both towers and the podium with 812 homes. Floor-area coverage remains unresolved; retain homes-per-acre only.,commercial_17092060390000/condo_base_1709206042,high
residential_297_group_17092060370000,replace_by_commercial,commercial_17092060390000,Jacob approved one completed One Chicago project with 735 rental apartments and 77 condos on the shared Assessor site. Permit 100785446 covers both towers and the podium with 812 homes. Floor-area coverage remains unresolved; retain homes-per-acre only.,commercial_17092060390000/condo_base_1709206042,high
residential_297_group_17101300270000,exclude_not_ground_up,,435 N Michigan is Tribune Tower: completed permit 100757281 describes adaptive reuse of an existing landmark office and retail building into 162 condominiums with a four-story addition. The developer confirms conversion of the 1925 tower. This is an existing-building conversion and addition rather than ground-up construction; exclude under the agreed definition.,permit_100757281/permit_100867578/https://golubandcompany.com/portfolio/tribune-tower-residences/,high
residential_297_group_17104000460000,exclude_unbuilt,,Empty development record has no building area or dwelling count. Historical site contains the successor parcels of already retained Cascade and Cirrus; it provides no additional completed building.,historical_2022_1710400046/current_successor_pins_1710400051_1710400052_1710400053_1710400054,high
