project_id,pin,reference_year,target_year,source,reason,reviewer,review_date
residential_13243050880000,13243050880000,2025,2014,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_13243050890000,13243050890000,2025,2014,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_13243050900000,13243050900000,2025,2014,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_14304032120000,14304032120000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_14304032130000,14304032130000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_14304032140000,14304032140000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_14304032150000,14304032150000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_14304032190000,14304032190000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_14304032200000,14304032200000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_17043200540000,17043200540000,2016,2016,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
residential_17044240570000,17044240570000,2008,2007,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
residential_17044240580000,17044240580000,2008,2007,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
residential_17044240590000,17044240590000,2008,2007,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
residential_17044240610000,17044240610000,2008,2007,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
residential_17044240620000,17044240620000,2008,2007,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
residential_17044240630000,17044240630000,2008,2007,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
residential_17044240640000,17044240640000,2008,2007,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
residential_17044240650000,17044240650000,2008,2007,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
residential_17321190580000,17321190580000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_17321190670000,17321190670000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_20021180580000,20021180580000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_20021180640000,20021180640000,2025,2007,parcel_universe_2025,Reviewed individual home and matching private parcel; current exact parcel point lies inside recorded historical development site; use individual location without allocating shared land,Codex,2026-09-08
residential_multicard_17044240600000,17044240600000,2008,2007,historical_parcel_history,Individually measured townhome; exact parcel point in construction year or following year; parent parcel ambiguity does not change the recorded home identity,Codex,2026-09-08
