source_project_id,overlap_action,replacement_project_id,decision_reason,evidence_ids,confidence
residential_297_group_17092060350000,replace_by_commercial,commercial_17092060390000,The class-297 predecessor is part of the same seventy-seven-unit project retained from the commercial source.,commercial_17092060390000/condo_base_1709206042,high
residential_297_group_17092060370000,replace_by_commercial,commercial_17092060390000,The class-297 predecessor is part of the same seventy-seven-unit project retained from the commercial source.,commercial_17092060390000/condo_base_1709206042,high
residential_overlap_13141220320000,exclude_not_new_construction,"",The commercial and residential histories describe an older building whose assessor year was revised rather than new construction during the study period.,commercial_disposition_13141220320000/residential_history_13141220320000,high
residential_overlap_13243090220000,replace_by_commercial,commercial_13243090220000,The commercial record is the complete retained record for the same physical project.,commercial_13243090220000,high
residential_overlap_13253150700000,replace_by_commercial,commercial_13253150700000,The commercial record is the complete retained record for the same physical project.,commercial_13253150700000,high
residential_overlap_13312050690000,replace_by_commercial,commercial_13312050690000,The commercial record is the complete retained record for the same physical project.,commercial_13312050690000,high
residential_overlap_13312140010000,replace_by_commercial,commercial_13312140010000,Completed permit and assessor evidence resolve the same eighty-four-unit project in the commercial ledger.,commercial_13312140010000,high
residential_overlap_14333000110000,exclude_not_new_construction,"",The commercial and residential histories describe an existing building conversion rather than ground-up construction.,commercial_disposition_14333000110000/residential_history_14333000110000,high
residential_overlap_16113040200000,replace_by_commercial,commercial_16113040200000,The commercial record is the complete retained record for the same physical project.,commercial_16113040200000,high
residential_overlap_16242010170000,replace_by_commercial,commercial_16242010170000,The commercial record is the complete retained record for the same physical project.,commercial_16242010170000,high
residential_overlap_16242020090000,replace_by_commercial,commercial_16242020090000,The commercial record is the complete retained record for the same physical project.,commercial_16242020090000,high
residential_overlap_16242020170000,replace_by_commercial,commercial_16242020170000,The commercial record is the complete retained record for the same physical project.,commercial_16242020170000,high
residential_overlap_16242060510000,replace_by_commercial,commercial_16242060510000,The commercial record is the complete retained record for the same physical project.,commercial_16242060510000,high
residential_overlap_16242070100000,replace_by_commercial,commercial_16242070100000,The commercial record is the complete retained record for the same physical project.,commercial_16242070100000,high
residential_overlap_16242070310000,replace_by_commercial,commercial_16242070310000,The commercial record is the complete retained record for the same physical project.,commercial_16242070310000,high
residential_overlap_16242070760000,replace_by_commercial,commercial_16242070760000,The commercial record is the complete retained record for the same physical project.,commercial_16242070760000,high
residential_overlap_17064360170000,retain_residential_resolution,"",The overlapping commercial record was excluded as an assessor year revision; the residential record supplies the valid new-construction observation.,commercial_disposition_17064360170000/residential_history_17064360170000,high
residential_overlap_17082260110000,replace_by_commercial,commercial_17082260110000,Permit and assessor evidence resolve the same sixteen-unit project in the commercial ledger.,commercial_17082260110000,high
residential_overlap_17202070620000,replace_by_commercial,commercial_17202070620000,The commercial record is the complete retained record for the same physical project.,commercial_17202070620000,high
residential_tieback_13143060050000,replace_by_commercial,commercial_13143060050000,Completed permits and tied assessor records resolve the same fifteen-unit project in the commercial ledger.,commercial_13143060050000,high
residential_tieback_13363150560000,retain_residential_resolution,"",The commercial record was excluded in favor of the tied residential building record.,commercial_disposition_13363150560000/residential_tieback_13363150560000,high
residential_tieback_13363150580000,retain_residential_resolution,"",The commercial record was excluded in favor of the tied residential building record.,commercial_disposition_13363150590000/residential_tieback_13363150580000,high
residential_tieback_14301040010000,replace_by_commercial,commercial_14301040010000,Completed permit evidence resolves the same eight-unit project in the commercial ledger.,commercial_14301040010000,high
residential_tieback_14324090340000,replace_by_residential_successor,residential_14324090760000,The tied predecessor and later PIN report the same 6304-square-foot building; the later stable PIN is retained once.,residential_tieback_14324090340000/residential_14324090760000,high
residential_tieback_16132180010000,replace_by_commercial,commercial_16132180010000,Permit and assessor evidence resolve the same seventy-unit project in the commercial ledger.,commercial_16132180010000,high
residential_tieback_16242060480000,replace_by_commercial,commercial_16242060480000,The commercial record is the complete retained record for the same physical project.,commercial_16242060480000,high
residential_tieback_16242070150000,replace_by_commercial,commercial_16242070150000,Completed permits and tied assessor records resolve the same six-unit project in the commercial ledger.,commercial_16242070150000,high
residential_tieback_16242070560000,replace_by_commercial,commercial_16242070560000,The commercial record is the complete retained record for the same physical project.,commercial_16242070560000,high
