round,permit_number,verdict,reason
1,100078466,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100091508,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100096582,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100097553,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100100774,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100109849,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100126552,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100199959,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100386147,plausible,two single-house permits (2011 and 2015 W Shakespeare); the second house is addressed 2017
1,100434837,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100435002,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100508169,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100548400,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100549020,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100552885,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100567180,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100600745,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100645131,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100749881,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100770408,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100788499,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100838420,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
1,100943333,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100951887,correct,"two single-house permits at adjacent addresses, one new house at each"
1,100963877,correct,"townhouse row: consecutive parcels and addresses, same first assessment, count matches the permit"
