permit_number,case,proposal,assigned,confidence,verdict,evidence,note,spot_checked,reviewer
100071123,lot,none,,high,none,"All three candidates (2843, 2841, 2835 S Broad) have 2006 revisions to their own permits (100068886, 100069014, 100061386).",,False,subagent first pass
100083777,lot,unresolved,,low,unresolved,Candidates 6360 and 6364 S Ellis both also qualify for 100111759 and have no permits tying either to 6350.,,False,subagent first pass
100095887,lot,assign,assessor_residential_17313100400000,medium,assign,Candidate carries the permit's house number 2247 (misstreeted as S Oakley) at 19 ft; 2249 likely the sibling permit 100095888.,,False,subagent first pass
100108518,lot,assign,assessor_residential_25214150240000,high,assign,11722 S Princeton has 2006 permit 100144345 REVISION TO PERMIT #100108518 TO CORRECT ADDRESS.,,False,subagent first pass
100115887,lot,assign,assessor_residential_16133120610000,medium,assign,"Candidate is addressed 811 Kedzie, same house number as the permit, 62 ft away.",,True,subagent first pass
100120255,lot,unresolved,,medium,unresolved,"360 E Wacker tower is the building, but 100080630 (2006-03-31) is an earlier identical permit for the same 608-unit tower; assign to only one of the two.",,False,subagent first pass
100131220,lot,none,,medium,none,"1133 W 34th Pl got a new SFR permit 100423474 in 2012, so the 2006 house was not built there; 1139 W 34th Pl likely belongs to 100131218.",,False,subagent first pass
100134190,lot,none,,low,none,"Expired permit; candidates 718-726 E Pershing were all built 2006, before this 2007-11 permit, and none is at 736.",,False,subagent first pass
100142149,lot,assign,assessor_residential_16133120600000,medium,assign,"3-unit candidate is 63 ft from 819 S Kedzie vs 112 ft from 811 (whose building is 811 Kedzie), matching the 3 DU permit.",,False,subagent first pass
100155496,lot,unresolved,,low,unresolved,"8453 S Gilbert (transposed digits, closer, built 2007) vs 8447 S Gilbert (2008 address-correction permit for a no-garage frame house); cannot distinguish.",,False,subagent first pass
100157224,lot,assign,assessor_residential_14304031610000,high,assign,"Candidate is at 2665 Hartland Ct, the permit's own address.",,False,subagent first pass
100160691,lot,none,,medium,none,2700-2706 N Hermitage had wiring permits in April 2007 before this permit issued; 2711 N Hartland has later alarm and garage-roof-deck work on its own building.,,False,subagent first pass
100162687,lot,unresolved,,low,unresolved,Only candidate 1345 S Kildare also qualifies for 100231441/100231442; nothing ties it to 1341.,,False,subagent first pass
100166839,lot,none,,medium,none,"524 E 46th Pl received a new SFR permit 100619860 in 2016, so this 2007 house was not built there; 518/522 match sibling permits 100166859/100174501.",,False,subagent first pass
100169776,lot,unresolved,,low,unresolved,Expired permit; 42 E 90th St also qualifies for sibling 100169777 and 59 E 89th Pl is on another street; nothing ties either to 48 E 90th.,,False,subagent first pass
100173008,lot,none,,low,none,"Only candidate 6720 S Dorchester is 1 unit, built 2006 before this 2007-08 permit, and matches sibling permits 100173010/100173011.",,False,subagent first pass
100173820,lot,none,,medium,none,"2018 permit 100747292 reinstates this permit at 3958 S Drexel, so it was unbuilt then; 801 E Oakwood also qualifies for 100172917.",,False,subagent first pass
100178624,lot,unresolved,,low,unresolved,All five candidates have no address or characteristics.,,False,subagent first pass
100194695,lot,assign,assessor_residential_14201060460000,high,assign,"1444 W Grace is the corner lot 24 ft away, with a 2006 demolition of a four-unit building preceding this 2007 permit; 3754 N Janssen had wiring before this permit.",,True,subagent first pass
100202138,lot,unresolved,,low,unresolved,Only candidate 3605 W 50th St fronts a different street (not a corner of 3606 W 51st) and also qualifies for three sibling permits.,,False,subagent first pass
100203741,lot,unresolved,,low,unresolved,Only candidate 6138 S Throop also qualifies for 100200512; nothing ties it to 6136.,,False,subagent first pass
100213951,lot,unresolved,,low,unresolved,Two near-identical 3-unit buildings share the development address 4238 S Wabash and also qualify for 100213955; nothing picks one for 4206.,,False,subagent first pass
100214013,lot,unresolved,,low,unresolved,Candidates 4110 and 4116 S Prairie are 6-unit buildings in a shared-address development that qualify for other permits; nothing ties either to this 5-unit permit at 4132.,,False,subagent first pass
100214020,lot,unresolved,,low,unresolved,"Only candidate 4110 S Prairie (built 2006, before this 2007-12 permit) sits in a multi-building development and also qualifies for 100214013; nothing ties it to 4128.",,False,subagent first pass
100214023,lot,unresolved,,low,unresolved,Both candidates share the development address 4238 S Wabash and qualify for several sibling permits (100214014/100214022/100214310).,,False,subagent first pass
100222344,lot,unresolved,,low,unresolved,Identical houses at 1026 and 1012 W 48th St both also qualify for 100162622; nothing ties either to 1024.,,False,subagent first pass
100231441,lot,unresolved,,low,unresolved,Only candidate 1345 S Kildare also qualifies for 100162687 and 100231442; nothing ties it to 1335.,,False,subagent first pass
100458997,lot,none,,high,none,"Later permits at 2736 N Lakewood (2015 rooftop HVAC to existing residence citing this permit, 2025 pergola on existing terrace) put the house on its own lot.",,False,subagent first pass
100526743,lot,assign,assessor_condominium_1325315075,medium,assign,"2489 N Milwaukee had a 2016 address-change revision; 2491 N Milwaukee is the adjacent 6-unit condo at 63 ft with first-floor commercial, while 2503 is tied to 2501 N Milwaukee.",,False,subagent first pass
100575094,lot,none,,medium,none,"2721 N Southport has a 2015 demolition, a revision citing this permit, and 2025-2026 work on its existing building and brick garage; the 2019 condo matches 100728257.",,False,subagent first pass
100635413,lot,assign,assessor_residential_14313220440000,medium,assign,"1766 N Wilmont belongs to permit 100685890 at 1766; 1760 N Wilmont, built 2017, is the adjacent lot matching this 2016 permit at 1764.",,False,subagent first pass
100683301,lot,unresolved,,low,unresolved,Both candidates lack addresses and also qualify for sibling permits 100683317/100683324.,,False,subagent first pass
100685890,lot,assign,assessor_residential_14313220460000,high,assign,"Candidate is at 1766 N Wilmont, the permit's own address.",,False,subagent first pass
100732164,lot,unresolved,,low,unresolved,Only candidate 1909 Schiller condo also qualifies for 100737193; nothing ties it to 1911.,,False,subagent first pass
100741725,lot,unresolved,assessor_residential_19024080130000,low,assign,"4431 and 4435 S Drake are equidistant; this permit was reinstated and revised in late 2019, fitting 4431 (built 2019) over 4435 (built 2018).",held: low-confidence assign,False,subagent first pass
100763750,lot,assign,assessor_condominium_1705117068,medium,assign,2-unit condo 45 ft from 1447 W Blackhawk after its 2018 demolition; 1437 W Blackhawk has its own SFR permit 100601611.,,False,subagent first pass
100781778,lot,unresolved,,low,unresolved,Two identical no-address houses both also qualify for sibling permit 100781779.,,False,subagent first pass
100789012,lot,unresolved,assessor_condominium_1706410066,low,assign,"After the 2018 demolition at 1078 N Paulina, the 3-unit condo 55 ft away is the likely building; the other 3-unit condo is 140 ft away on a different Assessor block (17-06-411), but both also qualify for 100815469.",held: low-confidence assign,False,subagent first pass
100807265,lot,unresolved,,low,unresolved,Only candidate has no address and also qualifies for 100806942; nothing ties it to 4249 N Hermitage.,,False,subagent first pass
100815603,lot,unresolved,,low,unresolved,"Row-house development on the 2500 block of W Polk: identical no-address houses each qualify for up to 10 sibling permits, and interpolated geocodes cannot map lots to addresses.",,False,subagent first pass
100818287,lot,unresolved,,low,unresolved,Same W Polk row development: identical no-address candidates shared with many sibling permits; nothing ties one to 2524.,,False,subagent first pass
100818291,lot,unresolved,,low,unresolved,Same W Polk row development: identical no-address candidates shared with many sibling permits; nothing ties one to 2518.,,False,subagent first pass
100840167,lot,unresolved,,low,unresolved,Same W Polk row development: identical no-address candidates shared with many sibling permits; nothing ties one to 2512.,,False,subagent first pass
100840176,lot,unresolved,,low,unresolved,Same W Polk row development: identical no-address candidates shared with many sibling permits; nothing ties one to 2504.,,False,subagent first pass
100862944,lot,assign,assessor_residential_20033110560000,medium,assign,"Paired lots at 4457/4459 S Calumet: the 1-unit candidate matches this SFR, and the 2-unit candidate 20033110550000 matches the 2 DU permit 100866709 at 4457.",,False,subagent first pass
100866709,lot,assign,assessor_residential_20033110550000,medium,assign,The 2-unit candidate 36 ft away qualifies only for this 2 DU permit; the 1-unit neighbor goes with SFR permit 100862944 at 4459.,,False,subagent first pass
100868800,lot,assign,assessor_residential_20043090410000,high,assign,"Candidate is at 4351 Halsted, the permit's own house number.",,False,subagent first pass
100881263,lot,assign,assessor_residential_20031170380000,high,assign,"Candidate is at 4143 Calumet, the permit's own house number.",,False,subagent first pass
100891317,lot,unresolved,,low,unresolved,4141 Calumet is adjacent but also qualifies for six other permits; 4149 and 4131 are farther; nothing ties any of them to 4139.,,False,subagent first pass
100911559,lot,assign,assessor_residential_20031170440000,high,assign,"Candidate is at 4129 Calumet, the permit's own house number.",,False,subagent first pass
100918914,lot,unresolved,,low,unresolved,Two identical 2022 houses both addressed 6696 N Olympia (split lot after the 2021 demolition) also qualify for sibling 100918913; nothing picks which is 6698.,,False,subagent first pass
100925625,lot,unresolved,,low,unresolved,Both candidates have no address or characteristics.,,False,subagent first pass
100953264,lot,unresolved,,low,unresolved,Both candidates have no address or characteristics.,,False,subagent first pass
100992356,lot,unresolved,,low,unresolved,All six candidates have no address or characteristics.,,False,subagent first pass
100075525,lot,assign,assessor_condominium_1708226017,high,assign,Permit says deed address should be 848 W Erie and 2010 permits at 848 W Erie revise permit 100075525 to change address.,,False,subagent first pass
100090161,lot,assign,assessor_residential_19111210230000,high,assign,Permit 100227286 at 3644 W 51st changes address from 3632 to 3644 W 51st St.,,False,subagent first pass
100095888,lot,assign,assessor_residential_17313100410000,medium,assign,Townhome pair at the 35th Pl/Oakley corner; candidate 2249 carries the same house number as the permit (2247 pairs with sibling permit 100095887).,,True,subagent first pass
100111759,lot,unresolved,,low,unresolved,6360 and 6364 S Ellis are both 3-unit 2006 buildings shared with permit 100083777; nothing ties 6358 to either.,,False,subagent first pass
100119246,lot,assign,assessor_residential_13303020540000,high,assign,Candidate is 2709 N Montclaire (spelling variant of Mont Clare) with the same house number; 2711 belongs with sibling 100119293.,,False,subagent first pass
100123259,lot,unresolved,,low,unresolved,2432 and 2428 belong to permits 100067141/100067140 and 2440-2444 were built 2006; 2436 and 2438 (built 2007) both remain and nothing picks between them.,,False,subagent first pass
100132460,lot,unresolved,,low,unresolved,4202 and 4204 W 5th Ave are identical 2008 houses shared with permit 100132484; neither carries 4200.,,False,subagent first pass
100134355,lot,none,,medium,none,"Expired permit at 742 E Pershing; the only candidate, 726 E Pershing, was built 2006 at a different number and also fits permit 100134190.",,False,subagent first pass
100149263,lot,unresolved,,low,unresolved,"941, 935, 931 W 54th belong to permits 100073751/100073725/100073715; 939 is unclaimed but part of that 2005 row, and a 2007 revision at 929 suggests work at the permit's own lot.",,False,subagent first pass
100155551,lot,assign,assessor_residential_14304031630000,high,assign,Candidate 2705 Hartland Ct has the permit's exact address.,,False,subagent first pass
100157240,lot,assign,assessor_residential_14304031620000,high,assign,Candidate 2701 Hartland Ct has the permit's exact address.,,False,subagent first pass
100161486,lot,assign,assessor_residential_16222280480000,medium,assign,1530 S Karlov has its own erect-3-DU permit 100150682; the remaining candidate 1524 S Karlov is the adjacent lot and qualifies only for this permit.,,False,subagent first pass
100164445,lot,assign,assessor_residential_14304031300000,high,assign,Candidate 2730 Hartland Ct has the permit's exact address; 2716/2720 were built 2006 and shared with 100165758.,,False,subagent first pass
100166859,lot,unresolved,,low,unresolved,518 and 522 E 46th Pl are shared with permits 100166839 and 100174501 (520 E 46th Pl); the permit's own 526 parcel exists and neither candidate matches it.,,False,subagent first pass
100169777,lot,unresolved,,low,unresolved,Expired permit; 42 E 90th St and 59 E 89th Pl are shared with sequential permit 100169776 and neither carries 46.,,False,subagent first pass
100173010,lot,unresolved,,low,unresolved,The single 1-unit candidate at 6720 S Dorchester was built 2006 and is shared with permits 100173008/100173011; nothing ties it to 6714.,,False,subagent first pass
100174501,lot,unresolved,,low,unresolved,"520 E 46th Pl sits between candidates 518 and 522, both shared with permits 100166839/100166859; no evidence picks one.",,False,subagent first pass
100179561,lot,assign,assessor_residential_25044090060000,high,assign,Candidate 9331 S LaSalle has the permit's exact address; 9333 goes with sibling 100179579.,,False,subagent first pass
100200512,lot,unresolved,,low,unresolved,"The only candidate, 6138 S Throop, is three lots from 6144, is shared with permit 100203741, and the permit's own parcel exists.",,False,subagent first pass
100202139,lot,none,,medium,none,"3618 W 51st was renumbered from 3620 (permit 100227274), 3605 W 50th is on another street, and a 2024 new-construction permit 101038572 at 3610 W 51st shows the lot stayed unbuilt.",,True,subagent first pass
100205723,lot,none,,low,none,"The only candidate has no Assessor data, and the lot was permitted again for a new single-family house in 2014 (100489467), so the 2007 permit was likely never built.",,False,subagent first pass
100213955,lot,unresolved,,low,unresolved,Both 3-unit candidates carry the placeholder address 4238 S Wabash and are shared with permit 100213951; nothing separates them.,,False,subagent first pass
100214014,lot,unresolved,,low,unresolved,All four candidates carry the placeholder address 4238 S Wabash and are shared with permits 100214022/100214023/100214310; only 20031180400000 has 5 units but it is shared too.,,False,subagent first pass
100214021,lot,none,,medium,none,2015 permits at 4148 S Prairie repair fire damage to an existing 3-story residential building with units 1N/2N; the building is on its own lot and 4116 S Prairie is elsewhere.,,False,subagent first pass
100214309,lot,none,,medium,none,A 2023 permit at 4142 S Prairie repairs an existing porch on the building; the only candidate is 4116 S Prairie (built 2006) on another lot.,,False,subagent first pass
100225118,lot,none,,medium,none,"3623 and 3625 W 50th were renumbered from 3619/3621, 3618 W 51st from 3620, and 3640 W 51st is on another street; none ties to 3607 W 50th Pl.",,False,subagent first pass
100231442,lot,unresolved,,low,unresolved,"The only candidate, 1345 S Kildare, is shared with permits 100162687/100231441, and the permit's own 1339 parcel exists.",,False,subagent first pass
100465924,lot,unresolved,,low,unresolved,"The only candidate, 2736 W Diversey (probably 2736 N Lakewood/Diversey corner), is shared with permit 100458997, and the permit's own 2732 parcel exists.",,False,subagent first pass
100528447,lot,assign,assessor_condominium_1325315074,medium,assign,The 2015 elevator permit at 2503 N Milwaukee is for '2501 N Milwaukee Ave'; 2491 is an existing building with a first-floor restaurant.,,False,subagent first pass
100628959,lot,unresolved,assessor_residential_09364120250000,low,assign,6650 N Odell is plausibly the North Shore/Odell corner and qualifies only for this permit; 6630 N Odell goes with sequential sibling permit 100628965.,held: low-confidence assign,True,subagent first pass
100636106,lot,same_building,assessor_commercial_17044510060000,medium,assign,Foundation/partial-superstructure phase of the same 1140 N Wells tower later fully permitted as 100693524; the single candidate is that 2020 tower.,foundation phase of 100693524 (1140 N Wells tower),False,subagent first pass
100683317,lot,unresolved,,low,unresolved,"Both no-address candidates (3-unit condo and 4-unit building, both built 2019) are shared with sequential permits 100683301/100683324; nothing ties either to 2405-2407 W Berenice.",,False,subagent first pass
100693524,lot,assign,assessor_commercial_17044510060000,high,assign,Full-building permit for the 32-story 1140 N Wells tower; the single candidate is the 370-unit tower built 2020 next to the site.,,False,subagent first pass
100737193,lot,unresolved,,low,unresolved,"The only candidate, a 4-unit condo at 1909 Schiller, is shared with permit 100732164; a 2020 elevator permit at 1907 suggests the building went up on the permit's own lot.",,False,subagent first pass
100747714,lot,assign,assessor_condominium_1708116042,high,assign,Candidate 1462 Ohio Unit 1 has the permit's exact house number and street.,,False,subagent first pass
100768840,lot,assign,assessor_condominium_1704111061,high,assign,Candidate 1529 Hudson Unit 1 has the permit's exact house number and street.,,False,subagent first pass
100781779,lot,unresolved,,low,unresolved,"Two identical no-address 2019 houses are shared with permit 100781778, and a revision to 100781778 is filed at 4642 N Hermitage; nothing separates them.",,False,subagent first pass
100799509,lot,assign,assessor_condominium_1705314069,high,assign,Candidate 1504 Walton Unit 1 has the permit's exact house number and street.,,True,subagent first pass
100810448,lot,none,,high,none,The permit is for a rear deck on an existing single-family residence at 640 W 123rd; it is not a new building.,,True,subagent first pass
100818274,lot,unresolved,,low,unresolved,Row of identical no-address 2019 Polk St houses shared across about ten sibling permits; nothing identifies which one is 2532 W Polk.,,False,subagent first pass
100818288,lot,unresolved,,low,unresolved,Row of identical no-address 2019 Polk St houses shared across about ten sibling permits; nothing identifies which one is 2522 W Polk.,,False,subagent first pass
100833161,lot,assign,assessor_condominium_1708116041,medium,assign,"Candidate '1748 Ohio 1' is a digit transposition of 1474 Ohio; the other permit it fits (1462 W Ohio, 100747714) has its own exact-address condo.",,True,subagent first pass
100840172,lot,unresolved,,low,unresolved,Row of identical no-address 2019 Polk St houses shared across about ten sibling permits; nothing identifies which one is 2510 W Polk.,,False,subagent first pass
100840177,lot,unresolved,,low,unresolved,Row of identical no-address 2019 Polk St houses shared across several sibling permits; nothing identifies which one is 2502 W Polk.,,False,subagent first pass
100863309,lot,assign,assessor_residential_20031170370000,high,assign,Candidate 4145 Calumet has the permit's exact house number and qualifies only for this permit.,,True,subagent first pass
100867290,lot,unresolved,,low,unresolved,Both 6-unit candidates carry the corner address 118 E 41st and are shared with permit 100867314; nothing separates them.,,False,subagent first pass
100868807,lot,assign,assessor_residential_20043090400000,high,assign,Candidate 4355 Halsted has the permit's exact house number; 4357 is shared with prototype 100868800 and others.,,False,subagent first pass
100884595,lot,unresolved,,low,unresolved,"Both candidates are addressed 3604 N Keeler (a 2021 demolition was there) and are shared with permit 100884651; the permit gives 3602/3606, and nothing separates the two.",,False,subagent first pass
100893551,lot,assign,assessor_condominium_1601208052,high,assign,Candidate 1439 California Ave Unit 1 has the permit's exact house number and qualifies only for this permit.,,False,subagent first pass
100911592,lot,assign,assessor_residential_20031170420000,high,assign,Candidate 4133 Calumet has the permit's exact house number and qualifies only for this permit.,,True,subagent first pass
100919557,lot,assign,assessor_residential_20101020370000,high,assign,Candidate 4735 Michigan has the permit's exact house number; 4733 goes with sibling 100919558.,,False,subagent first pass
100934603,lot,unresolved,,low,unresolved,Candidates 4131 and 4141 Calumet are shared with several sibling permits and neither matches 4127; the permit's own parcel exists.,,False,subagent first pass
100979765,lot,none,,high,none,A 2025 reinstatement of permit 100979765 says work must still begin; the house at 2844/2848 N Sayre was not built and the candidates have no data.,,False,subagent first pass
100080630,lot,assign,assessor_commercial_17103180820000,medium,assign,"Only candidate is the 608-unit 2007 Lakeshore East tower (360 E Wacker) matching this 607-unit 360 E South Water tower; note 100120255 at the same address is the full-tower permit for the same building, and this one is foundation-only.",,False,subagent first pass
100095781,lot,none,,medium,none,"2446 W Walton has its own 2006-08 demolition and later revisions to 100095781 (2013 rooftop access), so the building is on its own lot; 2442 already had an alarm permit in 2006-09 and 2458 had its own 2006-03 demolition.",,True,subagent first pass
100100656,lot,unresolved,,low,unresolved,"1822-1830 N California are a row of 2006 houses, each with its own 2006-05-24 garage permit; nothing ties 1818 to any one of them.",,False,subagent first pass
100114853,lot,unresolved,assessor_residential_13221020740000,low,assign,"Same house number (4512 W Dakin permit, 4512 W Larchmont parcel), paired with the sibling 4508 Dakin permit that matches 4508 Larchmont; street names differ, and the distance ordering is inconsistent.",held: low-confidence assign,True,subagent first pass
100119293,lot,assign,assessor_residential_13303020530000,high,assign,"Same house number: permit 2711 N Mont Clare, parcel 2711 N Montclaire.",,False,subagent first pass
100131218,lot,none,,medium,none,"1135 W 34th Pl got a new 2010 NC permit (100337241), so the 2006 house was not built there; candidate 1139 W 34th Pl is a different lot and also fits 100131220.",,False,subagent first pass
100132484,lot,none,,medium,none,A 2022 NC permit (100971986) for a new SFR at 4212 W Fifth Ave shows the lot was still unbuilt; 4204 and 4202 W 5th Ave are different lots that also fit 100132460.,,False,subagent first pass
100137652,lot,assign,assessor_condominium_1420300030,high,assign,"The 22-unit 2008 condo at 1550 W Cornelia is on the Ashland/Cornelia corner of this 22-unit 3505 N Ashland permit; the other qualifying permit, 100298401 (26 units), was cancelled.",,False,subagent first pass
100152028,lot,none,,low,none,"The only candidate (3709 N Ashland) is on Ashland near 100159573 (3707 N Ashland), which got a 2007 temporary electric service; this 1552 W Waveland mixed-use permit expired with no follow-up permits.",,True,subagent first pass
100155578,lot,assign,assessor_residential_14304031640000,high,assign,"Same house number: permit 2709 N Hartland Ct, parcel 2709 Hartland Ct.",,False,subagent first pass
100159573,lot,assign,assessor_condominium_1420111044,medium,assign,"Candidate 3709 N Ashland is on the same side of the same street, two numbers from 3707, and 3707 got a 2007-04 temporary electric service; the competing 1552 W Waveland permit expired with no activity.",,True,subagent first pass
100162622,lot,unresolved,,low,unresolved,Candidates 1012 and 1026 W 48th St are identical 1178 sq ft houses that also fit 100222344; neither has the permit's number (1014).,,False,subagent first pass
100165758,lot,assign,assessor_residential_14304031310000,high,assign,"Same house number: permit 2726 N Hartland Ct, parcel 2726 Hartland Ct.",,False,subagent first pass
100167358,lot,unresolved,,low,unresolved,"Candidates 1831 and 1823 N Honore are different numbers and were built in 2006, before this 2007-03 permit; nothing identifies the lot.",,False,subagent first pass
100172917,lot,assign,assessor_residential_20021020510000,medium,assign,"3952 S Drexel is at the Oakwood Blvd (3950 S) corner; the candidate, 801 E Oakwood, is a large-lot 2007 SFR addressed on the cross street, 106 ft away (also fits 100173820).",,False,subagent first pass
