stage,case_id,category,verdict,dataset_building_id,building_name,street_address,residential_units,stories,completion_year,new_or_conversion,confidence,sources,evidence,note,site,subject,decision,value
missing_condominium_research,1710130029,not_a_chicago_parcel,conversion_of_existing_building,,Tribune Tower Residences,"435 N Michigan Ave, Chicago, IL 60611",162,36,2021,conversion,high,https://tribunetower.com/residences/ | https://blog.bimsmith.com/Chicagos-Tribune-Tower-Residences-Completed-Along-Magnificent-Mile | https://en.wikipedia.org/wiki/Tribune_East_Tower,"Historic 1925 Tribune Tower (36 stories) converted to 162 condos; move-ins began ~2020, widely reported complete 2021-2022. Assessor char_yrblt for this pin is 2012/2021/2024 across units (2021 matches conversion timing).","parcel_universe_2025_city.csv has 408 rows for pin10 1710130029 but every geometry/geography column (lat, lon, ward, community area) is blank, which is why the pipeline's Chicago-parcel check fails even though this is a real, well-documented Michigan Ave address. Exclusion from new-construction dataset is substantively correct anyway since this is a historic-building conversion, not new construction.",,,,
missing_condominium_research,1708440026,not_a_chicago_parcel,in_data_same_building,2790585,900 West (904 W Washington Blvd condominiums),"904 W Washington Blvd, Chicago, IL 60607",22,10,2019,new,high,https://rejournals.com/luxury-condo-development-900-west-washington-opens-in-chicagos-west-loop/ | https://www.businesswire.com/news/home/20181213005665/en/Luxury-Condominium-900-West-Washington-Officially-Opens-in-Chicago%E2%80%99s-West-Loop,"'900 West' by Taris Real Estate: 10-story, 22-unit condo, opened 2019. Identical land_sf (11265), unit count (22) and parking (22) as pin 1708440024/1708440025, which the dataset already captures as building_id 2790585 via permit 100671338.","Pin 1708440026 first appears only in the 2026 condo characteristics roll and is absent from parcel_universe_2025_city.csv and parcel_addresses -- this looks like the Assessor re-platted the same 904 W Washington building under a new base PIN for the 2026 tax year, not a second building.",,,,
missing_condominium_research,1704435034,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2011663,Two West Delaware (Walton on the Park),"2 W Delaware Pl, Chicago, IL 60610",198,31,2010,new,medium,https://www.compass.com/building/2-w-delaware-pl-chicago-il-60610/592986141393274045/ | https://twowestdelaware.com/,"31-story, 198-unit tower at 2 W Delaware Pl, built 2010; dataset already has it as building_id 2011663 (permit 100275283, 185 measured dwelling units) via base pin 1704435039.","Pin 1704435034 sits on the same site (identical x_3435/y_3435 as building 2011663) but is class 399 (commercial condominium) for 2011-2020 with 528 declared sub-PINs and 0 flagged as parking -- almost certainly the building's individually-PIN'd parking/storage condo regime, not additional dwelling units. Reclassified to class 299 in 2021-2022 but pin count stayed 528. Not a missing residential building.",,,,
missing_condominium_research,1428319113,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2173221,Lincoln Park 2520 (2550 N Lakeview Ave),"2550 N Lakeview Ave, Chicago, IL 60614",314,,2010,new,medium,https://www.homesbymarco.com/subdivisions/lincoln_park_2520_in_chicago_il | https://chicagoagentmagazine.com/2007/04/23/lincoln-park-2520-lincoln-park-chicago/,"Lincoln Park 2520/2550 is a 306-314 unit highrise-plus-townhome master development (permit 100345206, 'NEW CONSTRUCTION, 306 RESIDENTIAL MIXED DEVELOPMENT, HIGHRISE TOWER AND TOWNHOMES'), delivered 2010; it spans James Pl to Deming Pl, which is why unrelated small Deming Pl rowhouse permits also list this parcel.","Pin 1428319113 (assessed only in 2013, 417 declared sub-pins, 0 non-units) is superseded by sibling pin 1428319115, which shows the identical 417 total and IS one of the two pins (with 1428319112) already used by dataset building_id 2173221 (dwelling_units=606 = (219-30)+(417-0), i.e. it already sums both pins). Case pin is an early duplicate declaration of an already-captured portion of the complex, not a separate missing building.",,,,
missing_condominium_research,1722104035,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2553628,1345 S Wabash,"1345 S Wabash Ave, Chicago, IL 60605",144,15,2015,new,high,https://www.highrises.com/buildings/chicago_il/1345-wabash_1345-s-wabash-ave_2925 | https://www.homes.com/building/1345-s-wabash-ave-chicago-il/b-4c4h1qwe1q319/,"15-story, 144-unit condo by Brininstool & Lynch, completed 2015; dataset already has it as building_id 2553628 (permit 100536344, 144 measured dwelling units) via pin 1722104038.","Case pin 1722104035 (2016, 179 total sub-pins, 66 non-units -> 113 residential units) is an earlier-year condo declaration of the same 15-story tower; final pin 1722104038 later carries 223 total (79 non-units -> 144 residential), matching the true 144-unit count. Same building, phased declaration.",,,,
missing_condominium_research,1710109020,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2132000,Ritz-Carlton Residences (118 E Erie),"118 E Erie St, Chicago, IL 60611",89,40,2011,new,high,https://www.chicagorealestatesource.com/118-east-erie-street/ | https://www.goldcoastcondos.com/118-e-erie-ritz-carlton-residences.php,"89-unit, 40-story Ritz-Carlton Residences tower (with restored historic Farwell Building facade), completed ~2011; dataset already has it as building_id 2132000 (permit 100325094) via pins 1710109023/1710109024.","Case pin 1710109020 (assessed only 2015, 99 total sub-pins, 0 non-units) matches pin 1710109023's own 99-unit declaration exactly in later years -- an early duplicate of the same declaration, later superseded. Same building as cases 1710109018 and 1710109021 below.",,,,
missing_condominium_research,1710109021,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2132000,Ritz-Carlton Residences (118 E Erie),"118 E Erie St, Chicago, IL 60611",89,40,2011,new,high,https://www.chicagorealestatesource.com/118-east-erie-street/ | https://www.goldcoastcondos.com/118-e-erie-ritz-carlton-residences.php,"Same 89-unit, 40-story Ritz-Carlton Residences tower as case 1710109020; dataset already has it as building_id 2132000 via pins 1710109023/1710109024.","Case pin 1710109021 (2015-2018, 89 total sub-pins, 0 non-units) matches pin 1710109024's 89-unit declaration exactly (final residential count for the tower is 89 units per web sources) -- an earlier duplicate of the same declaration.",,,,
missing_condominium_research,1703200086,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2636061,4 East Elm,"4 E Elm St, Chicago, IL 60610",35,24,2016,new,high,https://scb.com/project/4-east-elm/ | https://www.dnainfo.com/chicago/20140814/gold-coast/4-east-elm-development-is-gold-coasts-first-high-rise-almost-decade/,"24-story, 35-unit ultra-luxury tower by SCB, completed 2016; dataset already has it as building_id 2636061 (permit 100583034, 35 measured dwelling units) via pin 1703200087.","Case pin 1703200086 (2017, 93 total sub-pins, 61 non-units -> 32 residential) is an earlier condo declaration for the same address (1157 N State St / 4 E Elm St); final pin 1703200087 carries 106 total (71 non-units -> 35 residential), matching the true 35-unit count.",,,,
missing_condominium_research,1710109018,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2132000,Ritz-Carlton Residences (118 E Erie),"118 E Erie St, Chicago, IL 60611",89,40,2011,new,high,https://www.chicagorealestatesource.com/118-east-erie-street/ | https://www.goldcoastcondos.com/118-e-erie-ritz-carlton-residences.php,"Same 89-unit, 40-story Ritz-Carlton Residences tower as cases 1710109020/1710109021; dataset already has it as building_id 2132000 via pins 1710109023/1710109024.","Case pin 1710109018 (assessed only 2014, 30 total sub-pins, 0 non-units) is the earliest of three superseded partial declarations at this address (30 in 2014, 99 in 2015, 89 in 2015-2018) before the final 89-unit declaration took over -- all one building.",,,,
missing_condominium_research,1709120029,on_parcels_of_a_permit_that_measured_another_building,in_data_same_building,2712745,400 West Huron,"400 W Huron St, Chicago, IL 60654",25,15,2017,new,high,https://www.rivernorthcondos.com/400-w-huron | https://anningjohnson.com/project/400-w-huron/,"15-story, 25-26 unit condo by Smithfield Development, delivered 2017; dataset already has it as building_id 2712745 (permit 100626023, 25 measured dwelling units) via pin 1709120030.","Case pin 1709120029 (2018, 26 total sub-pins, 1 non-unit -> 25 residential) is the building's very first assessment year (first_assessment_year 2018) before the Assessor moved the declaration to base pin 1709120030 in 2019, which the dataset already uses and which shows the identical 26/1/25 split every year after. Same building, not missing.",,,,
