matter_id,pd_far_update_source,pd_transition_type,from_code,to_code,from_far_update,to_far_update,far_change_update,far_direction_update,pd_far_value_update,pd_far_role_update,confidence,matter_intro_date,matter_passed_date,review_packet_id,review_row,evidence,notes,reviewer,review_date
SO2011-612,mechanical_text_high,base_to_pd,ML-2,PD,2.2,2.2,0.0,same,2.2,to_far_text,high,2011-01-13,2011-06-08,,,"... nance. The project will provide 6-parkway trees and a green (vegetative) roof over 50% of the roof's net site area (12,096 Square Feet) and achieve LEED Certification to meet the Department's Sustainable Policy. BULK/USE/DENSITY The proposed development has a maximum F.A.R of 2.2 and has a maximum height of forty-six feet, both of which are under the maximums for a B3-5 Community Shopping District. RECOMMENDATION The Department of Housing and Economic Development has reviewed the project materials submitted by the Applicant and have c ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2011-1486,chatgpt_review,base_to_pd,RM-5,PD,2.0,1.2,-0.8,downzone,1.2,maximum_permitted_floor_area_ratio,high,2011-03-09,2012-07-25,packet_04,18,Bulk table lists Maximum Permitted Floor Area Ratio: 1.2.,Use whole-PD maximum FAR 1.2.,ChatGPT,2026-07-03
SO2011-2296,mechanical_text_high,base_to_pd,DX-7,PD,7.0,9.4,2.4,upzone,9.4,to_far_text,high,2011-04-13,2012-10-03,,,"... square feet and a base FAR of 7.0 The improvements to be constmcted on the Property will utilize the following series of FAR bonuses: Description (list of all bonuses applied for and calculations) FAR Base FAR: 7.0 Density Bonus: 1.4 Upper Level Setbacks: 1.0 Total FAR: _9A 16. Pursuant to Section 17-4-1004-B of the Zoning Ordinance, the Applicant has requested an increase in the floor area ratio for the Property, as set forth in the bonus worksheet required under Section 17-4-1003-D and attached hereto as Exhibit (""Bonus Worksh ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2011-2301,chatgpt_review,base_to_pd,B3-2,PD,2.2,1.15,-1.05,downzone,1.15,maximum_floor_area_ratio,high,2011-04-13,2012-10-31,packet_06,3,Bulk table lists Maximum Floor Area Ratio 1.15.,Use whole-PD maximum FAR 1.15; mechanical 5.0 is not supported by quoted table.,ChatGPT,2026-07-03
SO2011-3974,chatgpt_review,base_to_pd,ML-1,PD,1.2,1.2,0.0,same,1.2,maximum_far,medium,2011-05-04,2011-10-05,packet_03,13,Plan Commission text says project conforms by adhering to the maximum F.A.R of 1.2.,Use stated PD maximum FAR 1.2.,ChatGPT,2026-07-03
SO2011-5466,chatgpt_review,base_to_pd,CL-2,PD,2.2,1.0,-1.2,downzone,1.0,maximum_permitted_far,high,2011-07-06,2011-12-14,packet_04,13,Bulk table lists Maximum Permitted Floor Area Ratio: 1.0.,Use whole-PD maximum FAR 1.0.,ChatGPT,2026-07-03
SO2011-6330,chatgpt_review,base_to_pd,DX-12,PD,12.0,12.0,0.0,same,12.0,maximum_floor_area_ratio,high,2011-07-28,2012-02-15,packet_10,11,Bulk table lists Maximum Floor Area Ratio (FAR) 12.00.,Use whole-PD maximum FAR 12.00.,ChatGPT,2026-07-03
SO2011-8881,mechanical_text_high,base_to_pd,RS-2,PD,0.65,0.5,-0.15,downzone,0.5,to_far_text,high,2011-11-02,2012-05-09,,,"... Table Gross Site Area = Net Site A¡ea r Area Remaining in Public Rights-of-Way 197,545 square feet (4.53 acres): 187,356 square feet (4.30 acre) + 10,189 square feet (.23 acre) Permitted Uses: Elderly housing, related and accessory uses, and accessory parking Maximum Floor Area Ratio: .50 Maximum Number of Dwelling Units: 84 Minimum Number of Off-Street 48 Parking Spaces: Minimum Number of Off-Street 1 Loading Spaces: Setbacks: In accordance with the Site/Landscape Plan Maximum Building Height: 56 feet t 007 3'1 .00001.22936s68.3 aeæ¿ t clTY-O ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2012-639,mechanical_text_high,base_to_pd,M2-3,PD,3.0,1.0,-2.0,downzone,1.0,to_far_text,high,2012-02-15,2012-04-24,,,"... HOUSE ADDRESS: 2700 BLOCK OF SOUTH ELEANOR STREET DATE: FEBRUARY 15, 2012 PLAN COMMISSION: MARCH 15,2012 FINAL FOR PUBLICATION Bulk Regulations and Data Tabic PUBLIC RIGHT OF WAY 48,780 square feet (1.12 acres) CROSS SITE AREA 182,155 square feet (4.18 acres) Maximum Floor Area Ratio: 1.0 Minimum Number of Accessory Off-Street Parking Spaces: 14 Minimum Number of Off-Street Loading Spaces: 0 Minimum Number of Bicycle Spaces: A Maximum Building Height: 42'-9"" NET SITE AREA 133,375 square feet (3.06 acres) APPLICANT: CHICAGO PARK DISTRICT ADDRES ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2012-2204,chatgpt_review,pd_to_base,PD,B3-3,3.0,3.0,0.0,same,3.0,maximum_permitted_far,high,2012-04-18,2012-06-27,packet_04,3,Bulk table lists TOTAL FAR 3.0 and Maximum Permitted FAR: 3.0.,PD FAR equals target B3-3 FAR; mechanical 7.0 is not supported by the quoted table.,ChatGPT,2026-07-03
SO2012-3240,mechanical_text_high,base_to_pd,DX-7,PD,7.0,12.0,5.0,upzone,12.0,to_far_text,high,2012-04-24,2012-04-24,,,"... PmOK )N GROSS SITE AREA= NET SITE AREA + AREAS REMAINING IN PUBLIC RIGHTS OF WAY 17,805.14 SQ. FT. (0.41 ACRES) = 15,191 SQ. FT. (0.35 ACRES) + 2,61414 SQ. FT. (0.06 ACRES) PERMITTED USES Hotel uses, retail uses, accessory parking, related and accessory uses. MAXIMUM FLOOR AREA RATIO 12 MAXIMUM # OF HOTEL KEYS 615 MAXIMUM # OF OFF-STREET PARKING SPACES MINIMUM # OF OFF-STREET LOADING SPACES 123 2 @ 10 feet x 25 feet each MAXIMUM BUILDING HEIGHT 251.83 feet (269.83 feet to top of structure) APPLICANT: DATE: REVISED: Toyoko Inn Chicago, LLC 32 ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2012-3739,chatgpt_review,base_to_pd,ML-2,PD,2.2,0.15,-2.05,downzone,0.15,overall_maximum_far,high,2012-06-06,2012-09-12,packet_04,5,"Bulk table lists Maximum FAR Phase I 0.01, Phase II 0.12, Overall 0.15.","Use overall PD FAR 0.15, not phase value 0.12.",ChatGPT,2026-07-03
SO2012-4964,mechanical_text_high,base_to_pd,DS-5,PD,5.0,9.65,4.65,upzone,9.65,to_far_text,high,2012-07-25,2012-12-12,,,"... and an additional floor area bonus of 1.65 through the Affordable Housing Bonus via a cash payment of $1,675,132.80 to the City of Chicago Affordable Housing Opportunity Fund. The base F.A.R of 7.0 and the two F.A.R bonuses will allow the project to achieve a maximum F.A.R. of 9.65. RECOMMENDATION The Department of Housing and Economic Development has reviewed the project materials submitted by the Applicant and have concluded that the proposed development would be appropriate for the site for the following reasons: The project complies ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2012-8202,chatgpt_review,base_to_pd,DX-12,PD,12.0,13.57,1.57,upzone,13.57,total_far,high,2012-12-12,2013-05-08,packet_03,14,"Bulk table lists Base FAR 12.0, Upper Level Setbacks 1.23, Green Roofs 0.34, TOTAL FAR 13.57.",Use total PD FAR including bonuses.,ChatGPT,2026-07-03
SO2012-8207,chatgpt_review,base_to_pd,ML-2,PD,2.2,1.348,-0.852,downzone,1.348,overall_maximum_far,high,2012-12-12,2013-04-10,packet_01,4,Bulk table lists Overall Maximum FAR: 1.348; Subarea A 1.2 and Subarea B 1.5.,"Use overall FAR, not subarea FAR values.",ChatGPT,2026-07-03
SO2013-784,mechanical_text_high,base_to_pd,DX-7,PD,7.0,8.32,1.32,upzone,8.32,to_far_text,high,2013-02-13,2014-02-05,,,"... DATA TABLE GROSS SITE AREA = Net Site Area + Area remaining in the public right-of-way 31,879.00 sq. ft. (0.73 acres) = 23,347.00 sq. ft. (0.54 acres) + 8,532.00 sq. ft. (0.20 acres) FAR: Base FAR: 7.00 Upper Level Setbacks 0.32 Affordable Housing 1.00 Total Maximum F.A.R: 8.32 SETBACKS FROM PROPERTY LINE Randolph Street: None East Property Line: None Court Place: None West Property Line: None MAXIMUM PERCEN TAGE OF SITE COVERAGE: Per Site Plan MAXIMUM NUMBER OF UNITS: 220 MINIMUM NUMBER OF ACCESSORY OFF-STREET PARKING: 154 spaces M ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2013-788,mechanical_text_high,base_to_pd,DC-16,PD,16.0,18.4,2.4,upzone,18.4,to_far_text,high,2013-02-13,2013-07-24,,,"... - 15 S. Dearborn St./35 - 39 W. Van Buren St. INTRODUCED: February 13, 2013 PLAN COMMISSION: July 18, 2013 FINAL FOR PUBLICATION The improvements on the Property will utilize the following FAR bonuses: Description FAR Base FAR: 16.00 Affordable Housing: 2.40 Total FAR: 18.40 The calculation of the additional Floor Area Ratio obtained through the series of proposed Bonuses is as follows: Affordable Housing = 24,417.6 s.f x 0.80 x $31 = $605,556.48 10. The Applicant acknowledges and agrees that the rezoning of the Property from DX- ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2013-4161,chatgpt_review,base_to_pd,RM-5,PD,2.0,0.54,-1.46,downzone,0.54,maximum_floor_area_ratio,high,2013-06-05,2015-09-24,packet_04,12,Bulk Regulation Table lists Maximum Floor Area Ratio 0.54.,"Original districts include RM-5 and B3-3; using parsed RM-5 from FAR 2.0, final PD FAR is 0.54.",ChatGPT,2026-07-03
SO2013-5522,chatgpt_review,base_to_pd,DX-7,PD,7.0,8.75,1.75,upzone,8.75,maximum_floor_area_ratio,high,2013-07-24,2014-02-05,packet_06,18,"Bulk table lists Maximum Floor Area Ratio 8.75, Base FAR 7.00, and FAR Bonuses 1.75.",Use whole-PD maximum FAR including bonus.,ChatGPT,2026-07-03
SO2013-6089,chatgpt_review,base_to_pd,DX-16,PD,16.0,16.0,0.0,same,16.0,maximum_floor_area_ratio,high,2013-09-11,2013-12-11,packet_07,18,Bulk table lists Maximum Floor Area Ratio (FAR): 16.,Use whole-PD maximum FAR 16.0.,ChatGPT,2026-07-03
SO2013-7544,chatgpt_review,base_to_pd,C2-3,PD,3.0,3.0,0.0,same,3.0,max_site_far,high,2013-10-16,2014-02-05,packet_05,11,"Bulk table states MAX SITE FAR: 95,964 SF/31,988 SF = 3.0 FAR.",Use whole-site PD FAR 3.0; mechanical 16.0 is not supported by quoted table.,ChatGPT,2026-07-03
SO2013-8384,chatgpt_review,base_to_pd,RS-3,PD,0.9,3.5,2.6,upzone,3.5,maximum_floor_area_ratio,high,2013-11-13,2014-04-30,packet_06,10,Bulk table lists Maximum Floor Area Ratio 3.50.,Original districts include RS-3 and B1-3; retained parsed RS-3 FAR 0.9.,ChatGPT,2026-07-03
SO2013-9419,chatgpt_review,base_to_pd,DC-16,PD,16.0,18.07,2.07,upzone,18.07,maximum_floor_area_ratio,high,2013-12-11,2014-04-30,packet_02,18,Bulk table lists Maximum Floor Area Ratio (FAR) 18.07; Sub-Area A 25.81 and Sub-Area B 7.24.,"Use whole-project maximum FAR 18.07, not subarea FAR values.",ChatGPT,2026-07-03
SO2014-31,chatgpt_review,base_to_pd,CL-2,PD,2.2,0.35,-1.85,downzone,0.35,maximum_floor_area_ratio,high,2014-01-15,2014-06-25,packet_04,9,"Bulk table lists Maximum Floor Area Ratio total .35, Sub Area A .35, Sub Area B .35.",Use total PD FAR 0.35.,ChatGPT,2026-07-03
SO2014-831,chatgpt_review,base_to_pd,CL-2,PD,2.2,5.0,2.8,upzone,5.0,overall_maximum_far,high,2014-02-05,2014-05-28,packet_01,8,"Bulk table lists Sub-Area A 13.14 FAR, Sub-Area B 1.17 FAR, and Overall 5.00.",Mechanical 13.14 is subarea FAR; whole-PD overall FAR is 5.00.,ChatGPT,2026-07-03
SO2014-832,mechanical_text_high,base_to_pd,DX-16,PD,16.0,17.18,1.18,upzone,17.18,to_far_text,high,2014-02-05,2014-10-08,,,"... has been determined using a Net Site Area of 21,103 square feet and a base FAR of 16. The improvements to be constructed on the Property will utilize the following series of FAR bonuses: Base FAR: "" ' 16.00 Upper-Level Setbacks: 0.84 Affordable Housing: 0.34 Total FAR: 17.18 Pursuant to the Affordable Housing Bonus provisions of Section 17-4-1004 ofthe Zoning Ordinance, the Applicant has requested an increase in the floor area of the Property. Prior to the issuance of any building permits authorizing the construction of any impro ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2014-1433,mechanical_text_high,base_to_pd,RS-1,PD,0.5,0.5,0.0,same,0.5,to_far_text,high,2014-03-05,2014-05-28,,,"... lle; 6934-58 N. Hiawatha Avenue; 6871-6895 N. Leoti; 6852-6892 N. Mendota FINAL FOR PUBLICATION INSTITUTIONAL PLANNED DEVELOPMENT BULK REGULATION AND DATA TABLE Gross Site Area: 246,704.64 SF Net Site Area: 195,224.22 SF Public Right of Way Area: 51,480.42 SF Maximum Floor Area Ratio: 0.50 Minimum Number of Off-Street Loading Berths: 1 at 10' x 25' Minimum Number of Off-Street Parking Spaces: 38 Minimum Number of Bicycle Parking Spaces: 4 Maximum Building Height: 44' Minimum Required Setback: Per Site Plan FINAL FOR PUBLICATION INSTITUTIONAL PL ...",High-confidence mechanical PD FAR text extraction.,mechanical,
SO2014-1450,chatgpt_review,base_to_pd,B1-5,PD,5.0,5.0,0.0,same,5.0,total_far,high,2014-03-05,2015-03-18,packet_05,1,"Bulk table lists Sub Area A 4.37 FAR, Sub Area B 0.63 FAR, and TOTAL FAR 5.0.","Use total PD FAR 5.0, not subarea value 4.37.",ChatGPT,2026-07-03
SO2014-2335,chatgpt_review,base_to_pd,CL-2,PD,2.2,3.5,1.3,upzone,3.5,maximum_floor_area_ratio,high,2014-04-02,2015-01-21,packet_05,7,Bulk table lists Maximum Floor Area Ratio 3.50.,Use whole-PD maximum FAR 3.50; mechanical 24 is parking count.,ChatGPT,2026-07-03
SO2014-2336,chatgpt_review,base_to_pd,DX-7,PD,7.0,11.15,4.15,upzone,11.15,total_far,high,2014-04-02,2014-09-10,packet_02,3,Statement lists Total FAR: 11.15 after bonus components including affordable housing 1.75 and adopt-a-landmark 1.40.,"Use total PD FAR, not maximum height or other table values.",ChatGPT,2026-07-03
SO2014-2337,chatgpt_review,base_to_pd,CL-3,PD,3.0,3.0,0.0,same,3.0,maximum_floor_area_ratio,high,2014-04-02,2014-06-25,packet_04,6,Bulk table lists Maximum Floor Area Ratio: 3.00.,"Original districts are C1-3/C2-3, both FAR 3.0; final PD FAR is 3.0.",ChatGPT,2026-07-03
SO2014-2338,chatgpt_review,base_to_pd,ML-1,PD,1.2,2.2,1.0,upzone,2.2,maximum_floor_area_ratio,high,2014-04-02,2014-11-05,packet_07,5,Bulk table lists Maximum Floor Area Ratio 2.2.,Evidence shows M1-1 to C2-2 to PD; use pre-ordinance M1-1 FAR 1.2 and final PD FAR 2.2.,ChatGPT,2026-07-03
SO2014-2347,mechanical_text_high,base_to_pd,C3-3,PD,3.0,3.0,0.0,same,3.0,to_far_text,high,2014-04-02,2014-06-25,,,"... of Property: 2120 S. Jefferson St./600-30 W. Cermak Rd. Business Planned Development No Bulk Regulations and Data Table FINAL FOR PUBLICATION Gross Site Area: Area in Adjoining Right-of-Way: Net Site Area: 159,704.9 14,560.9 145,144.0 sq. ft. sq. ft. sq. ft. Maximum Floor Area Ratio (FAR): 3.0 Minimum Number of Off-Street Parking Spaces: Accessory spaces for south building: Accessory spaces for theater uses: Accessory spaces for special theater events for 1,000+ Capacity events 12 spaces 100 spaces 200 off site spaces Located 660 West Cermak Minimu ...",High-confidence mechanical PD FAR text extraction.,mechanical,
