matter_id,corrected_to_code,evidence_source,evidence
SO2012-3734,PD,ordinance Section 1,Business PD 98 to Business PD 98 as amended
SO2012-7165,PD,ordinance Section 1,Residential PD 1135 to Residential PD 1135 as amended
SO2013-1586,PD,ordinance Section 1,Business PD 322 to Business PD 322 as amended
SO2013-5511,PD,ordinance Section 1,Residential-Business PD 1164 to the same PD as amended
SO2013-6536,PD,ordinance Section 1,Residential-Business PD 113 to the same PD as amended
SO2013-8394,PD,ordinance Section 1,Residential PD 156 to Residential PD 156 as amended
SO2014-2442,PD,ordinance Section 1,Institutional PD 670 to Institutional PD 670 as amended
SO2014-4967,PD,ordinance Section 1,Residential-Business PD 1229 to the same PD as amended
SO2014-835,PD,ordinance Section 1,Residential-Business PD 681 to the same PD as amended
SO2015-1419,PD,ordinance Section 1,Residential-Business PD 368 to the same PD as amended
SO2015-4642,PD,ordinance Section 1,Residential-Business PD 70 to the same PD as amended
SO2015-5352,PD,ordinance Section 1,Residential-Business PD 132 to the same PD as amended
SO2015-8062,PD,ordinance Section 1,Residential-Business PD 988 to the same PD as amended
SO2016-4778,PD,ordinance Section 1,Residential-Business PD 1043 to the same PD as amended
SO2015-2620,RT-4.5,ordinance Section 1,Residential PD 990 to RT-4.5
