matter_id,old_far,new_far,scope,confidence,source_attachment,source_pages,evidence
SO2011-6632,0.30,0.40,whole_pd,high,elms_9fcd3fcf5bacd36e,14,"Plan Commission text states that FAR increases from 0.30 to 0.40."
SO2011-7046,18.40,18.40,whole_pd,high,elms_f19a6b8097ed8ca5,5,"Plan Commission text states that the amended PD remains at the previously approved maximum FAR of 18.40."
SO2011-8892,0.75,0.75,whole_pd,high,elms_99983a0fc2f7dba9,"4;6","Background gives prior maximum FAR 0.75 and the proposed development retains maximum FAR 0.75."
SO2012-3734,18.00,18.00,whole_pd,high,elms_5ed0a629b00d51d4,8,"Ordinance states base FAR 18.0 and that no change is made to overall allowable FAR."
SO2012-8193,0.37,0.38,whole_pd,high,elms_ada7e52f3686f735,4,"Application and notice explicitly state an FAR increase from 0.37 to 0.38."
SO2013-8665,0.75,0.75,whole_pd,high,elms_4a07ef81215e2711,24,"Plan Commission text states that maximum FAR 0.75 is unchanged."
SO2014-9700,0.50,0.50,whole_pd,high,elms_34c54884cbfad7be,12,"Technical amendment states total FAR 0.5 and no expansion or bulk change."
SO2015-3701,0.40,0.40,whole_pd,high,elms_9d5d247d325590cb,11,"Technical amendment states total FAR 0.4 and no expansion or bulk change."
SO2015-6399,18.40,18.40,whole_pd,high,elms_9f679689e27fdfee,25,"Packet states neither subarea FAR changes; the attached table retains overall maximum FAR 18.40."
SO2010-5174,1.20,1.20,whole_pd,high,dpd_pd_archive_PD1107,19;11,"The 2008 and 2010 dated bulk tables both report maximum whole-PD FAR 1.20."
SO2011-2264,2.20,2.20,whole_pd,high,dpd_pd_archive_PD60,67;48,"The original and 2011 dated bulk tables both report maximum whole-PD FAR 2.20."
SO2011-5459,2.36,2.44,whole_pd,high,dpd_pd_archive_PD559,18;5,"The 1994 table reports whole-PD FAR 2.36 and the 2012 table reports 2.44."
SO2011-617,0.96,1.00,whole_pd,high,dpd_pd_archive_PD850,34;10,"The 2002 table reports total-site FAR 0.96 and the 2011 table reports total-site FAR 1.00."
SO2011-8756,2.98,2.98,whole_pd,high,dpd_pd_archive_PD84,56;36,"The May 2011 and November 2011 dated tables both report maximum whole-PD FAR 2.98."
SO2011-8873,3.92,3.92,whole_pd,high,dpd_pd_archive_PD1095,39;8,"The 2008 and 2012 dated tables both report maximum whole-PD FAR 3.92."
SO2012-2179,0.65,0.65,whole_pd,high,dpd_pd_archive_PD418,17;7,"The 1987 ordinance and the 2012 matter-specific amendment both report whole-PD FAR 0.65."
SO2012-2212,2.98,2.994,whole_pd,high,dpd_pd_archive_PD84,36;15,"Sequential dated tables report maximum whole-PD FAR increasing from 2.98 to 2.994."
SO2012-2252,2.00,2.00,whole_pd,high,dpd_pd_archive_PD697,22;8,"The 1998 and 2012 dated tables both report maximum whole-PD FAR 2.00."
SO2012-3781,1.70,1.70,whole_pd,high,dpd_pd_archive_PD1068,30;11,"The 2007 and 2012 dated tables both report maximum whole-PD FAR 1.70."
