source_project_id,disposition,final_project_ids,decision_reason,evidence_ids,confidence
residential_tieback_16231160090000,exclude_source_duplicate_keep_successors,,The obsolete tieback lineage contains two card signatures that reappear as individually retained Springfield successor buildings; retaining the master row would duplicate them.,assessor_cards_1623116009_1623116010_1623116045/current_pins_1623116044_1623116046_1623116047_1623116048,high
residential_tieback_20101040190000,resolved_upstream,,Assessor producer now supplies residential_adjudicated_calumet_2015 from three selected 2022 building cards; do not recreate the old 2014 manual row.,permits_100506657_100506658_100506660/assessor_cards_2010104019_2010104020_2010104021; user approval 2026-09-08; residential_reviewed ledgers,approved_treatment
residential_297_group_17104000490000,merge_into_site_project,residential_adjudicated_harbor_2021,Both class-297 source rows describe the same 211 N Harbor tower and the same permit chain.,permits_100821394_100918242/condo_base_1710400050,high
residential_297_group_17104000540000,merge_into_site_project,residential_adjudicated_harbor_2021,Both class-297 source rows describe the same 211 N Harbor tower and the same permit chain.,permits_100821394_100918242/condo_base_1710400050,high
residential_tieback_13124110110000,exclude_unreliable_combined_record,,Retain individual homes; old combined record cannot establish additional construction; full successor coverage remains unverified.,current_successors_1312411102_1312411125; user approval 2026-09-08; residential_reviewed ledgers,approved_treatment
residential_tieback_13362320330000,replace_with_building,residential_adjudicated_california_2018,The completed six-unit permit and the stable successor assessor record identify one new building at 1716 N California; older lineage members are not new construction.,permit_100740325/current_pin_13363230340000,high
residential_tieback_13364220230000,resolved_upstream,,Eight individual Campbell homes now carry approved 2007 proxy and private lot measurements in the Assessor producer; do not recreate the old 2006 combined site.,permits_100085992_100085993/current_pins_1336422050_1336422058; user approval 2026-09-08; residential_reviewed ledgers,approved_treatment
residential_tieback_14193070150000,exclude_unverified_new_building_measurement,,User approved density exclusion pending independent new-dwelling identity and measurement; correct new-house permit 100550250; not a finding of no new construction.,permit_100464213_3531_Seeley/permit_100550250_3529_Seeley/assessor_1419307015_1419307016; user approval 2026-09-08; residential_reviewed ledgers,approved_treatment
residential_tieback_19074280010000,exclude_source_duplicate_keep_successors,,Two completed Nashville permits are already represented by the separately retained successor houses on PINs 1907428048 and 1907428049.,permits_100405266_100412191/current_pins_1907428048_1907428049,high
residential_multicard_13233050130000,exclude_source_duplicate_keep_successors,,Three completed Eddy permits and three construction-year successor parcels are already retained as separate houses.,permits_100887196_100887222_100887251/current_pins_1323305034_1323305036,high
residential_multicard_13252030440000,exclude_source_duplicate_keep_successors,,The Fletcher master parcel was divided into separately retained townhouse and house PINs whose assessor years and fields carry the physical buildings.,current_successors_1325203046_1325203065,high
residential_multicard_14301180100000,exclude_source_duplicate_keep_successors,,The Bell master cards correspond to eleven separately retained 2006 and 2008 successor houses; later Wolfram houses are also retained separately.,current_successors_1430118036_1430118076,high
residential_multicard_16362010710000,exclude_source_duplicate_keep_successors,,The 32nd Place and Bross master-site episodes were divided into separately retained successor townhouses; retaining the old aggregate would duplicate the development.,historical_parcel_1636201009/current_successors_1636201037_1636201108,high
residential_multicard_17223090140000,merge_into_site_project,residential_adjudicated_cullerton_prairie_2017,The permit explicitly identifies this four-unit building as one part of a single 12-unit townhouse project.,permits_100669470_100684888,high
residential_multicard_17223090150000,merge_into_site_project,residential_adjudicated_cullerton_prairie_2017,The permit explicitly identifies this four-unit building as one part of a single 12-unit townhouse project.,permits_100669471_100684890,high
residential_multicard_17223090330000,merge_into_site_project,residential_adjudicated_cullerton_prairie_2017,The permit explicitly identifies this four-unit building as one part of a single 12-unit townhouse project.,permits_100669467_100684885,high
