source_family,source_project_id,final_project_id,application_stage,application_scope,action,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,reported_construction_year,reported_land_sqft,year_source,units_source,building_source,land_source,decision_source,decision_reason,evidence_ids,evidence_urls,confidence,unresolved_caveat,reviewer,review_date,status
residential,residential_20024051000000,residential_20024051000000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051010000,residential_20024051010000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051020000,residential_20024051020000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051030000,residential_20024051030000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051040000,residential_20024051040000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051050000,residential_20024051050000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051060000,residential_20024051060000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051070000,residential_20024051070000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051080000,residential_20024051080000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051090000,residential_20024051090000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051100000,residential_20024051100000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051110000,residential_20024051110000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051120000,residential_20024051120000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051130000,residential_20024051130000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
residential,residential_20024051140000,residential_20024051140000,project_identity,construction_year,,2017,,,,,,2019,,,,,,,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390,,,,,,
