source_project_id,overlap_action,replacement_project_id,decision_reason,evidence_ids,confidence
residential_297_group_17092060350000,replace_by_commercial,commercial_17092060390000,Jacob approved one completed One Chicago project with 735 rental apartments and 77 condos on the shared Assessor site. Permit 100785446 covers both towers and the podium with 812 homes. Floor-area coverage remains unresolved; retain homes-per-acre only.,commercial_17092060390000/condo_base_1709206042,high
residential_297_group_17092060370000,replace_by_commercial,commercial_17092060390000,Jacob approved one completed One Chicago project with 735 rental apartments and 77 condos on the shared Assessor site. Permit 100785446 covers both towers and the podium with 812 homes. Floor-area coverage remains unresolved; retain homes-per-acre only.,commercial_17092060390000/condo_base_1709206042,high
residential_overlap_13141220320000,exclude_not_new_construction,,The commercial and residential histories describe an older building whose assessor year was revised rather than new construction during the study period.,commercial_disposition_13141220320000/residential_history_13141220320000,high
residential_overlap_13243090220000,replace_by_commercial,commercial_13243090220000,The commercial record is the complete retained record for the same physical project.,commercial_13243090220000,high
residential_overlap_13253150700000,replace_by_commercial,commercial_13253150700000,The commercial record is the complete retained record for the same physical project.,commercial_13253150700000,high
residential_overlap_13312050690000,replace_by_commercial,commercial_13312050690000,The commercial record is the complete retained record for the same physical project.,commercial_13312050690000,high
residential_overlap_13312140010000,replace_by_commercial,commercial_13312140010000,Completed permit and assessor evidence resolve the same eighty-four-unit project in the commercial ledger.,commercial_13312140010000,high
residential_overlap_14333000110000,exclude_not_new_construction,,The commercial and residential histories describe an existing building conversion rather than ground-up construction.,commercial_disposition_14333000110000/residential_history_14333000110000,high
residential_overlap_16113040200000,replace_by_commercial,commercial_16113040200000,The commercial record is the complete retained record for the same physical project.,commercial_16113040200000,high
residential_overlap_16242010170000,replace_by_commercial,commercial_16242010170000,The commercial record is the complete retained record for the same physical project.,commercial_16242010170000,high
residential_overlap_16242020090000,replace_by_commercial,commercial_16242020090000,The commercial record is the complete retained record for the same physical project.,commercial_16242020090000,high
residential_overlap_16242020170000,replace_by_commercial,commercial_16242020170000,The commercial record is the complete retained record for the same physical project.,commercial_16242020170000,high
residential_overlap_16242060510000,replace_by_commercial,commercial_16242060510000,The commercial record is the complete retained record for the same physical project.,commercial_16242060510000,high
residential_overlap_16242070100000,replace_by_commercial,commercial_16242070100000,The commercial record is the complete retained record for the same physical project.,commercial_16242070100000,high
residential_overlap_16242070310000,replace_by_commercial,commercial_16242070310000,The commercial record is the complete retained record for the same physical project.,commercial_16242070310000,high
residential_overlap_16242070760000,replace_by_commercial,commercial_16242070760000,The commercial record is the complete retained record for the same physical project.,commercial_16242070760000,high
residential_overlap_17064360170000,retain_residential_resolution,,The overlapping commercial record was excluded as an assessor year revision; the residential record supplies the valid new-construction observation.,commercial_disposition_17064360170000/residential_history_17064360170000,high
residential_overlap_17082260110000,replace_by_commercial,commercial_17082260110000,Permit and assessor evidence resolve the same sixteen-unit project in the commercial ledger.,commercial_17082260110000,high
residential_overlap_17202070620000,replace_by_commercial,commercial_17202070620000,The commercial record is the complete retained record for the same physical project.,commercial_17202070620000,high
residential_tieback_13143060050000,replace_by_commercial,commercial_13143060050000,Completed permits and tied assessor records resolve the same fifteen-unit project in the commercial ledger.,commercial_13143060050000,high
residential_tieback_13363150560000,retain_residential_resolution,,The commercial record was excluded in favor of the tied residential building record.,commercial_disposition_13363150560000/residential_tieback_13363150560000,high
residential_tieback_13363150580000,retain_residential_resolution,,The commercial record was excluded in favor of the tied residential building record.,commercial_disposition_13363150590000/residential_tieback_13363150580000,high
residential_tieback_14301040010000,replace_by_commercial,commercial_14301040010000,Completed permit evidence resolves the same eight-unit project in the commercial ledger.,commercial_14301040010000,high
residential_tieback_14324090340000,replace_by_residential_successor,residential_14324090760000,The tied predecessor and later PIN report the same 6304-square-foot building; the later stable PIN is retained once.,residential_tieback_14324090340000/residential_14324090760000,high
residential_tieback_16132180010000,replace_by_commercial,commercial_16132180010000,Permit and assessor evidence resolve the same seventy-unit project in the commercial ledger.,commercial_16132180010000,high
residential_tieback_16242060480000,replace_by_commercial,commercial_16242060480000,The commercial record is the complete retained record for the same physical project.,commercial_16242060480000,high
residential_tieback_16242070150000,replace_by_commercial,commercial_16242070150000,Completed permits and tied assessor records resolve the same six-unit project in the commercial ledger.,commercial_16242070150000,high
residential_tieback_16242070560000,replace_by_commercial,commercial_16242070560000,The commercial record is the complete retained record for the same physical project.,commercial_16242070560000,high
residential_overlap_17084220290000,replace_by_commercial,commercial_17084220290000,One mixed-use building on the identical parcel. The commercial final ledger now carries the complete 2025 residential Assessor measurements: two apartments and one separately recorded commercial unit.,assessor_row_1708422029000022025,high
residential_overlap_17084220340000,replace_by_commercial,commercial_17084220340000,One mixed-use building on the identical parcel. The commercial final ledger now carries the complete 2025 residential Assessor measurements: two apartments and one separately recorded commercial unit.,assessor_row_1708422034000022025,high
residential_overlap_11321040210000,replace_by_commercial,commercial_11321040200000,The six-home residential copy covers one parcel of the completed two-building nine-plus-nine apartment site; retain the reviewed commercial pair covering both exact parcels.,permits_100010473_100010476/commercial_2024_row_44799,high
