project_id,multifamily,classification_source,evidence_urls,decision_reason,review_date
residential_multicard_13354110480000,TRUE,recorded_external_building_type_review,https://www.realtor.com/realestateandhomes-detail/1857-N-Sawyer-Ave-A_Chicago_IL_60647_M70187-88550; https://www.zillow.com/b/1857-n-sawyer-ave-chicago-il-9hKH8N/,"The exact permit authorizes one two-dwelling-unit building at 1857 N Sawyer. External records identify the address as one condo building and Unit A as a condo duplex. The two one-unit cards are two dwellings in one physical building, so this project belongs in the multifamily sample.",2026-07-24
residential_multicard_13361150350000,TRUE,recorded_external_building_type_review,https://www.compass.com/building/2005-n-albany-ave-chicago-il-60647/593396409571331701/; https://www.redfin.com/IL/Chicago/2005-N-Albany-Ave-60647/unit-2005/home/100815692,"The exact permit authorizes one six-dwelling-unit masonry building. Compass identifies 2005 N Albany as a six-unit, three-story townhouse-condo building, and Redfin reports six units in the building. Although the units have townhouse layouts, the evidence supports one six-unit physical building and the project belongs in the multifamily sample.",2026-07-24
residential_multicard_13363170210000,TRUE,recorded_external_building_type_review,https://www.padmapper.com/rentals/9425316p/2-bedroom-2-bath-apartment-at-1701-n-troy-st-chicago-il-60647; https://www.google.com/maps/search/?api=1&query=1701%20N%20Troy%20St%20Chicago%20IL,The external rental record and the A/B successor addresses identify one two-unit residential building. Two cards and two unit-designated successors reproduce the two-unit count.,2026-07-24
residential_multicard_14072180230000,TRUE,recorded_external_building_type_review,https://www.zillow.com/b/1724-w-berwyn-ave-chicago-il-9s6r/; https://www.google.com/maps/search/?api=1&query=1724%20W%20Berwyn%20Ave%20Chicago%20IL,Zillow identifies 1724 W Berwyn as one apartment building and separately lists Units 1 and 2. The two one-unit cards therefore represent two dwellings in one physical multifamily building.,2026-07-24
residential_multicard_14313250410000,FALSE,recorded_external_building_type_review,https://chicago.legistar.com/LegislationDetail.aspx?From=RSS&FullText=1&G=503964DF-290E-455B-86CC-7B03A231E984&GUID=EBD8C809-7AFE-4E5F-85C7-215B41E81447&ID=1423009; https://www.crexi.com/lease/properties/998809/illinois-1708-n-damen-avenue-1,"The official zoning application specifies ground-floor retail with one dwelling above. Crexi identifies one 3,085-square-foot mixed-use building and labels two total units, evidently one commercial and one residential. The assessor's two-unit value is not a count of two dwellings; this site should not enter the multifamily sample.",2026-07-24
residential_multicard_14324100350000,FALSE,recorded_external_building_type_review,https://www.zillow.com/homedetails/1962-N-Halsted-St-Chicago-IL-60614/2123257043_zpid/; https://www.google.com/maps/search/?api=1&query=1962%20N%20Halsted%20St%20Chicago%20IL,"Zillow identifies 1962 N Halsted as one 7,896-square-foot single-family residence. The two assessor cards do not describe two residential buildings or two dwellings, so this site should be excluded from the multifamily sample and its residential unit count requires correction to one.",2026-07-24
residential_multicard_16133120460000,FALSE,recorded_external_building_type_review,https://ilfls.com/listing/821-s-kedzie-ave-unit-2-chicago-il-60612-403359; https://www.redfin.com/IL/Chicago/805-S-Kedzie-Ave-60612/home/64226794,"External listings identify the Kedzie addresses as townhouse or rowhouse units, and parcel lineage identifies ten physical townhouse successors. The historical parent has five cards and reports fifteen units, so building type is resolved but its parent-specific unit total is not.",2026-07-24
residential_multicard_17073250490000,TRUE,recorded_external_building_type_review,https://www.peakproperties.biz/apartments/il/chicago/2235-w-washington-blvd/default; https://www.loopnet.com/property/2235-w-washington-blvd-chicago-il-60612/17031-17073250490000/,"The property manager identifies one four-unit apartment building, while LoopNet and the current noncondominium assessor record report 4,684 square feet on the exact PIN. The two historical cards occur in different tax years and should not be summed. Replace the historical two-unit, 9,368-square-foot totals with four units and 4,684 square feet.",2026-07-24
residential_19102040040000,FALSE,recorded_project_building_type_review,,The permit identifies a new mixed-use building with one dwelling above a ground-floor restaurant. The Assessor's two-unit count mixes residential and commercial units.,
residential_20322020220000,TRUE,recorded_project_building_type_review,https://www.crexi.com/property-records/20-32-202-022-0000-CHICAGO-IL-60620/0eb7fa05bd9c61da9d1c2b24ced750ad4f297152,Exact-PIN records consistently identify one three-unit building completed in 2006 and confirm the Assessor's building and lot areas.,
commercial_16014000010000,TRUE,recorded_project_building_type_review,https://www.loopnet.com/property/2751-w-division-st-chicago-il-60622/17031-16014000010000/,"The exact commercial parcel record confirms the apartment use, 34,725 square feet of building area, and parcel identity. No conflicting pre-period structure or later conversion was found.",
residential_16012050160000,TRUE,recorded_project_building_type_review,https://www.redfin.com/IL/Chicago/1533-N-Maplewood-Ave-60622/home/12740577,"The exact parcel consistently identifies a three-unit building with the Assessor's physical fields, and no permit, sale, or footprint evidence contradicts the 2006 construction designation.",
residential_13362270720000,TRUE,recorded_project_building_type_review,https://www.redfin.com/IL/Chicago/2726-W-Chanay-St-60647/home/18954253,"The exact-PIN record identifies one three-unit 2006 building and confirms 4,483 square feet of building area and 3,750 square feet of land.",
residential_16113040410000,TRUE,recorded_project_building_type_review,https://www.realtor.com/realestateandhomes-detail/306-N-Hamlin-Ave_Chicago_IL_60624_M85388-25076,The exact parcel record confirms a three-unit building and the MLS dates it to 2008. The Assessor's 2006 year is corrected to the independently reported completion year.,
