project_id,construction_year,pin,row_id,reason,source_project_id
residential_adjudicated_vernon_2020,2020,20034000310000,2003400031000012022,Five townhomes across three parcels; 2020 approved by user; all measurements from complete 2022 assessment; permit 100802189,residential_multicard_20034000310000
residential_adjudicated_vernon_2020,2020,20034000310000,2003400031000022022,Five townhomes across three parcels; 2020 approved by user; all measurements from complete 2022 assessment; permit 100802189,residential_multicard_20034000310000
residential_adjudicated_vernon_2020,2020,20034000320000,2003400032000012022,Five townhomes across three parcels; 2020 approved by user; all measurements from complete 2022 assessment; permit 100802189,residential_multicard_20034000320000
residential_adjudicated_vernon_2020,2020,20034000320000,2003400032000022022,Five townhomes across three parcels; 2020 approved by user; all measurements from complete 2022 assessment; permit 100802189,residential_multicard_20034000320000
residential_adjudicated_vernon_2020,2020,20034000330000,2003400033000012022,Five townhomes across three parcels; 2020 approved by user; all measurements from complete 2022 assessment; permit 100802189,residential_20034000330000
residential_adjudicated_geneva_2007,2007,14283040840000,1428304084000012014,Original residence before the documented 2013 addition appears in assessments 2008-2014 at 5756 sqft; later storage permit 100538073 is not another house,residential_tieback_14283040840000
residential_14324160450000,2018,14324160450000,1432416045000012022,Retain the separately assessed new home with the existing 2022 Assessor year and measurements; historical linkage describes the demolished 1888 buildings,residential_tieback_14324160450000
residential_14324160460000,2019,14324160460000,1432416046000012022,Retain the separately assessed new home with the existing 2022 Assessor year and measurements; historical linkage describes the demolished 1888 buildings,residential_tieback_14324160450000
residential_adjudicated_calumet_2015,2015,20101040190000,2010104019000012022,User approved one three-building site; permits 100506657/100506658/100506660 support 6+3+3 apartments; select each building once from 2022; sum distinct parcel land; 2015 Assessor completion proxy; approval 2026-09-08,residential_tieback_20101040190000
residential_adjudicated_calumet_2015,2015,20101040200000,2010104020000022022,User approved one three-building site; permits 100506657/100506658/100506660 support 6+3+3 apartments; select each building once from 2022; sum distinct parcel land; 2015 Assessor completion proxy; approval 2026-09-08,residential_tieback_20101040190000
residential_adjudicated_calumet_2015,2015,20101040210000,2010104021000012022,User approved one three-building site; permits 100506657/100506658/100506660 support 6+3+3 apartments; select each building once from 2022; sum distinct parcel land; 2015 Assessor completion proxy; approval 2026-09-08,residential_tieback_20101040190000
residential_adjudicated_20231160220000,2008,20231160220000,2023116022000012022,"Two completed new-building permits (100110271 and 100110747) identify two separate two-flats on this parcel. The complete 2022 Assessor assessment supplies both cards, each with two homes and year 2008. Retain the two building measurements and count the reported parcel land once. External building-count corroboration: https://www.crexi.com/property-records/20-23-116-022-0000-CHICAGO-IL-60637/2d8158354d567f8f68288919025f8254e6bfb76d",residential_tieback_20231160220000
residential_adjudicated_20231160220000,2008,20231160220000,2023116022000022022,"Two completed new-building permits (100110271 and 100110747) identify two separate two-flats on this parcel. The complete 2022 Assessor assessment supplies both cards, each with two homes and year 2008. Retain the two building measurements and count the reported parcel land once. External building-count corroboration: https://www.crexi.com/property-records/20-23-116-022-0000-CHICAGO-IL-60637/2d8158354d567f8f68288919025f8254e6bfb76d",residential_tieback_20231160220000
residential_adjudicated_20231030370000,2008,20231030370000,2023103037000012022,"Two completed new-building permits (100110825 and 100110877) identify two separate two-flats on this parcel. The complete 2022 Assessor assessment supplies both cards, each with two homes and year 2008. Retain the two building measurements and count the reported parcel land once. External building-count corroboration: https://www.redfin.com/IL/Chicago/6434-S-Drexel-Ave-60637/home/18951691",residential_tieback_20231030370000
residential_adjudicated_20231030370000,2008,20231030370000,2023103037000022022,"Two completed new-building permits (100110825 and 100110877) identify two separate two-flats on this parcel. The complete 2022 Assessor assessment supplies both cards, each with two homes and year 2008. Retain the two building measurements and count the reported parcel land once. External building-count corroboration: https://www.redfin.com/IL/Chicago/6434-S-Drexel-Ave-60637/home/18951691",residential_tieback_20231030370000
residential_17331231220000,2022,17331231220000,1733123122000022025,"Separate house and exact-address new-building permit; complete 2025 assessment has one positive card, full parcel share and no link to the neighboring house. Preserve source-reported individual land and floor area.",residential_tieback_17331231220000
residential_17331231230000,2022,17331231230000,1733123123000022025,"Separate house and exact-address new-building permit; complete 2025 assessment has one positive card, full parcel share and no link to the neighboring house. Preserve source-reported individual land and floor area.",residential_tieback_17331231220000
residential_adjudicated_michigan_6616_2008,2008,20221050360000,2022105036000012022,Separate three-apartment building with its own January 2008 new-building permit; retain one complete 2022 Assessor record and its reported lot. Identical floor areas are not duplicate buildings. Assessor 2008 proxy agrees with the 2014 marketing descriptions.,residential_tieback_20221050360000
residential_adjudicated_michigan_6612_2008,2008,20221050630000,2022105063000012022,Separate three-apartment building with its own January 2008 new-building permit; retain one complete 2022 Assessor record and its reported lot. Identical floor areas are not duplicate buildings. Assessor 2008 proxy agrees with the 2014 marketing descriptions.,residential_tieback_20221050360000
