project_id,replacement_project_id,reason,evidence
residential_20034000840000,residential_adjudicated_vernon_2020,Later individual parcel number for a home already in the approved five-home site,2025 Cook County parcels divide the 2020 site into five lots; all five centers inside; 2024-to-2025 assessment handoff; three middle and two end-home measurements within 1.5 percent; permit 100802189; retain approved 2020 measurements
residential_20034000850000,residential_adjudicated_vernon_2020,Later individual parcel number for a home already in the approved five-home site,2025 Cook County parcels divide the 2020 site into five lots; all five centers inside; 2024-to-2025 assessment handoff; three middle and two end-home measurements within 1.5 percent; permit 100802189; retain approved 2020 measurements
residential_20034000860000,residential_adjudicated_vernon_2020,Later individual parcel number for a home already in the approved five-home site,2025 Cook County parcels divide the 2020 site into five lots; all five centers inside; 2024-to-2025 assessment handoff; three middle and two end-home measurements within 1.5 percent; permit 100802189; retain approved 2020 measurements
residential_20034000870000,residential_adjudicated_vernon_2020,Later individual parcel number for a home already in the approved five-home site,2025 Cook County parcels divide the 2020 site into five lots; all five centers inside; 2024-to-2025 assessment handoff; three middle and two end-home measurements within 1.5 percent; permit 100802189; retain approved 2020 measurements
residential_20034000880000,residential_adjudicated_vernon_2020,Later individual parcel number for a home already in the approved five-home site,2025 Cook County parcels divide the 2020 site into five lots; all five centers inside; 2024-to-2025 assessment handoff; three middle and two end-home measurements within 1.5 percent; permit 100802189; retain approved 2020 measurements
residential_20232131100000,residential_20232130970000,Later record of the same home after the dividing lot line moved; retain construction-era assessment,2018 and 2019 Cook County polygons retain the same combined outer boundary; same 1375 E 64th address; consecutive assessments; 2070 or 2072 building square feet; permits 100658165 and 100658166 establish two homes; retain coherent 2018 assessment and its original lot instead of post-construction land transfer
residential_20232131110000,residential_20232130980000,Later record of the same home after the dividing lot line moved; retain construction-era assessment,2018 and 2019 Cook County polygons retain the same combined outer boundary; same 1373 E 64th address; consecutive assessments; 2070 or 2072 building square feet; permits 100658165 and 100658166 establish two homes; retain coherent 2018 assessment and its original lot instead of post-construction land transfer
residential_tieback_16231160090000,residential_16231160440000/residential_16231160460000/residential_16231160470000/residential_16231160480000,"Four individually retained Springfield houses replace the obsolete combined record; their land sums to 12586 sqft, exactly the two original lot areas, and their locations fall inside the saved predecessor parcels",Assessor original PINs 1623116009/6010 land 4719+7867; successor land 3147+3146+3147+3146; historical objects 35992@2006 and 35965/1572994@2007; parcel_universe_2025
residential_tieback_19074280010000,residential_19074280480000/residential_19074280490000,Retain the two individual Nashville houses; the obsolete combined record repeats their construction and includes an old 1908 card,Completed permits 100405266 at 5409 and 100412191 at 5405 both cite old PIN1907428001; successor points lie inside saved historical objects591845@2011 and595532@2012
residential_17324080370000,residential_17324080380000,User-approved duplicate exclusion; retain the continuing individually assessed house at 3626 S Sangamon without combining land areas,Same recorded address and 1998 building sqft on both PINs in 2010-2011; PIN038 carries the house through 2026 with 903 land sqft; PIN037 becomes vacant land; user approval 2026-09-08
residential_tieback_16133150050000,residential_16133150550000/residential_16133150560000/residential_16133150570000,The obsolete Polk parent duplicates the three separately measured completed three-flats; retain each in approved 2010.,2009 permits; individual assessments; user approval 2026-09-09
residential_tieback_17324080260000,residential_17324080800000/residential_17324080810000/residential_17324080820000/residential_17324080830000/residential_17324080840000/residential_17324080850000/residential_17324080860000/residential_17324080870000/residential_17324080880000/residential_17324080890000/residential_17324080900000/residential_17324080910000/residential_17324080920000/residential_17324080930000/residential_17324080940000/residential_17324080950000/residential_17324080960000/residential_17324080970000/residential_17324080980000/residential_17324080990000/residential_17324081000000/residential_17324081010000/residential_17324081020000/residential_17324081030000,The obsolete Lexington development record duplicates the 24 separately measured townhomes; retain individual homes with approved row-completion years.,five April 2012 permits; final inspections 2013/2014; user approval 2026-09-09
