project_id,component_id,disposition,successor_rule,confidence,evidence
residential_multicard_13221240150000,episode_008,retain_card_inventory,suppress_matched_successors,high,"Three construction-year cards contain three units; three later rows reproduce those cards, while one unmatched neighboring row remains separate."
residential_multicard_13252030410000,episode_018,retain_card_inventory,suppress_matched_successors,high,"Two construction-year cards contain two units; two later rows reproduce those cards, while three unmatched neighboring rows remain separate."
residential_multicard_13254120290000,episode_019,retain_card_inventory,suppress_matched_successors,high,"Two construction-year cards contain two units. One later Rockwell row reproduces one card; the other card remains represented by the parent inventory."
residential_multicard_13353210020000,episode_022,retain_card_inventory,suppress_matched_successors,high,"Three construction-year cards contain three units and transition to three matched Monticello rows."
residential_multicard_17211230250000,episode_055,retain_card_inventory,suppress_matched_successors,high,"Five construction-year cards contain five units. One later row reproduces one card; unmatched nearby Emerald and 15th Street rows remain separate."
residential_multicard_17215060040000,episode_058,retain_card_inventory,suppress_matched_successors,high,"Twelve construction-year cards contain twelve units; six later rows reproduce individual cards and the remaining nearby rows represent additional buildings."
residential_multicard_17215060456002,episode_057,retain_card_inventory,suppress_matched_successors,high,"Seven construction-year cards contain seven units; five later rows reproduce individual cards and the unmatched Union and 16th Street rows remain separate."
residential_multicard_17271090050000,episode_062,retain_card_inventory,suppress_matched_successors,high,"Twenty-five construction-year cards contain twenty-five units and match twenty-five later Wabash rows. Two unmatched later rows remain separate projects."
residential_multicard_17271090190000,episode_061,retain_card_inventory,suppress_matched_successors,high,"Fifteen construction-year cards contain fifteen units; thirteen later Wabash rows reproduce individual cards. The remaining cards stay in the parent inventory."
residential_multicard_17271290140000,episode_065,retain_card_inventory,suppress_matched_successors,high,"Thirteen construction-year cards contain thirteen units. Two later Calumet rows reproduce individual cards; the other cards remain represented by the parent inventory."
residential_multicard_17271290150000,episode_064,retain_card_inventory,suppress_matched_successors,high,"Twenty-nine distinct construction-year townhouse cards describe the Eastgate and Calumet portion of the development. Four later rows reproduce individual cards."
residential_multicard_17271290160000,episode_066,retain_card_inventory,none,high,"Four distinct 2007 townhouse cards on the larger 208 E 25th parcel do not match the separate nine-townhouse 2008 parcel and are retained independently."
residential_multicard_19111200130000,episode_077,retain_card_inventory,suppress_matched_successors,high,"Seven construction-year townhouse cards match seven later 50th and 51st Street rows."
residential_multicard_19111230100000,episode_077,retain_card_inventory,suppress_matched_successors,high,"Four construction-year townhouse cards match four later 50th and 51st Street rows."
residential_multicard_19111230110000,episode_077,retain_card_inventory,suppress_matched_successors,high,"Four construction-year townhouse cards represent four distinct addresses. Three match later rows; the unmatched fourth is supported by the 3607 W 50th Place permit address in the same development."
residential_multicard_20102110280000,episode_091,retain_card_inventory,suppress_matched_successors,high,"Two construction-year cards contain two units; two later Champlain rows reproduce those cards and one unmatched row remains separate."
residential_multicard_25194030010000,episode_100,retain_card_inventory,suppress_matched_successors,high,"Six construction-year cards contain six units; six later Vincennes rows reproduce those cards and one unmatched row remains separate."
residential_multicard_25194030020000,episode_101,retain_card_inventory,suppress_matched_successors,high,"Five construction-year cards contain five units; four later Vincennes rows reproduce individual cards and the unmatched fifth card remains in the parent inventory."
residential_multicard_13243050060000,episode_013,retain_card_inventory,suppress_matched_successors,high,"Ten construction-year cards contain ten units; ten later rows reproduce those cards and ten unmatched nearby rows remain separate."
residential_multicard_13243050100000,episode_012,retain_card_inventory,suppress_matched_successors,high,"Four construction-year cards contain four units; four later rows reproduce those cards and two unmatched nearby rows remain separate."
residential_multicard_13243050580000,episode_014,retain_card_inventory,suppress_matched_successors,high,"Six construction-year cards contain six units and transition to six matched successor rows."
residential_multicard_13243050670000,episode_015,retain_card_inventory,suppress_matched_successors,high,"Eight construction-year cards contain eight units and transition to eight matched successor rows."
residential_multicard_13353010370000,episode_021,retain_card_inventory,suppress_matched_successors,high,"Three construction-year cards contain three units; three later rows reproduce those cards and three unmatched nearby rows remain separate."
residential_multicard_13362160310000,episode_030,retain_card_inventory,suppress_matched_successors,high,"Three construction-year cards contain three units. Two later rows reproduce individual cards; the unmatched third card remains in the parent inventory."
residential_multicard_14074070260000,episode_103,retain_manual_override,none,high,"This parcel is one of five separately permitted Ravenswood houses. Its two identical cards describe one house, as recorded in the manual value override."
residential_multicard_14074070270000,episode_103,retain_manual_override,none,high,"This parcel is one of five separately permitted Ravenswood houses. Its two identical cards describe one house, as recorded in the manual value override."
residential_multicard_16133080040000,episode_040,retain_card_inventory,suppress_matched_successors,high,"Two construction-year cards contain two units. One later row reproduces one card; the second card remains represented by the parent inventory."
residential_multicard_16134250010000,episode_042,retain_card_inventory,suppress_matched_successors,high,"Seventeen construction-year cards contain seventeen units. Five later Grenshaw rows reproduce individual cards; the remaining cards stay in the parent inventory."
residential_multicard_16362010090000,episode_047,retain_card_inventory,suppress_matched_successors,high,"Forty-three construction-year cards contain forty-three units; forty-two later rows reproduce individual cards and the unmatched card remains in the parent inventory."
residential_multicard_16362010900000,episode_048,retain_card_inventory,suppress_matched_successors,high,"Nine construction-year cards contain nine units and match nine later rows. Other nearby rows remain separate projects."
residential_multicard_16364050590000,episode_049,retain_card_inventory,suppress_matched_successors,high,"Eighteen construction-year cards contain eighteen units and match eighteen later rows. Other nearby rows remain separate projects."
residential_multicard_16364130200000,episode_050,retain_card_inventory,suppress_matched_successors,high,"Eight construction-year cards contain eight units and match eight later rows. Other nearby rows remain separate projects."
residential_multicard_17211230320000,episode_056,retain_card_inventory,suppress_matched_successors,high,"Two construction-year cards contain two units and match two later Halsted rows."
residential_multicard_17271290200000,episode_064,retain_card_inventory,suppress_matched_successors,high,"Six distinct construction-year cards describe the Finsbury portion of the development. One later row reproduces one card; the remaining cards stay in the parent inventory."
residential_multicard_17271290980000,episode_066,retain_card_inventory,suppress_matched_successors,high,"Nine distinct 2008 townhouse cards match the nine later 25th Street and 25th Place rows."
residential_multicard_17294020010000,episode_067,retain_card_inventory,suppress_matched_successors,high,"Seven construction-year cards contain seven units; seven later rows reproduce those cards and four unmatched nearby rows remain separate."
residential_multicard_17313100010000,episode_071,retain_card_inventory,suppress_matched_successors,high,"Eight construction-year cards contain eight units; eight later rows reproduce those cards and six unmatched nearby rows remain separate."
residential_multicard_17344230090000,episode_073,retain_card_inventory,suppress_matched_successors,high,"Five construction-year cards contain five units and transition to five matched successor rows."
residential_multicard_20023000260000,episode_080,retain_manual_override,suppress_matched_successors,high,"The permits authorize nine Drexel townhouses, so the manual override removes one duplicate card. Eight later rows reproduce individual townhouse records."
residential_multicard_20023050320000,episode_082,retain_card_inventory,suppress_matched_successors,high,"Twelve construction-year cards correspond to the three four-townhouse permits and match the twelve later Drexel townhouse rows."
residential_multicard_20143160010000,episode_092,retain_card_inventory,suppress_matched_successors,high,"Nine construction-year cards contain nine units. Three later Ellis rows reproduce individual cards; the remaining cards stay in the parent inventory."
residential_multicard_20331040040000,episode_097,retain_card_inventory,suppress_matched_successors,high,"Four construction-year cards contain eight units. One later two-unit row reproduces one card; the other cards remain represented by the parent inventory."
