project_id,site,question
commercial_17104000510000,Cascade,Earlier recommendation distinguishes Cascade from Cirrus and dates Cascade to 2021. Current record remains 2022 with a shared-site denominator.
residential_297_group_17104000490000,Cirrus,"Recorded merge identifies one 350-unit tower, but its shared-site land and completion year still need reconciliation with Cascade."
residential_297_group_17104000540000,Cirrus,"Recorded merge identifies one 350-unit tower, but its shared-site land and completion year still need reconciliation with Cascade."
residential_297_group_17092060350000,One Chicago,Old replacement decision describes 77 condos; current commercial record explicitly retains 735 rental apartments without the condos. These are not equivalent records.
residential_297_group_17092060370000,One Chicago,Old replacement decision describes 77 condos; current commercial record explicitly retains 735 rental apartments without the condos. These are not equivalent records.
commercial_17092060390000,One Chicago,Rental-only unit count and whole-development measurements need reconciliation with the separate condo records before final density.
residential_17343220700000,3807 S Wabash,"Recommend excluding the 2010 new-construction claim: permit 100263769 in May 2009 explicitly remodels an existing masonry building, and the later assessment reports 1890. The location is established but new construction is not."
residential_20033030350000,4327 S Indiana,The selected 2021 year becomes 1886 in the 2025 assessment with unchanged units and floor area. Existing-building permits and older property listings support an old structure. Recommend holding out unless a replacement building can be documented.
residential_14293190620000,2439 N Greenview,"Listing brokerage calls this a 2014 RD Precision house; the 2013 permit contradicts the selected 2012 year. Sale dates differ between December 2013 and January 2014. Recommend 2014 as a documented listing-based proxy, retaining reported areas, but record the year-end ambiguity."
residential_17324080370000,3626 S Sangamon,Likely duplicate: this PIN and 17324080380000 both describe the same address and 1998-square-foot house in 2010–2011. The latter continues through 2026; this one becomes vacant land. Both are currently retained. Prefer the continuing house record after confirming identity; do not sum land areas automatically.
residential_20021150730000,4110 S Oakenwald,"CHA FY2026 Appendix B identifies this address as a vacant parcel. The isolated residential assessment reports six apartments built in 2008, but no independent completion evidence was found. Recommend exclusion pending support for the claimed construction episode."
