project_id,recommendation,recommended_year,reason,permit_numbers,web_source
residential_12241070220000,retain_new_building,2008,2008 remains a proxy; 2006 demolition and new-house permits refute 1927.,100108110/100108046,https://www.redfin.com/IL/Chicago/3633-N-Overhill-Ave-60634/home/13543094/
residential_13031150250000,retain_new_building,2007,2006 demolition/new-house permits; listing reports 2007. Reject old 1941 and prefer listing proxy to selected 2009.,100092322/100093507,https://www.redfin.com/IL/Chicago/6108-N-Forest-Glen-Ave-60646/home/13516531
residential_14193210100000,exclude_before_period,2004,New 2700-sq-ft house reported in 2005 as built 2004; later dates drift to 2007/2008.,,
residential_14291290130000,retain_new_building,2012,December 2011 new-house permit; listing reports 2012; new measurements appear in 2013. Prefer 2012 completion proxy.,100411480/100412973,https://www.redfin.com/IL/Chicago/1429-W-Wolfram-St-60657/home/13365266
residential_14293200190000,hold_out_unresolved_identity,,Floor area decreases in 2009 while old year persists through 2021. No original new-building evidence located; do not assume either new construction or exact 1879.,,https://www.redfin.com/IL/Chicago/1401-W-Altgeld-St-60614/home/13361604
residential_14301020290000,retain_new_building,2015,2014 demolition/new-house permits; new measurements in 2015; Zillow listing reports 2015. Prefer completion proxy over permit-year 2014 or later 2018.,100519836/100531581,https://www.zillow.com/homedetails/2236-W-Fletcher-St-Chicago-IL-60618/158594981_zpid/
residential_14311040400000,exclude_existing_building,,2009 renovation/deconversion explicitly concerns existing three-unit building; historical year remains old.,100295380,
residential_14322130280000,exclude_before_period,2004,New measurements in 2005 and original 2004 year; listing independently reports 2004.,,https://www.redfin.com/IL/Chicago/2142-N-Clifton-Ave-60614/home/13351979
residential_14324230160000,hold_out_unresolved_identity,,Same 3006-sq-ft building since 1999 and 1888 through 2024; later year alone does not establish replacement. Located electrical revision references unavailable original permit 100048620.,B100142540,https://www.crexi.com/property-records/14-32-423-016-0000-CHICAGO-IL-60614/f809617d9d89f654e4677b14d242360ada5d6e59
residential_16134200150000,retain_new_building,2010,2008 demolition/new-three-flat permits and listing explicitly rebuilt in 2010. Old 1892 carried onto new measurements is not construction date.,100231947/100223542,https://www.redfin.com/IL/Chicago/2425-W-Arthington-St-60612/home/13258623
residential_16231180200000,retain_new_building,2008,"2007 new three-unit building permit supports modern replacement; retain 2008 Assessor proxy, not 1903.",100163235,
residential_17042150500000,hold_out_unresolved_identity,,Area rises from 5202 to 8000 in 2019; 2020 year occurs once while 1914 persists afterward. No original new-building evidence located.,,
residential_17204020130000,retain_new_building,2009,2006 demolition and 2007 new-three-unit permit; listing reports 2009.,100116317/100171048,https://www.trulia.com/home/1709-s-carpenter-st-chicago-il-60608-2104186739
residential_19023060320000,exclude_existing_building,1954,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
residential_19024160250000,exclude_existing_building,1956,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
residential_19073090240000,exclude_existing_building,1953,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
residential_19174030130000,exclude_existing_building,1961,1040-sq-ft house present since 1999; later assessments also return to 1961. No evidence found of replacement.,,
residential_20294220010000,exclude_existing_building,,2009 permit explicitly rehabs existing two-unit building; later Assessor restores old date.,100292033,
residential_24141020790000,exclude_existing_building,,"2017 permit explicitly adds second floor to existing house; this is an addition, not new construction.",100729988,
residential_24141111040000,exclude_existing_building,1949,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
residential_24142060260000,exclude_existing_building,1941,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
residential_24143200140000,exclude_existing_building,1955,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
residential_24144170040000,exclude_existing_building,1941,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
residential_24232131020000,exclude_existing_building,1965,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
residential_24244030220000,exclude_existing_building,1955,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
residential_25072140190000,exclude_existing_building,1921,Same floor area documented long before selected modern year. No original new-house evidence found at the recorded address; modern year alone does not support new construction.,,
