review_priority,project_id,pin,construction_year,ward_pair,distance_to_boundary_ft,within_500ft,review_address,target_cards,target_card_numbers,target_classes,card_units_min,card_units_max,all_cards_single_unit,any_card_multifamily,final_units,final_building_sqft,land_sqft,site_units_exceed_one,building_type_rule,current_footprints,current_footprints_near_construction,current_footprint_area_sum,permit_addresses,permit_unit_values,current_parcels,current_noncondo_parcels,current_condo_pins,distinct_current_addresses,successor_addresses,current_noncondo_assessor_units,current_noncondo_assessor_building_sqft,successor_sqft_ratio,internal_evidence,adjudication_reason,adjudication_confidence,google_maps_url,google_search_query,review_status,google_visual_type,external_structure_class,multifamily_disposition,external_building_count,external_unit_count,external_building_sqft,source_1_url,source_2_url,supports_building_type,supports_final_units,reviewer_notes,review_date
1,residential_multicard_20211200290000,20211200290000,2006,6_20,54.57674450358806,TRUE,500 W 66TH ST,5,1/2/3/4/5,211,2,2,FALSE,TRUE,10,11050,6251,TRUE,multifamily_building,1,1,3716.569999299943,,,1,1,0,1,500 W 66TH ST,10,11050,1,successor_total_matches,contemporaneous_card_inventory,high,https://www.google.com/maps/search/?api=1&query=500%20W%2066TH%20ST%20Chicago%20IL,"""500 W 66TH ST"" Chicago ""20211200290000""",complete,single_apartment_building,single_multifamily_building,include,1,10,11050,https://www.crexi.com/property-records/20211200290000-CHICAGO-IL-60621-2608/d0caa43adc7491025adeee405a575a8895b7acc0,https://www.loopnet.com/property/500-w-66th-st-chicago-il-60621/17031-20211200290000/,TRUE,TRUE,"Google Street View shows one three-story apartment building. Crexi reports one 10-unit, 11,050-square-foot apartment building; LoopNet reports apartment use and 11,050 square feet.",2026-07-24
2,residential_multicard_11303200330000,11303200330000,2008,49_50,128.47254171694078,TRUE,7215 N OAKLEY AVE,9,1/2/3/4/5/6/7/8/9,295,1,1,TRUE,FALSE,9,17334,8750,TRUE,single_family_buildings,1,1,5679.518734837121,,,1,1,0,1,7215 N OAKLEY AVE,9,17334,1,manual_external_review,contemporaneous_card_inventory,high,https://www.google.com/maps/search/?api=1&query=7215%20N%20OAKLEY%20AVE%20Chicago%20IL,"""7215 N OAKLEY AVE"" Chicago ""11303200330000""",complete,townhouse_development,attached_single_family_collection,exclude,9,9,17334,https://www.redfin.com/IL/Chicago/7215-N-Oakley-Ave-60645/home/13572243,https://www.homes.com/property/7215-n-oakley-ave-chicago-il/vew9grc7gveqx/,TRUE,TRUE,"The development is identified as the nine-unit 9North Townhomes. The project total equals nine 1,926-square-foot townhouse cards and is not one multifamily building.",2026-07-24
2,residential_multicard_11303220080000,11303220080000,2006,49_50,255.30986556826176,TRUE,7223 N HAMILTON AVE,8,1/2/3/4/5/6/7/8,295,1,1,TRUE,FALSE,8,14392,9964,TRUE,single_family_buildings,0,0,,,,8,0,8,8,7223 N HAMILTON AVE A | 7223 N HAMILTON AVE B | 7223 N HAMILTON AVE C | 7223 N HAMILTON AVE D | 7223 N HAMILTON AVE E | 7223 N HAMILTON AVE F | 7223 N HAMILTON AVE G | 7223 N HAMILTON AVE H,0,0,0,multiple_successor_parcels,contemporaneous_card_inventory,manual_review_complete,https://www.google.com/maps/search/?api=1&query=7223%20N%20HAMILTON%20AVE%20Chicago%20IL,"""7223 N HAMILTON AVE"" Chicago ""11303220080000""",complete,eight_unit_townhouse_development,attached_single_family_collection,exclude,8,8,14392,https://www.homesbymarco.com/subdivisions/7223_n_hamilton_in_chicago_il,https://www.compass.com/building/7223-n-hamilton-ave-chicago-il-60645/592993462576081389/,TRUE,TRUE,"Independent building pages identify an eight-unit townhouse community. Eight successor condo PINs labeled A through H reproduce the eight one-unit cards. This is a collection of attached single-family townhouses, not one multifamily building.",2026-07-24
2,residential_multicard_13042080370000,13042080370000,2008,41_45,277.35028600383714,TRUE,6234 N LENOX AVE,2,1/2,278,1,1,TRUE,FALSE,2,5888,8750,TRUE,single_family_buildings,0,0,,6236 N LENOX AVE / 6232 N LENOX AVE,,2,2,0,2,6232 N LENOX AVE | 6236 N LENOX AVE,2,5988,1.0169836956521738,multiple_successor_parcels,contemporaneous_card_inventory,manual_review_complete,https://www.google.com/maps/search/?api=1&query=6234%20N%20LENOX%20AVE%20Chicago%20IL,"""6234 N LENOX AVE"" Chicago ""13042080370000""",complete,two_detached_single_family_houses,detached_single_family_collection,exclude,2,2,,https://www.redfin.com/IL/Chicago/6232-N-Lenox-Ave-60646/home/21777217/,https://www.zillow.com/homedetails/6236-N-Lenox-Ave-Chicago-IL-60646/3624285_zpid/,TRUE,TRUE,"External listings identify separate single-family houses at 6232 and 6236 N Lenox. Separate permits issued February 28, 2007 authorize one new single-family house at each address, matching the two one-unit cards. Later assessor rows report 2019 for the successor PINs, but no later new-construction episode is evident; that distant-year duplication requires correction.",2026-07-24
2,residential_multicard_13141270250000,13141270250000,2011,33_39,203.4432012402178,TRUE,3630 W MONTROSE AVE,4,1/2/3/4,211,6,6,FALSE,TRUE,24,30720,25777,TRUE,multifamily_building,3,0,12899.87499969802,3634 W MONTROSE AVE / 3640 W MONTROSE AVE / 3644 W MONTROSE AVE / 3648 W MONTROSE AVE,6,1,1,0,1,3630 W MONTROSE AVE,24,30720,1,successor_total_matches,contemporaneous_card_inventory,high,https://www.google.com/maps/search/?api=1&query=3630%20W%20MONTROSE%20AVE%20Chicago%20IL,"""3630 W MONTROSE AVE"" Chicago ""13141270250000""",complete,four_adjacent_apartment_buildings,multiple_multifamily_buildings,include,4,24,,https://www.rent.com/illinois/chicago-apartments/highpoint-albany-park-on-montrose-4-lc5897049,https://www.zillow.com/homedetails/3648-W-Montrose-Ave-APT-3E-Chicago-IL-60618/2115619880_zpid/,TRUE,TRUE,"The property is marketed as a 24-unit apartment community. Four exact-address construction permits authorize six units each at 3634, 3640, 3644, and 3648 W Montrose, matching the four six-unit assessor cards.",2026-07-24
2,residential_multicard_13154010310000,13154010310000,2007,38_45,57.07712911403761,TRUE,4251 W MONTROSE AVE,5,1/2/3/4/5,295,1,1,TRUE,FALSE,5,7270,3196,TRUE,single_family_buildings,1,1,2021.7641652048333,4253 W MONTROSE AVE / 4249 W MONTROSE AVE,,2,2,0,2,4253 W MONTROSE AVE | 4255 W MONTROSE AVE,2,2908,0.4,multiple_successor_parcels,contemporaneous_card_inventory,manual_review_complete,https://www.google.com/maps/search/?api=1&query=4251%20W%20MONTROSE%20AVE%20Chicago%20IL,"""4251 W MONTROSE AVE"" Chicago ""13154010310000""",complete,five_attached_single_family_townhouses,attached_single_family_collection,exclude,5,5,7270,https://www.redfin.com/IL/Chicago/4247-W-Montrose-Ave-60641/home/39551457,https://www.countyoffice.org/property-record-4251-w-montrose-ave-chicago-il-60641-517/,TRUE,TRUE,"Townhouse listings cover the development. Two permits issued May 21, 2007 authorize three townhouses at 4251/4253/4255 and two townhouses at 4249/4251, exactly reproducing five one-unit cards of 1,454 square feet each.",2026-07-24
2,residential_multicard_13221240150000,13221240150000,2015,30_45,98.41215504078713,TRUE,4605 W PATTERSON AVE,3,1/2/3,207,1,1,TRUE,FALSE,3,5331,14117,TRUE,single_family_buildings,0,0,,4612 W ADDISON ST,,4,4,0,4,4601 W PATTERSON AVE | 4603 W PATTERSON AVE | 4607 W PATTERSON AVE | 4609 W PATTERSON AVE,4,7108,1.3333333333333333,multiple_successor_parcels,retain_card_inventory,high,https://www.google.com/maps/search/?api=1&query=4605%20W%20PATTERSON%20AVE%20Chicago%20IL,"""4605 W PATTERSON AVE"" Chicago ""13221240150000""",complete,four_detached_single_family_houses,detached_single_family_collection,exclude,4,4,,https://www.redfin.com/IL/Chicago/4603-W-Patterson-Ave-60641/home/101673379,https://www.zillow.com/homedetails/4607-W-Patterson-Ave-Chicago-IL-60641/253422236_zpid/,TRUE,FALSE,"The historical parent has three one-unit cards, while parcel lineage identifies four successor addresses at 4601, 4603, 4607, and 4609 W Patterson. External records identify representative successors as separate single-family homes built in 2015-2016. The evidence establishes a single-family collection but does not support the parent total of three units; this component requires a separate episode-count review.",2026-07-24
2,residential_multicard_13222210280000,13222210280000,2018,30_45,305.53742400046247,TRUE,3626 N KEELER AVE,2,1/2,278,1,1,TRUE,FALSE,2,5244,7800,TRUE,single_family_buildings,2,0,1881.8750000039,3624 N KEELER AVE / 3626 N KEELER AVE,,2,2,0,2,3624 N KEELER AVE | 3626 N KEELER AV,2,5244,1,multiple_successor_parcels,completed_successor_episode,high,https://www.google.com/maps/search/?api=1&query=3626%20N%20KEELER%20AVE%20Chicago%20IL,"""3626 N KEELER AVE"" Chicago ""13222210280000""",complete,two_detached_single_family_houses,detached_single_family_collection,exclude,2,2,5244,https://www.zillow.com/homedetails/3624-N-Keeler-Ave-Chicago-IL-60641/2085790394_zpid/,https://www.redfin.com/IL/Chicago/3626-N-Keeler-Ave-60641/home/13458900,TRUE,TRUE,"Separate permits issued June 6, 2018 authorize single-family houses at 3624 and 3626 N Keeler. Listings identify each as a single-family house. Two successor parcels reproduce the two cards and 5,244 assessor square feet; the successor project rows are suppressed in the adjudicated sample.",2026-07-24
2,residential_multicard_13223070280000,13223070280000,2018,30_31,329.25671811831563,TRUE,3406 N KEATING AVE,3,1/2/3,278,1,1,TRUE,FALSE,3,6246,12600,TRUE,single_family_buildings,1,0,881.5000001564622,3406 N KEATING AVE / 3408 N KEATING AVE / 3410 N KEATING AVE,,3,3,0,3,3406 N KEATING AVE | 3408 N KEATING AVE | 3410 N KEATING AVE,3,6246,1,multiple_successor_parcels,completed_successor_episode,high,https://www.google.com/maps/search/?api=1&query=3406%20N%20KEATING%20AVE%20Chicago%20IL,"""3406 N KEATING AVE"" Chicago ""13223070280000""",complete,three_detached_single_family_houses,detached_single_family_collection,exclude,3,3,6246,https://www.redfin.com/IL/Chicago/3406-N-Keating-Ave-60641/home/178520491,https://www.redfin.com/IL/Chicago/3408-N-Keating-Ave-60641/home/178520490,TRUE,TRUE,"Three January 2019 permits authorize separate single-family houses at 3406, 3408, and 3410 N Keating. External records identify the addresses as detached single-family houses built in 2018-2019. Three successor parcels reproduce the three one-unit cards and 6,246 assessor square feet.",2026-07-24
2,residential_multicard_13252030410000,13252030410000,2006,1_47,250.0311281421044,TRUE,2446 W FLETCHER ST,2,1/2,295,1,1,TRUE,FALSE,2,3738,6552,TRUE,single_family_buildings,0,0,,,,5,5,0,5,2452 W FLETCHER ST | 2454 W FLETCHER ST | 2456 W FLETCHER ST | 3139 N CAMPBELL AVE | 3141 N CAMPBELL AVE,5,10331,2.7637774210807917,multiple_successor_parcels,retain_card_inventory,high,https://www.google.com/maps/search/?api=1&query=2446%20W%20FLETCHER%20ST%20Chicago%20IL,"""2446 W FLETCHER ST"" Chicago ""13252030410000""",complete,townhouse_components_within_larger_development,attached_single_family_collection,exclude,2,2,,https://www.compass.com/building/2452-w-fletcher-st-chicago-il-60618/593239525983764845/,https://www.trulia.com/home/2452-w-fletcher-st-a-chicago-il-60618-2144731678,TRUE,FALSE,"External sources identify the Fletcher/Campbell site as a townhouse development, so the cards do not represent a multifamily building. The historical parent contains two one-unit cards, but the broader development and successor lineage contain additional townhouses. External sources do not independently isolate the two-card parent total, so the unit total remains a lineage-based rather than web-verified count.",2026-07-24
