project_id,site,review_result,verified_findings,remaining_question,expected_retained_project_ids
residential_tieback_13124110110000,Lincoln,resolved,"Earlier exclusion has not yet been verified against every old building. The saved 2006/2007 maps cover only two of the three old parcels; some successor points lie outside that partial map. City footprints also omit one row of current homes. User approved 2026-09-08: exclude unsupported combined record; retain individual homes; missing historic coverage remains unverified, not a certified duplicate match.",,
residential_tieback_13364220230000,Campbell,resolved,"Eight separately assessed townhomes map four each to City footprints 887405/887406, both dated 2007; permits 100085992/100085993 were issued November 2006. Seven successor Assessor years say 2005 and one says 2006. Individual lot areas total 12715 sqft; common parcel 2058 adds 2255 sqft in the earlier site total. User approved 2026-09-08: retain eight individual homes with 2007 completion proxy and private lot areas; do not allocate common parcel.",,residential_13364220500000/residential_13364220510000/residential_13364220520000/residential_13364220530000/residential_13364220540000/residential_13364220550000/residential_13364220560000/residential_13364220570000
residential_tieback_14193070150000,Seeley,resolved,"Earlier cited permit 100503607 belongs to 1857 N Orchard. Actual Seeley permits are addition 100464213 at 3531 and new-house 100550250 at 3529. The new parcel repeats the old home area 2442 sqft, so its independent floor area is unverified. The 2022 County outline connects the space on the two parcels; this does not establish an independent new dwelling or its floor area. User approved 2026-09-08: exclude from density pending independent new-dwelling identity and measurement; do not classify as proven non-new construction.",,
residential_tieback_14283040840000,Geneva,resolved,"Selected the original home record 1428304084000012014: year 2007,5756 building sqft,5522 land sqft. The same measurements appear 2008-2014. Later assessment 6991 sqft follows addition 100488318; permit 100538073 is accessory storage.",,
residential_tieback_14324160450000,Maud,resolved,"Permits 100681310/100690208 identify two new homes. The old parcel link occurs on 1888 building cards; both 2022 new-home records have no parcel link. Retain separate 2022 measurements and existing Assessor years 2018/2019, not a new permit-year override.",,
residential_tieback_16231160090000,Springfield,resolved,Four retained successor home points lie within the saved original parcel union. Their land 3147+3146+3147+3146 equals original 4719+7867=12586 sqft. Preserve individual years 2006/2006/2007/2007 and suppress the obsolete combined source.,,
residential_tieback_17344230080000,38th Street,resolved,"The main parcel has three house cards in 2007-2023, not two. A related parcel has one card; by 2021 all four card areas are 1779 sqft. Equal areas cannot determine which cards describe the same physical house. The earlier two-house total 3558 is not established. The 2022 County outline spans both parcels and cannot identify interior townhouse divisions. User approved 2026-09-08: exclude from density pending physical home count; do not infer duplicates from equal floor areas.",,
residential_tieback_19074280010000,Nashville,resolved,New-house permits 100405266/100412191 cite originalPIN 1907428001 at 5409/5405; retained successors 8048/8049 have those addresses and lie within the historical original parcel maps. Preserve the two individual homes and suppress the old combined record.,,
residential_tieback_20101040190000,Calumet,resolved,"Correct permit counts are 6+3+3 apartments, not three four-unit buildings. Main Assessor card is 7896 sqft/6 units, plus two 4575 sqft/3 unit cards; fields repeat on related parcels. All selected 2022 years say 2015; earlier reports say 2014. The 2022 outlines show three main buildings, but at least one outline crosses a historical lot line; do not assign one whole lot to each by address alone. User approved 2026-09-08: retain one 12-apartment site with three buildings; use 2022 component measurements and distinct parcel land; 2015 completion proxy.",,
residential_tieback_20213050090000,Marquette,resolved,Four buildings and twelve apartments are supported. User clarified that land area must be reported by the Assessor or another source; analyst-calculated polygon area is not allowed. The Assessor total 24613 sqft conflicts with historical parcel coverage. Exclude from density pending reliable source-reported land area; do not adopt the computed 22100 sqft.,,
