candidate_project_id,decision,replacement_project_ids,final_dwelling_units,final_building_sqft,final_land_sqft,location_mode,location_evidence_id,evidence_ids,decision_reason,confidence
residential_14073210380000,suppress_duplicate,residential_14073210420000/residential_14073210430000,,,,none,,permits_100850271_100850272/assessor_rows_1407321042_1407321043_2026,"The predecessor PIN reports one house on the combined lot, while two separate completed permits and two successor assessor PINs identify the two houses built at 4834 and 4830 N Leavitt.",high
residential_14073210420000,retain_with_override,,1,2956,3722,completed_permit_point,100850271,permit_100850271/assessor_row_1407321042000012026,"The completed permit locates the separately assessed house at 4834 N Leavitt; physical fields come from the successor assessor row.",high
residential_14073210430000,retain_with_override,,1,2956,3719,completed_permit_point,100850272,permit_100850272/assessor_row_1407321043000012026,"The completed permit locates the separately assessed house at 4830 N Leavitt; physical fields come from the successor assessor row.",high
residential_14183110430000,suppress_duplicate,residential_14183110440000,,,,none,,permit_100556291/assessor_rows_1418311043_2022_1418311044_2026,"The two assessor PINs describe one house at 2225 W Cullom. The later PIN reports the permit-supported 2015 construction year and supersedes the older report.",high
residential_14183110440000,retain_with_override,,1,2936,3987,completed_permit_point,100556291,permit_100556291/assessor_row_1418311044000012026,"One completed single-family permit locates the successor assessor observation at 2225 W Cullom.",high
residential_17083340580000,retain_with_override,,4,8390,3722,completed_permit_point,100124927,permit_100124927/assessor_row_1708334058000012026/condo_base_1708334056,"The completed permit confirms one four-unit building at 15 N Bishop; the 2026 whole-building assessor row supplies the physical fields.",high
residential_297_group_17042060100000,retain_with_override,,32,,39658,adjacent_year_exact_parcel_centroid,17042060100000_2021,permits_100731726_100747957/assessor_row_1704206010000012021/condo_base_1704206015,"The assessor's six units and one square foot are malformed. The completed permit identifies one 32-unit condominium building; comparable whole-building square footage is unavailable, so the project enters DUPAC but not FAR.",high
residential_tieback_14283190780000,retain_with_override,,1,16351,143808,preferred_project_centroid,1428319078_2014,assessor_rows_1428319078_1428319085_2022/construction_year_parcel_union,"Eight tieback rows repeat one building and one PIN-level site area. Count the 16,351-square-foot residence and the 143,808-square-foot site once rather than summing the repeated land field eight times.",high
residential_13141090480000,exclude_invalid_land_area,,,,,none,,assessor_rows_1314109048000012018_1314109048000012023/historical_parcel_13141090480000_2017,"The assessor assigns a 2,472-square-foot house to a 176-square-foot parcel sliver. No permit or parcel lineage identifies the complete legal site, so a defensible density denominator cannot be recovered.",high
residential_16242010150000,replace_by_commercial,commercial_16242010140000,,,,none,,permit_100349959/commercial_rows_60518_83660/residential_assessor_16242010150000,"The residential PIN is one component of the two-parcel 1218-20 S Washtenaw project retained in the commercial ledger. Keeping both source records would count the same five-unit building twice.",high
