source_project_ids,action,preferred_vintage,preferred_source_rows,final_project_id,final_year,final_units,final_building_sqft,final_land_sqft,allow_far,allow_dupac,year_source,units_source,building_source,land_source,evidence_ids,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status
commercial_11323310340000,retain_override,2024,44970,commercial_11323310340000,2008,152,200952,31919,TRUE,TRUE,commercial_2024,permit_100221353,commercial_2024,commercial_2024,permit_100217431;permit_100221353,,high,Completed permit explicitly describes a 152-unit apartment building,,codex_audit,2026-07-21,reviewed_evidence
commercial_13114290270000,retain_override,2024,25834,commercial_13114290270000,2008,4,12455,18750,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,permit_100211769,,medium,Latest assessor report is used because the conflicting six-unit permit expired,Permit establishes proposed construction but not the completed unit count,codex_audit,2026-07-21,reviewed_evidence
commercial_13362150350000,retain_override,2021,59391,commercial_13362150350000,2015,120,145871,34554,TRUE,TRUE,commercial_2024,permit_100588900,commercial_2024,commercial_2024,permit_100588900,,high,Completed permit and the 2021 assessor report identify 120 apartments,,codex_audit,2026-07-21,reviewed_evidence
commercial_14181140140000,retain_override,2024,40169,commercial_14181140140000,2019,19,14000,9909,TRUE,TRUE,commercial_2024,commercial_2024,commercial_2024,commercial_2024,permit_100736146,,medium,Latest assessor report is used because the conflicting 24-unit permit expired,Permit establishes a proposed project but not the completed count,codex_audit,2026-07-21,reviewed_evidence
commercial_14203000310000,retain_override,2021,40620,commercial_14203000310000,2020,136,107810,45271,TRUE,TRUE,commercial_2024,permit_100695945,commercial_2024,commercial_2024,permit_100690738;permit_100695945,https://rtmec.com/portfolio/artis-senior-living-lakeview/,high,Completed permit and project engineer identify 136 assisted-living and memory-care units,Units are licensed care units rather than conventional apartments,codex_audit,2026-07-21,reviewed_evidence
commercial_14301220270000,split_source_rows,2021,66582;66583,,,,,,TRUE,TRUE,commercial_2021,commercial_2021,commercial_2021,commercial_2021,permit_100727070;permit_100727080,,high,The 2021 source and two completed permits identify two separate 15-unit buildings,,codex_audit,2026-07-21,reviewed_evidence
commercial_14303020298002,retain_field_specific,2024,39719,commercial_14303020298002,2017,59,,161662.96648534096,FALSE,TRUE,permit_100684005,permit_100684005,missing,construction_year_parcel_polygon,permit_100684005,https://www.relatedmidwest.com/press-releases/2019-10-18/related-midwest-heartland-housing-bickerdike-redevelopment-corporation,high,Completed permit and developer record identify a 59-unit new building,Building area is unavailable and the 74-unit assessor count is not used,codex_audit,2026-07-21,reviewed_evidence
commercial_14313080700000,retain_override,2021,59505,commercial_14313080700000,2018,44,62719,11444,TRUE,TRUE,commercial_2024,permit_100666018,commercial_2024,commercial_2024,permit_100652264;permit_100666018,https://images1.showcase.com/d2/fULlE3NGbw8dKVBJbgiN-d_0QgySJzxJf2CMcl_UQU4/document.pdf,high,Completed permits and contemporaneous leasing material identify 44 apartments,,codex_audit,2026-07-21,reviewed_evidence
commercial_14321060130000,retain_field_specific,2024,42890,commercial_14321060130000,2006,,85214,54638,TRUE,FALSE,commercial_2024,missing,commercial_2024,commercial_2024,commercial_2021;commercial_2024,,medium,Student-housing room count is not treated as a dwelling-unit count,FAR fields remain assessor reported,codex_audit,2026-07-21,reviewed_evidence
commercial_17043060300000,retain_override,2024,42880,commercial_17043060300000,2015,106,118924,28001,TRUE,TRUE,commercial_2024,completed_project_records,commercial_2024,commercial_2024,permit_100547342,https://map.lisc-cnda.org/2017/driehaus/459-terrace-at-parkside-of-old-town/,high,Completed housing records and the latest assessor report identify 106 units,,codex_audit,2026-07-21,reviewed_evidence
