decision_group_id,source_project_ids,action,source_vintages,source_rows,final_project_id,retained_component_pins,excluded_component_pins,final_year,final_units,final_building_sqft,final_land_sqft,allow_far,allow_dupac,membership_source,year_source,units_source,building_source,land_source,evidence_ids,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status
commercial_components_001,commercial_13241160180000/commercial_13241160430000,merge_source_projects,2021/2024,47235/26670,commercial_13241160430000,13241160180000/13241160190000/13241160200000,13241160430000,2008,26,42056,12405,TRUE,TRUE,cross_vintage_identity_and_2008_predecessor_parcels,commercial_2024,commercial_2024_apartment_unit_sum,commercial_2024,commercial_2024_supported_by_predecessor_union,commercial_duplicate_review_001/city_building_893574,https://www.crexi.com/property-records/13241160430000-CHICAGO-IL-60618-4501/dbf4431ff3b973d2bfd696a40fc4c90d646cff0c,high,The 2024 PIN is the successor identity and the 2008 predecessor parcels recover the full project site,The City footprint year is 2010 while the later assessor and public record report 2008,codex_audit,2026-07-21,reviewed_evidence
commercial_components_002,commercial_14204030040000/commercial_14204030750000,merge_source_projects,2021/2024,40195/NA,commercial_14204030750000,14204030040000/14204030050000/14204030070000/14204030080000/14204030220000/14204030230000/14204030240000/14204030250000/14204030640000/14204030650000/14204030670000/14204030700000/14204030750000/14204030760000,,2018,148,400024,93015,TRUE,TRUE,official_PD1164_and_identical_permit_chains,commercial_2024,stable_148_unit_assessor_count,commercial_2021,official_PD1164_net_site_area,commercial_duplicate_review_005/PD1164,https://gisapps.chicago.gov/gisimages/zoning_pds/PD1164.pdf,high,The two source families are one 148-unit project and the official planned-development net site area replaces both inconsistent workbook land fields,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_003,commercial_17102180140000/commercial_17102180170000,merge_source_projects,2021/2024,68956/43261,commercial_17102180170000,17102180170000,17102180140000,2018,279,511070,125594,TRUE,TRUE,cross_vintage_identity_and_same_city_footprint,commercial_2024,commercial_2024_apartment_unit_sum,commercial_2024,stable_source_site_area,commercial_duplicate_review_015/city_building_847031,https://www.enr.com/articles/50615-award-of-merit-residentialhospitality-one-bennett-park,high,The records are alternate source identities for the rental-apartment component of One Bennett Park,The project also contains condominiums which remain outside the apartment count,codex_audit,2026-07-21,reviewed_evidence
commercial_components_004,commercial_13203280120000,retain_source_row,2021,47038,commercial_13203280120000_building_a,13203280120000,13203280130000/13203280140000/13203280150000,2021,27,36390,16875,TRUE,TRUE,commercial_2021_building_row,commercial_2024_and_completion_evidence,final_permit_revision,commercial_2021,commercial_2021,permit_100828071/permit_100843653,,high,The 2024 48-unit rollup is replaced by the first separately measured building and its final 27-unit revision,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_005,commercial_13203280120000,retain_source_row,2021,47039,commercial_13203280130000_building_b,13203280130000/13203280140000/13203280150000,13203280120000,2021,27,36390,15365,TRUE,TRUE,commercial_2021_building_row,commercial_2024_and_completion_evidence,final_permit_revision,commercial_2021,commercial_2021,permit_100828073/permit_100843655,,high,The 2024 48-unit rollup is replaced by the second separately measured building and its final 27-unit revision,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_006,commercial_13362100010000,retain_source_row,2021,79715,commercial_13362100010000_north,13362100010000/13362100020000/13362100030000/13362100040000/13362100050000,13362100140000,2017,129,124316,16417,TRUE,TRUE,commercial_2021_building_row,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_manual_decision_mica/developer_MiCA,,high,The 216-unit 2024 MiCA rollup is disaggregated to the 129-unit north building measured in 2021,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_007,commercial_13362100010000,retain_source_row,2021,79716,commercial_13362100140000_south,13362100140000,13362100010000/13362100020000/13362100030000/13362100040000/13362100050000,2017,87,81092,14414,TRUE,TRUE,commercial_2021_building_row,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_manual_decision_mica/developer_MiCA,,high,The 216-unit 2024 MiCA rollup is disaggregated to the 87-unit south building measured in 2021,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_008,commercial_14301220270000,retain_source_row,2021,66582,commercial_14301220270000_building_a,14301220270000/14301220280000/14301220290000/14301220300000,14301220460000,2019,15,26556,3125,TRUE,TRUE,commercial_2021_building_row,commercial_2021,issued_address_specific_permit,commercial_2021,commercial_2021,commercial_manual_decision_006,,high,The later 30-unit entity is disaggregated to the first separately permitted 15-unit Clybourn building,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_009,commercial_14301220270000,retain_source_row,2021,66583,commercial_14301220460000_building_b,14301220460000,14301220270000/14301220280000/14301220290000/14301220300000,2019,15,26556,15625,TRUE,TRUE,commercial_2021_building_row,commercial_2021,issued_address_specific_permit,commercial_2021,commercial_2021,commercial_manual_decision_006,,high,The later 30-unit entity is disaggregated to the second separately permitted 15-unit Clybourn building,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_010,commercial_17074290130000,retain_source_row,2021,81075,commercial_17074290130000_building_a,17074290130000/17074290140000/17074290150000/17074290260000,17074290160000/17074290170000,2008,12,13203,11235,TRUE,TRUE,commercial_2021_building_row,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_manual_decision_014,,high,The 2024 27-unit rollup is replaced by the separately measured 12-unit Warren building,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_011,commercial_17074290130000,retain_source_row,2021,81076,commercial_17074290160000_building_b,17074290160000/17074290170000,17074290130000/17074290140000/17074290150000/17074290260000,2008,16,23000,7832,TRUE,TRUE,commercial_2021_building_row,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_manual_decision_014,,high,The 2024 27-unit rollup is replaced by the separately measured 16-unit Warren building,The disaggregated source totals 28 rather than the later rollup count of 27,codex_audit,2026-07-21,reviewed_evidence
commercial_components_012,commercial_17164010220000,retain_source_row,2021,74667,commercial_17164010220000_tower_a,17164010220000,17164010230000,2020,176,175540,21366,TRUE,TRUE,commercial_2021_tower_row,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_manual_decision_016,,high,The 2024 rollup is replaced by the first separately measured 176-unit Wells Street tower,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_013,commercial_17164010220000,retain_source_row,2021,74668,commercial_17164010230000_tower_b,17164010230000,17164010220000,2019,176,185094,21337,TRUE,TRUE,commercial_2021_tower_row,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_manual_decision_016,,high,The 2024 rollup is replaced by the second separately measured 176-unit Wells Street tower,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_014,commercial_14294190080000,split_to_source_rows,2021,64746/64837,,14294190080000/14294190090000,,2017,,,,TRUE,TRUE,commercial_2021_building_rows,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_manual_decision_040,,high,The later 16-unit entity is replaced by two separately measured eight-unit Altgeld buildings,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_015,commercial_17344170280000,split_to_source_rows,2021,74597/74600/74601/74602/74603/74634/74635/74636/74637/74638/74639/74642/74643/74644,,,,,,,,TRUE,TRUE,commercial_2021_building_rows,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_manual_decision_020/address_specific_permits,,high,The later Oakwood Shores entities are rollups and are replaced by fourteen separately measured 2021 building rows,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_016,commercial_17344190130000,split_to_source_rows,2021,74598/74599/74605/74606/74607/74608/74609/74610/74611/74612/74613/74615/74616/74617/74618/74619/74622/74623/74624/74649/74650/74651,,,,,,,,TRUE,TRUE,commercial_2021_building_rows,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_post_evidence/address_specific_permits,,high,The 162-unit Oakwood Shores rollup repeats only one component building area and is replaced by twenty-two separately measured 2021 building rows,The 2021 building counts sum to 159 units rather than the later 162-unit rollup,codex_audit,2026-07-21,reviewed_evidence
commercial_components_017,commercial_17344270230000,split_to_source_rows,2021,74627/74628/74629/74630/74631/74632/74633,,,,,,,,TRUE,TRUE,commercial_2021_building_rows,commercial_2021,commercial_2021,commercial_2021,commercial_2021,commercial_manual_decision_021/address_specific_permits,,high,The 76-unit Oakwood Shores rollup is replaced by seven separately measured 2021 building rows,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_018,commercial_14294161030000,exclude_commercial_defer_residential,2024,39818,,,,,,,,FALSE,FALSE,residential_building_records,,,,,commercial_post_evidence/residential_tieback_records,,high,The nine-unit commercial rollup combines two separate residential buildings that are retained from the residential source,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_019,commercial_13363150560000,exclude_commercial_defer_residential,2021,79751,,,,,,,,FALSE,FALSE,residential_building_record,,,,,permit_100664571/residential_record_13363150560000,,high,The commercial row reports twelve units while the address-specific permit and residential record identify a separate six-unit building,,codex_audit,2026-07-21,reviewed_evidence
commercial_components_020,commercial_13363150590000,exclude_commercial_defer_residential,2021,79752,,,,,,,,FALSE,FALSE,residential_building_record,,,,,permit_100664569/residential_record_13363150590000,,high,The commercial row reports twelve units while the address-specific permit and residential record identify a separate six-unit building,,codex_audit,2026-07-21,reviewed_evidence
