project_id,action,final_year,final_units,final_building_sqft,final_land_sqft,allow_far,allow_dupac,year_source,units_source,building_source,land_source,evidence_ids,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status
commercial_11323200060000,retain_unit_override,2021,11,28487,11284,TRUE,TRUE,commercial_2024,permit_100802483,commercial_2024,commercial_2024,permit_100802483,,high,The completed permit and bedroom breakdown identify eleven apartments; the generic total includes one non-apartment unit,,codex_audit,2026-07-21,reviewed_evidence
commercial_13134040530000,retain_unit_override,2020,9,15477,8100,TRUE,TRUE,commercial_2021,permit_100855141,commercial_2021,commercial_2021,permit_100855141,,high,The completed permit identifies nine dwelling units and confirms that the source row is residential new construction,,codex_audit,2026-07-21,reviewed_evidence
commercial_13184090850000,retain_source_units,2007,133,128542,163748,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,commercial_two_vintage_history/city_buildings,,high,The source reports 133 senior apartments rather than beds and the physical fields are stable across vintages,,codex_audit,2026-07-21,reviewed_evidence
commercial_13184090870000,retain_source_units,2010,36,64992,25272,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,commercial_two_vintage_history/CHA_Autumn_Green,https://affordablehousinghub.org/housing/illinois/cook-county/chicago/the-senior-suites-of-autumn-green-at-wright-7975-lihtc,high,The source and housing record identify 36 senior apartments rather than beds,,codex_audit,2026-07-21,reviewed_evidence
commercial_13241160180000,resolved_by_component_ledger,,,,,FALSE,FALSE,,,,,commercial_components_001,,high,The cross-vintage duplicate and its fields are resolved in the component ledger,,codex_audit,2026-07-21,reviewed_evidence
commercial_13273040010000,retain_source_units,2008,85,73562,35661,TRUE,TRUE,commercial_2024,permit_100254118,commercial_2024,commercial_2024,permit_100254118,,high,The completed permit and assessor source agree on 85 senior apartments,,codex_audit,2026-07-21,reviewed_evidence
commercial_13363050010000,retain_source_units,2017,33,64760,18010,TRUE,TRUE,commercial_2024,stable_commercial_2021_2024,commercial_2024,commercial_2024,permit_100628089/commercial_two_vintage_history,,medium,The 33-unit permit expired but both later assessor vintages consistently report 33 completed apartments,The permit confirms the proposed count but not completion by itself,codex_audit,2026-07-21,reviewed_evidence
commercial_13363280310000,retain_unit_override,2021,40,62620,17830,TRUE,TRUE,commercial_2024,permit_100703318,commercial_2024,commercial_2024,permit_100703318,,high,The completed permit identifies 40 dwelling units and confirms the source total,,codex_audit,2026-07-21,reviewed_evidence
commercial_13364030160000,retain_unit_override,2014,78,109424,44890,TRUE,TRUE,commercial_2024,permit_100618944,commercial_2024,commercial_2024,permit_100618944,,high,The completed permit and apartment breakdown identify 78 dwellings; the generic total includes three non-apartment units,,codex_audit,2026-07-21,reviewed_evidence
commercial_14204030040000,resolved_by_component_ledger,,,,,FALSE,FALSE,,,,,commercial_components_002/PD1164,https://gisapps.chicago.gov/gisimages/zoning_pds/PD1164.pdf,high,The cross-vintage duplicate and its fields are resolved in the component ledger,,codex_audit,2026-07-21,reviewed_evidence
commercial_14283120910000,retain_source_units,2018,149,196084,28269,TRUE,TRUE,commercial_2021,developer_149_apartments,commercial_2021,commercial_2021,Belmont_Village_Lincoln_Park,https://www.belmontvillage.com/news_events/senior-living-community-tops-out-in-chicagos-lincoln-park-neighborhood/,high,The project source identifies 149 assisted-living and memory-care apartments rather than beds,,codex_audit,2026-07-21,reviewed_evidence
commercial_14303140460000,retain_unit_override,2021,34,46400,13944,TRUE,TRUE,commercial_2024,commercial_total_supported_by_permit_100647438,commercial_2024,commercial_2024,permit_100647438/commercial_2024,,high,The source bedroom fields omit four apartments while the generic total and address-specific 34-dwelling permit agree,The permit expired but is corroborated by the later assessor total,codex_audit,2026-07-21,reviewed_evidence
commercial_14312120200000,retain_source_units,2021,298,311556,142556,TRUE,TRUE,commercial_2024,commercial_apartment_breakdown,commercial_2024,commercial_2024,Triangle_Square_completion_and_permits,,high,The source reports 298 completed apartments and the project is conventional multifamily construction,,codex_audit,2026-07-21,reviewed_evidence
commercial_16122180170000,retain_unit_override,2021,10,24600,10846,TRUE,TRUE,commercial_2024,permit_100820523,commercial_2024,commercial_2024,permit_100820523,,high,The completed permit and apartment breakdown identify ten dwellings; the generic total includes three non-apartment units,,codex_audit,2026-07-21,reviewed_evidence
commercial_17053280180000,retain_unit_override,2019,8,22588,5904,TRUE,TRUE,commercial_2024,permit_100690847,commercial_2024,commercial_2024,permit_100690847,,high,The completed permit and apartment breakdown identify eight dwellings; the generic total includes one non-apartment unit,,codex_audit,2026-07-21,reviewed_evidence
