source_project_id,disposition,final_project_ids,decision_reason,evidence_ids,confidence
residential_tieback_16231160090000,exclude_source_duplicate_keep_successors,,"The obsolete tieback lineage contains two card signatures that reappear as individually retained Springfield successor buildings; retaining the master row would duplicate them.",assessor_cards_1623116009_1623116010_1623116045/current_pins_1623116044_1623116046_1623116047_1623116048,high
residential_tieback_20101040190000,replace_with_site_project,residential_adjudicated_calumet_2014,"Three contiguous assessor cards and three completed permits form one coordinated 12-unit development; the site project counts each parcel once.",permits_100506657_100506658_100506660/assessor_cards_2010104019_2010104020_2010104021,high
residential_297_group_17104000490000,merge_into_site_project,residential_adjudicated_harbor_2021,"Both class-297 source rows describe the same 211 N Harbor tower and the same permit chain.",permits_100821394_100918242/condo_base_1710400050,high
residential_297_group_17104000540000,merge_into_site_project,residential_adjudicated_harbor_2021,"Both class-297 source rows describe the same 211 N Harbor tower and the same permit chain.",permits_100821394_100918242/condo_base_1710400050,high
residential_tieback_13124110110000,exclude_source_duplicate_keep_successors,,"The old Lincoln master-site cards have been divided into separately retained successor buildings and tieback buildings; retaining the source rollup would duplicate them.",current_successors_1312411102_1312411125,high
residential_tieback_13362320330000,replace_with_building,residential_adjudicated_california_2018,"The completed six-unit permit and the stable successor assessor record identify one new building at 1716 N California; older lineage members are not new construction.",permit_100740325/current_pin_13363230340000,high
residential_tieback_13364220230000,replace_with_site_project,residential_adjudicated_campbell_2006,"Two four-unit townhouse permits and eight successor townhouse PINs identify one coordinated development on a site with common land.",permits_100085992_100085993/current_pins_1336422050_1336422058,high
residential_tieback_14193070150000,exclude_not_new_construction,,"The relevant permit is an addition, walkway, and garage to an existing single-family residence rather than a ground-up residential project.",permit_100503607_review_bundle_1419307015,high
residential_tieback_19074280010000,exclude_source_duplicate_keep_successors,,"Two completed Nashville permits are already represented by the separately retained successor houses on PINs 1907428048 and 1907428049.",permits_100405266_100412191/current_pins_1907428048_1907428049,high
residential_multicard_13233050130000,exclude_source_duplicate_keep_successors,,"Three completed Eddy permits and three construction-year successor parcels are already retained as separate houses.",permits_100887196_100887222_100887251/current_pins_1323305034_1323305036,high
residential_multicard_13252030440000,exclude_source_duplicate_keep_successors,,"The Fletcher master parcel was divided into separately retained townhouse and house PINs whose assessor years and fields carry the physical buildings.",current_successors_1325203046_1325203065,high
residential_multicard_14301180100000,exclude_source_duplicate_keep_successors,,"The Bell master cards correspond to eleven separately retained 2006 and 2008 successor houses; later Wolfram houses are also retained separately.",current_successors_1430118036_1430118076,high
residential_multicard_16362010710000,exclude_source_duplicate_keep_successors,,"The 32nd Place and Bross master-site episodes were divided into separately retained successor townhouses; retaining the old aggregate would duplicate the development.",historical_parcel_1636201009/current_successors_1636201037_1636201108,high
residential_multicard_17223090140000,merge_into_site_project,residential_adjudicated_cullerton_prairie_2017,"The permit explicitly identifies this four-unit building as one part of a single 12-unit townhouse project.",permits_100669470_100684888,high
residential_multicard_17223090150000,merge_into_site_project,residential_adjudicated_cullerton_prairie_2017,"The permit explicitly identifies this four-unit building as one part of a single 12-unit townhouse project.",permits_100669471_100684890,high
residential_multicard_17223090330000,merge_into_site_project,residential_adjudicated_cullerton_prairie_2017,"The permit explicitly identifies this four-unit building as one part of a single 12-unit townhouse project.",permits_100669467_100684885,high
residential_multicard_17293090540000,exclude_source_duplicate_keep_successors,,"The Broad and Pitney master-site cards are superseded by separately retained successor houses and townhouses with parcel-specific fields.",historical_parcel_1729309036/current_successors_1729309055_1729309067,high
residential_multicard_17293090680000,exclude_source_duplicate_keep_successors,,"The second Broad/Pitney master-site record overlaps the same separately retained successor development and cannot be retained without duplication.",historical_parcels_1729309036_1729309054/current_successors_1729309055_1729309067,high
residential_multicard_17294220330000,exclude_source_duplicate_keep_successors,,"Four completed 31st Street permits are already represented by four separately retained successor houses.",permits_100813014_100813015_100876787_100876788/current_pins_1729422083_1729422086,high
residential_multicard_20034000310000,replace_with_building,residential_adjudicated_vernon_2019,"The 2019 permit and first complete assessor episode identify one five-unit townhouse building; later card changes do not create new projects.",permit_100802189/assessor_episode_2003400031_2019,high
residential_tieback_09364180070000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_13074180110000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_13074180130000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_13094160070000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_14333010310000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_16131150420000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_17041210510000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
residential_tieback_17071180110000,exclude_outside_period,,"No supported construction year falls in 2006-2022.",residential_unresolved_scope_evidence,high
