project_id_1,project_id_2,disposition,evidence
residential_multicard_13243050590000,residential_multicard_13243050680000,retain_both,"Separate construction-year parcels reproduce separate three-home rows at Whipple and Newport; their successor addresses do not overlap."
residential_multicard_13353210020000,residential_multicard_13353210200000,retain_both,"Separate construction-year parcels link to disjoint three-home successor rows on Monticello and Central Park. The broader permit covers additional homes rather than showing that either parent is duplicated."
residential_multicard_13362030180000,residential_multicard_13362030190000,retain_both,"Four city permits authorize 4, 3, 3, and 4 townhomes at 2245-2303 N Rockwell. The two seven-unit assessor parcels therefore sum to the independently permitted fourteen units."
residential_multicard_14074070260000,residential_multicard_14074070270000,retain_both_with_overrides,"The PINs are adjacent but correspond to separate permitted single-family houses. Each is retained as one house after removing its duplicate assessor card."
residential_multicard_20023050320000,residential_multicard_20023050330000,suppress_project_2,"Only project 20023050320000 intersects the three four-townhome permits and links to the twelve successor parcels. Project 20023050330000 repeats the same twelve-card inventory without independent evidence."
residential_multicard_20143120360000,residential_multicard_20143120370000,retain_both,"Separate permits authorize seven townhomes at 6115 S University and seven at 6117 S University, matching the two assessor parcels exactly."
residential_multicard_17271090010000,residential_multicard_17271090190000,retain_both,"The two parent parcels represent disjoint Wabash inventories: nineteen cards transition to addresses beginning at 2301, while fifteen cards transition to addresses beginning at 2309 and 2311."
residential_multicard_17344240060000,residential_multicard_17344240070000,retain_both,"The two parcels contain separate two-unit inventories and transition to disjoint successor addresses at 720-722 and 716-718 E Pershing."
residential_multicard_17344240060000,residential_multicard_17344240080000,retain_both,"The two parcels contain separate two-unit inventories and transition to disjoint successor addresses at 720-722 and 712-714 E Pershing."
residential_multicard_17344240070000,residential_multicard_17344240080000,retain_both,"The two parcels contain separate two-unit inventories and transition to disjoint successor addresses at 716-718 and 712-714 E Pershing."
residential_multicard_19111230100000,residential_multicard_19111230110000,retain_both,"The parcels represent distinct groups of four townhouses. Seven cards across them match disjoint completed addresses, and the unmatched eighth card is supported by the 3607 W 50th Place permit address."
residential_multicard_14324090380000,residential_multicard_14324100060000,retain_both,"Separate permits authorize separate single-family houses at 1952 N Dayton and 1961 N Dayton. The projects have distinct addresses, PINs, permit IDs, and construction years."
