pin,matter_id,matter_passed_date,from_groups,to_group,project_match_method,parcel_match_method,event_source,source_pdf,review_note,replace_modern_link
13262050360000,O2020-2959,2020-07-22,Single-Family Residential,Multi-Family Residential,exact_ordinance_address,reviewed_ordinance_boundary,reviewed_official_ordinance,../input/O2020-2959.pdf,"Application 20423T1 changes the 3130-3132 N Spaulding zoning lot from RS-3 to RT-3.5 before the 2022 construction proxy. The narrative assigns the new single-family house to 3130, but the legal zoning group is RT-3.5.",true
17082050130000,SO2017-7051,2018-01-17,Industrial,Planned Development,exact_ordinance_address,reviewed_ordinance_boundary,reviewed_official_ordinance,../input/SO2017-7051.pdf,Application 19398 changes M1-3 to DX-5 and then establishes PD 1396 at 728-738 N Milwaukee before the 2020 construction proxy. The title parser captured only the intermediate DX-5 step.,true
17092420090000,SO2018-7749,2018-10-31,Downtown,Planned Development,reviewed_ordinance_boundary,official_current_polygon,reviewed_official_ordinance,../input/SO2018-7749.pdf,Application 19819 changes DX-7 to PD 1428 before the 2021 construction proxy. The legal bounds and current official polygon include the 369 W Grand project.,false
17311180340000,O2017-7056,2017-11-21,Single-Family Residential,Single-Family Residential,reviewed_ordinance_boundary,exact_project_point,reviewed_official_ordinance,../input/O2017-7056.pdf,Application 19403 changes 2312-2314 W 35th to RT-4 but explicitly leaves the western 2316 W 35th parcel RS-3. The range-based link had incorrectly applied the change to 2316.,true
25013240390000,SO2018-863,2018-05-25,Single-Family Residential;Neighborhood Mixed-Use;Commercial,Planned Development,exact_ordinance_address,reviewed_ordinance_boundary,reviewed_official_ordinance,../input/SO2018-863.pdf,"Application 19526 establishes a planned development at 9329-9429 S Stony Island three weeks before the June 15, 2018 construction proxy.",false
13134080510000,O2024-0010153,2024-10-30,Neighborhood Mixed-Use;Commercial,Neighborhood Mixed-Use,exact_ordinance_address,official_current_polygon,reviewed_official_ordinance,../input/O2024-0010153.pdf,Application A-8900 changes the Western Avenue commercial corridor to B3-3 after the 2019 construction proxy.,false
20041100270000,O2024-0008982,2024-06-12,Single-Family Residential;Multi-Family Residential;Industrial,Multi-Family Residential,reviewed_ordinance_boundary,official_current_polygon,reviewed_official_ordinance,../input/O2024-0008982.pdf,"Application A-8886 changes the 40th Place, 41st Street, and Wallace Street site to RT-3.5 after construction.",false
20041100350000,O2024-0008982,2024-06-12,Single-Family Residential;Multi-Family Residential;Industrial,Multi-Family Residential,reviewed_ordinance_boundary,official_current_polygon,reviewed_official_ordinance,../input/O2024-0008982.pdf,"Application A-8886 changes the 40th Place, 41st Street, and Wallace Street site to RT-3.5 after construction.",false
20041100360000,O2024-0008982,2024-06-12,Single-Family Residential;Multi-Family Residential;Industrial,Multi-Family Residential,reviewed_ordinance_boundary,official_current_polygon,reviewed_official_ordinance,../input/O2024-0008982.pdf,"Application A-8886 changes the 40th Place, 41st Street, and Wallace Street site to RT-3.5 after construction.",false
13312140010000,SO2018-4452,2018-09-20,Planned Development;Multi-Family Residential;Industrial,Planned Development,official_current_polygon,reviewed_ordinance_boundary,reviewed_official_ordinance,../input/SO2018-4452.pdf,Application 19687 amends the 10.8-acre PD 1345 site. The current official polygon assigns this PIN to that application.,false
14194350290000,O2022-2464,2022-10-26,Commercial,Neighborhood Mixed-Use,official_current_polygon,reviewed_ordinance_boundary,reviewed_official_ordinance,../input/O2022-2464.pdf,Application A8780 changes C1-3 to B3-3 after the 2019 construction-year proxy.,false
17042240390000,SO2019-4107,2020-01-15,Neighborhood Mixed-Use,Planned Development,exact_ordinance_address,reviewed_ordinance_boundary,reviewed_official_ordinance,../input/SO2019-4107.pdf,Application 20062 creates PD 1465 at 1200-1212 N State before the 2022 construction-year proxy.,false
17042240390000,SO2023-43,2023-03-15,Planned Development,Planned Development,official_current_polygon,reviewed_ordinance_boundary,reviewed_official_ordinance,../input/SO2023-43.pdf,Application 22062 amends PD 1465 without changing its broad group.,false
17081340330000,O2023-1331,2023-04-19,Multi-Family Residential,Neighborhood Mixed-Use,exact_ordinance_address,reviewed_ordinance_boundary,reviewed_official_ordinance,../input/O2023-1331.pdf,Application 22147 changes RT-4 to B2-2 after the 2022 construction-year proxy.,false
