project_id,duplicate_disposition,disposition_reason,evidence
commercial_17102190300000,retain,separate_465_n_park_tower,"Current parcel addresses identify 465 N Park; the adjacent 455 N Park project predates it by four years and has different building fields."
commercial_17102190480000,retain,separate_455_n_park_tower,"Current parcel and permit evidence identify 455 N Park/401 N Michigan; the adjacent 465 N Park project is a later separate tower."
commercial_17104000510000,retain,separate_cascade_tower,"Permit chain 100799477 identifies the 503-unit tower at 455 E Waterside; it is distinct from the 350-unit tower at 211 N Harbor."
residential_adjudicated_harbor_2021,retain,separate_cirrus_tower,"Permit chain 100821394 identifies the 350-unit tower at 211 N Harbor; it is distinct from the 503-unit tower at 455 E Waterside."
commercial_20031180360000,retain,separate_building_on_multi_building_site,"Separate PIN, land, and building fields identify one of seven contemporaneous buildings on the Wabash site."
commercial_20031180370000,retain,separate_building_on_multi_building_site,"Separate PIN, land, and building fields identify one of seven contemporaneous buildings on the Wabash site."
commercial_20031180380000,retain,separate_building_on_multi_building_site,"Separate PIN, land, and building fields identify one of seven contemporaneous buildings on the Wabash site."
commercial_20031180390000,retain,separate_building_on_multi_building_site,"Separate PIN, land, and building fields identify one of seven contemporaneous buildings on the Wabash site."
commercial_20031180400000,retain,separate_building_on_multi_building_site,"Separate PIN, land, and building fields identify one of seven contemporaneous buildings on the Wabash site."
commercial_20031180410000,retain,separate_building_on_multi_building_site,"Separate PIN, land, and building fields identify one of seven contemporaneous buildings on the Wabash site."
commercial_20031180420000,retain,separate_building_on_multi_building_site,"Separate PIN, land, and building fields identify one of seven contemporaneous buildings on the Wabash site."
residential_17322150180000,retain,separate_3243_s_green_townhouse,"Permit and property records identify the 2,200-square-foot townhouse at 3243 S Green."
residential_17322150190000,retain,separate_3247_s_green_townhouse,"Property records identify the separate 2,200-square-foot townhouse at 3247 S Green."
residential_20103010720000,retain,separate_5222_s_michigan_building,"The construction-year centroid and building footprint identify the middle of three separate adjacent buildings at 5220, 5222, and 5224 S Michigan."
residential_tieback_20103010700000,retain,separate_5220_s_michigan_building,"The construction-year centroid and building footprint identify the northern of three separate adjacent buildings at 5220, 5222, and 5224 S Michigan."
residential_multicard_17324140290000,retain,master_parcel_project_retained,"The master-parcel cards and permits represent the multi-building development, including the 3761 S Morgan building."
residential_multicard_17324140510000,suppress_duplicate,successor_building_already_in_master_parcel_project,"The successor PIN at 3761 S Morgan corresponds to the three-dwelling-unit building already represented in the predecessor master-parcel project."
