project_id,reported_year,construction_year,reason,evidence
residential_20024051000000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051010000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051020000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051030000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051040000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051050000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051060000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051070000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051080000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051090000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051100000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051110000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051120000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051130000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051140000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051150000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051160000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051170000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051180000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20024051190000,2019,2017,User-approved 2017 completion-year judgment; individual home retained,2016 construction permits 100640423/100640424/100640426/100640428; original listings and 2017 sales; user approval 2026-09-08; MRED listings 09818582 and 09730390
residential_20232130980000,2014,2017,User approved 2017 completion proxy,October 2016 permit 100658166; 2017 first assessment and electrical permits; December 2017 listing and June 2018 sale; user approval 2026-09-08; retain 2018 assessment and original lot
residential_20232130970000,2017,2018,User approved 2018 completion year,Permit 100658165; 2018 original new-construction listing and sale; successor Assessor year 2018; user approval 2026-09-08; retain coherent 2018 original-lot assessment
residential_13364220500000,2005,2007,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08
residential_13364220510000,2005,2007,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08
residential_13364220520000,2006,2007,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08
residential_13364220530000,2005,2007,User approved 2007 completion proxy and eight individual townhomes on their recorded private lots; common parcel 2058 is not allocated,Permits 100085992/100085993 issued November 2006 for four townhomes each; City footprints 887405/887406 year 2007; user approval 2026-09-08
