project_id,prior_flag_assessment,assessment,earlier_decision,original_count_source,original_evidence,original_urls,original_caveat,record_reference
commercial_11321040200000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The two original new-building permits authorize nine apartments each; both passed construction inspections on June 6 2007. Retain the reported commercial whole-pair building and land measurements and retire the partial six-home residential copy. | Original permits and 2007 passed inspections identify the same completed pair on unchanged exact parcels; use its current primary parcel location with the 2007 ward-map assignment.,original_new_building_permits_100010473_100010476,permits_100010473_100010476/inspections_1481062_1481065/commercial_2024_row_44799,https://webapps1.chicago.gov/buildingrecords/,Completion year uses passed construction inspections as a proxy.,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row273
commercial_13114290270000,preference_does_not_resolve_count,The six-home permit expired; that weakens it as evidence but does not independently verify the selected four homes.,Latest assessor report is used because the conflicting six-unit permit expired,commercial_2024,permit_100211769,,Permit establishes proposed construction but not the completed unit count,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row3
commercial_13203280120000_building_a,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 2024 48-unit rollup is replaced by the first separately measured building and its final 27-unit revision,final_permit_revision,permit_100828071/permit_100843653,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row5
commercial_13203280130000_building_b,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 2024 48-unit rollup is replaced by the second separately measured building and its final 27-unit revision,final_permit_revision,permit_100828073/permit_100843655,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row6
commercial_13253140740000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",Developer and permits identify one two-building 220-unit project completed in March 2020,developer_project_record,permit_100747866;permit_100769962;permit_100764230;permit_100779277;logan_apartments_project,https://www.fifieldco.com/projects/logan/,Assessor bedroom fields incorrectly imply 236 units,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row51
commercial_13253150250000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The permit chain revises the authorized count from six to eight units and supersedes the seven-unit assessor count,final_permit_revision,permit_100137585_revision_chain,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row258
commercial_13261040230000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",Latest assessor report and an active 27-unit new-construction permit agree,commercial_2024,permit_100801726,,Permit remains active rather than complete,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row35
commercial_13364140420000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The issued new-construction permit identifies seven units while the assessor source reports six,permit_100739501,permit_100739501,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row259
commercial_14083170400000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",Completed full-building permit identifies 10 efficiencies and 44 dwelling units,permit_100860516,permit_100856500;permit_100860516,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row36
commercial_14181140140000,preference_does_not_resolve_count,The conflicting 24-home permit expired; the earlier decision still relies on the newer 19-home assessment for the completed count.,Latest assessor report is used because the conflicting 24-unit permit expired,commercial_2024,permit_100736146,,Permit establishes a proposed project but not the completed count,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row5
commercial_14194140460000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.","The project is 3400 N Lincoln, not the historical 1728 W Roscoe parcel address. The new-building permit and City housing report place construction in 2015; the permit revision reduced the planned unit count from 48 to 47. | Ordinance 18029 was adopted July 30, 2014, before the corrected 2015 construction year.",project_manual_reviews.csv:commercial_14194140460000,100603054,https://www.chicagorehab.org/content/cms/documents/2015_Q2_AHP5_report.pdf,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row304
commercial_14204180360000,preference_does_not_resolve_count,The recorded decision chooses 139 from the completed assessment over 140 in plans and permits. It acknowledges the disagreement rather than independently resolving it.,The completed assessor record contains 139 apartments while the plans and permits authorized 140; the earlier vintage supplies gross building area for the same PIN,commercial_2024_post_completion_assessment,permits_100794249/100879049/commercial_2021_2024,https://www.crexi.com/lease/properties/243763/illinois-3300-n-clark-st,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row263
commercial_14291000140000,outside_common_density_sample,FAR is already withheld because building area is missing. The old decision does not independently confirm nine homes.,The latest assessor report identifies nine apartments and a verified site but no comparable gross building area,commercial_2024_apartment_breakdown,commercial_2024/address_permit_history,,The new-construction permit was not recovered in the available address history,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row256
commercial_14294190080000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The later 16-unit entity is replaced by two separately measured eight-unit Altgeld buildings,commercial_2021,commercial_manual_decision_040,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row15
commercial_14294190090000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The later 16-unit entity is replaced by two separately measured eight-unit Altgeld buildings,commercial_2021,commercial_manual_decision_040,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row15
commercial_14294190580000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The 2021 component set describes the completed Elevate Lincoln Park building while the later added PIN expands the assessed site beyond the construction project,commercial_2024_and_project_offering,permit_100668624/Elevate_Lincoln_Park_offering,https://res.cloudinary.com/jll-global-cmg/image/upload/v1628777836/IC/Img/Original/ehlw3sbwvd2bfqidrksw.pdf,The assessor gross building area exceeds the offering's rentable residential and retail area because the measures differ,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row40
commercial_14301220270000_building_a,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The later 30-unit entity is disaggregated to the first separately permitted 15-unit Clybourn building,issued_address_specific_permit,commercial_manual_decision_006,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row9
commercial_14301220460000_building_b,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The later 30-unit entity is disaggregated to the second separately permitted 15-unit Clybourn building,issued_address_specific_permit,commercial_manual_decision_006,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row10
commercial_16013050010000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The expanded component set is one completed 49-unit project and its parcel union agrees with the latest assessor site area,permit_100583280_and_commercial_2024,permit_100583280/100603885,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row33
commercial_16111020190000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The revision increases the completed project from six to seven units and the permit timing supports a 2020 completion year,permit_revision_100828527,permits_100744642/100828527,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row260
commercial_16132180010000,preference_does_not_resolve_count,The record asserts a coherent site aggregate but chooses the latest 70-home count over the permit total; the original note says building-level fields are unavailable.,One construction phase produced a site-level project; latest assessor fields supersede the authorized permit total,commercial_2024,permits_100563604_to_100573230,,Building-level assessor fields are unavailable,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row24
commercial_16242010140000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The two component PINs form one 1218-20 S Washtenaw project. The issued permit and later residential assessment identify five completed units; the stable commercial records supply whole-site building and land area.,permit_100349959_and_residential_post_completion_assessment,permit_100349959/commercial_rows_60518_83660/residential_assessor_16242010150000,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row267
commercial_17043060300000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",Completed housing records and the latest assessor report identify 106 units,completed_project_records,permit_100547342,https://map.lisc-cnda.org/2017/driehaus/459-terrace-at-parkside-of-old-town/,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_manual_decisions.csv:row10
commercial_17053010190000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The completed building contains 40 apartments despite an earlier 41-unit permit count,commercial_2024_and_project_record,permit_100547689/Wicker_Park_Lofts,https://yochicago.com/new-wicker-park-lofts-now-leasing-apartments/,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row261
commercial_17062350680000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The completed project contains 146 apartments; construction-year parcel polygons provide the full site area,final_project_and_permit_count,permit_100695536/Wicker_Park_Connection,https://www.taylorjohnson.com/first-residents-move-into-hubbard-street-groups-wicker-park-connection-ii/,The 2024 assessor generic total is 154 and is not used as the dwelling count,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row291
commercial_17074160420000,preference_does_not_resolve_count,Phase records support grouping and dates. The 68-home count still comes from the latest assessment; the old note acknowledges that the permit match covers only one building.,The assessor record is a coherent same-phase aggregate of multiple Westhaven Park Phase IIC buildings completed in 2009 and 2010,commercial_2024,commercial_2024/official_phase_records,https://www.hud.gov/sites/documents/chicago_fy12_rpt.pdf;https://oldwebsite.lbba.com/work/westhaven-park/,The permit match covers only one building within the retained site aggregate,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row27
commercial_17074170400000,preference_does_not_resolve_count,"The earlier decision describes an eight-home and six-home aggregate, but its measurement source is the same latest commercial report; the cited generic commercial evidence does not independently settle the count.",The site contains same-episode eight-unit and six-unit buildings that share one assessed physical record,commercial_2024,commercial_post_evidence,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row28
commercial_17084220290000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The completed residential assessment distinguishes two apartments from one commercial unit on the exact parcel. Retain its coherent floor and land measurements and 2007 construction proxy; City new-construction inspections passed in early 2008. Suppress the older residential duplicate and the commercial-only one-unit measurement. | Exact parcel and completed residential assessment identify the same mixed-use building inspected in early 2008; retain Assessor 2007 completion proxy and use its unchanged parcel location.,residential_assessor_2025_apartments_excluding_commercial_unit,assessor_row_1708422029000022025,https://webapps1.chicago.gov/buildingrecords/home,2007 is the Assessor completion proxy; the final recorded inspection occurred in 2008.,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row271
commercial_17084220340000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The completed residential assessment distinguishes two apartments from one commercial unit on the exact parcel. Retain its coherent floor and land measurements and 2007 construction proxy; City new-construction inspections passed in early 2008. Suppress the older residential duplicate and the commercial-only one-unit measurement. | Exact parcel and completed residential assessment identify the same mixed-use building inspected in early 2008; retain Assessor 2007 completion proxy and use its unchanged parcel location.,residential_assessor_2025_apartments_excluding_commercial_unit,assessor_row_1708422034000022025,https://webapps1.chicago.gov/buildingrecords/home,2007 is the Assessor completion proxy; the final recorded inspection occurred in 2008.,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/construction_modifications.csv:row272
commercial_17092610280000,earlier_decision_addresses_flag,"Earlier evidence addresses this flag; see the recorded reason and source.",The two component parcels contain the AMLI River North tower and its completed 409-unit record and the City footprint establishes 2013 completion,commercial_2024_and_city_building_893575,permits_100414910/100420097/city_building_893575,,,tasks/audits/construction_review_history/records/production_decisions_before_consolidation/commercial_component_overrides.csv:row41
