project_id,reviewed_address,status,evidence,recommendation,source_url
commercial_17084440270000,1100 W Madison,confirmed_count_error,2024 Assessor: 81 units; 2021: 9; same 16094 building sqft and 4599 land sqft. Original permit 100445820 links 4 N Aberdeen. Buyer reports 81 across four buildings.,Recommend 9 units and 2013 completion; not applied.,https://yochicago.com/madison-aberdeen-place-apartments-3-n-aberdeen-west-loop/
commercial_17084450160000,1048 W Madison,confirmed_count_error,2024 Assessor: 81 units; 2021: 24; same 35051 building sqft and 10000 land sqft. Original permit 100444350 links 3 N Aberdeen. Building reporting gives 18; community arithmetic independently reconciles to 18.,Recommend 18 units and 2013 completion; not applied.,https://www.taylorjohnson.com/tj-news/waterton-acquires-81-unit-apartment-community-in-chicagos-west-loop/
commercial_14192320210000,1607 W Waveland,confirmed_count_error,"Assessor 2021 has 6 units; 2024 has 8; both have 11205 building sqft and 5184 land sqft. Original permit 100258115 (2009-02-17) specifies 6 apartments and 2 commercial spaces. Permit 101007430 (2023-10-27) converts the restaurant into 2 apartments, making 8.","Recommend 6 for the original construction, rather than the 2023 conversion total. Separately reconcile the currently assigned 2011 year; no production change.",
commercial_17084400130000,922 W Washington (Circa 922),confirmed_count_error,Assessor 2021 has 104 units; 2024 has 149 with identical 157250 building sqft and 29519 land sqft. Permit 100509838 (2013-09-20) and the developer distinguish 104 new apartments from 45 existing loft apartments at 123 N Sangamon. Developer reports 2015 completion.,Recommend 104 newly built apartments. Floor and land coverage and the current 2014 construction year still require reconciliation before adopting the full observation.,https://workwithfocus.com/portfolio/circa-922/
residential_14322220040000,2051 N Clifton,confirmed_count_error,"New-building permit 100929134 (2021-07-23) and the original sales broker identify 3 apartments, built in 2022. Assessor 2022 and 2023 say Two; 2024 onward says Three with the same 3765 building sqft, 3100 land sqft and 2022 construction year. Earlier rows describe an 1888 building with 2 apartments and 2420 building sqft.",Recommend 3 units. The first assessment of the new building appears to have carried forward the old two-unit count; that mechanism is an inference.,https://lowegroupchicago.com/properties/2051-n-clifton-avenue
residential_297_group_17081260120000,550 N Ogden,confirmed_count_error,"Selected residential source row 1708126012000012021, class 297, reports apartments_text Six, building 37975 sqft, land 5112 sqft and construction year 2021. Original permit 100865192 (2020-06-09) specifies 8 apartments. Completed condo listings also report 8 units.",Recommend 8 units. Audit floor-area coverage before treating the complete density observation as settled.,https://www.compass.com/listing/550-north-ogden-avenue-unit-5n-chicago-il-60642/1516015302162799321/
residential_297_group_17171020430000,1400 W Monroe (permit address 1404),confirmed_count_error,"Selected row 1717102043000012021, class 297, reports Six apartments, 88950 building sqft and 15625 land sqft. Original permit 100785092 specifies 42, but revision 100896420 (2021-03-08) explicitly reduces 42 to 38. Current developer reports 38. The builder completion announcement still reports 42 and dates completion to March 2022.",Six is not the building count. Recommend 38 based on the explicit revision and developer; reconcile the 2021 selected year and floor-area coverage before adoption. Do not use the unrevised 42 from the completion announcement.,https://jkequities.com/project/1400-west-monroe-street-chicago-il/ ; https://summitdb.com/summit-design-build-completes-1400-monroe/
residential_297_group_13013110490000,5914 N Lincoln,confirmed_count_error,"Selected row 1301311049000012021 reports 4 apartments, 8519 building sqft, 4522 land sqft and 2021 construction. Permit 100872832 (2020-05-26) specifies 6 apartments; completed individual condo listings also report a 6-unit building.",Recommend 6 units. Check that the selected floor and lot measurements cover those six apartments before adoption.,https://www.redfin.com/IL/Chicago/5914-N-Lincoln-Ave-60659/unit-1E/home/175255935
residential_tieback_13224160090000,3408 N Milwaukee,strong_count_conflict,"Two tied parcel records share building sqft 8355 and each has land sqft 2500. Both say 6 apartments in 2014, then 2 from 2015 onward. Permit 100490799 (2013-07-23) specifies 6 apartments on the two exact parcels. Selected construction year is 2012, before that permit. Current online marketing mixes this building with a 36-unit complex, so that complex count is not independent evidence for this building.","Six is the better-supported original count, but verify completion year and the six-unit building identity before adopting a correction.",https://www.redfin.com/IL/Chicago/3408-N-Milwaukee-Ave-60641/home/105728012
commercial_17042140160000,321 W Evergreen,current_count_supported,2021 Assessor reports 8; current count is 15. Original new-building permit 100667281 (2016-12-19) specifies 15 apartments.,Keep the 15-unit count; this finding does not independently validate floor and land coverage.,
commercial_17213280040000,2109 S Halsted,current_count_supported,Earlier count 12; current count 18. New-building permit 100638085 (2017-04-13) specifies 18 apartments above two commercial spaces. A later commercial-to-amenity revision does not add apartments.,Keep 18 units for the original construction.,
residential_13144290260000,3332 W Irving Park,current_count_supported,Current count 3; later history has 4. Original permit 100823068 (2020-05-27) specifies 3 apartments and a business. Permit 101000510 (2023-02-16) converts the business to a fourth apartment.,Keep 3 for original construction. Do not replace it with the later four-unit count.,
residential_16012120060000,Parcel 16012120060000,current_count_supported,"Current count 3; one same-measurement historical report has 4. Original permit 100754414 (2018-08-31), linked to this parcel, specifies 3 apartments.",Keep the current 3-unit count.,
commercial_17172290130000,1123 W Van Buren,current_count_supported,Earlier count 172; current count 198. Revision permit 100916243 in 2021 explicitly gives 198 apartments.,Keep 198 units on the evidence reviewed.,
commercial_17161000490000,1 S Halsted,current_count_supported,Earlier count 488; current 492. Full-building permit 100685260 (2017-07-19) specifies 492 apartments.,Keep 492 units.,
commercial_14083170400000,1236 W Lawrence,current_count_supported,Earlier count 56; current 54. Permit 100860516 (2020-06-26) specifies 10 efficiencies and 44 other apartments. A 2021 revision repeats those counts.,Keep 54 units.,
commercial_13364140420000,2404 W Moffat,current_count_supported,Earlier count 6; current 7. Permit 100739501 (2019-05-02) specifies 7 apartments.,Keep 7 units.,
commercial_17044510080000,228 W Hill,current_count_supported,Earlier count 458; current 456. Full-building permit 100819099 (2019-12-31) and its 2020 revision specify 456 apartments.,Keep 456 units.,
commercial_20031150430000,4112 S Prairie,current_count_supported,Earlier count 3; current 5. Original permit 100214012 (2007-12-06) specifies 5 apartments.,Keep 5 units.,
commercial_13114290270000,3300 W Lawrence,unresolved,"Assessor counts conflict: earlier 6, current 4. Permit 100211769 specifies 6, but the existing committed decision notes that this permit expired and explicitly chooses the newer count.",Do not undo the recorded decision just because the old permit says six; establish the completed building count.,
commercial_11323190150000,6556 N Sheridan,unresolved,Earlier Assessor count 52; current 41. Located new-building permit does not establish the count.,Need completed-building evidence to distinguish a correction from a coverage change.,
commercial_13364270320000,2656 W North,unresolved,Earlier Assessor count 27; current 33 with unchanged floor and land measurements.,Need count evidence for the original building; neither vintage is automatically correct.,
commercial_13364270350000,2644 W North,unresolved,Earlier Assessor count 54; current 53 with unchanged floor and land measurements.,Need count evidence for the original building.,
commercial_17221070890000,1464 S Michigan,unresolved,Current count 7 and building sqft 5394 are paired with land sqft 212611. Earlier count is 6. The very large land value requires checking against the specific assessed building.,"Investigate measurement coverage; an extreme ratio is a flag, not proof of an error.",
commercial_17062260140000,1958 W Division,unresolved,"Current count 2, building sqft 21279 and land sqft 21000 create unusually large floor area per apartment. Mixed-use space could explain this.",Check the original permit and commercial floor coverage before concluding that the count is wrong.,
residential_tieback_13284280230000,5130-5136 W Fullerton,unresolved,"Current count 3, building sqft 16076 and land sqft 21875 create unusually large floor area per apartment; tied mixed-use records may include substantial commercial space.",Review the shared building and its commercial component; do not manufacture residential floor area.,
commercial_17092170170000,169 W HURON CHICAGO,shared_land_unresolved,Recorded land area 23980 sqft is repeated on another nearby project's record; see measurement_pairs.csv. Different tax parcel numbers do not settle whether each reported area includes the shared site.,Check source-reported lot coverage for each building. Do not calculate substitute land from a map.,
commercial_17092230070000,648 N WELLS CHICAGO,shared_land_unresolved,Recorded land area 23980 sqft is repeated on another nearby project's record; see measurement_pairs.csv. Different tax parcel numbers do not settle whether each reported area includes the shared site.,Check source-reported lot coverage for each building. Do not calculate substitute land from a map.,
commercial_17094000350000,341 W KINZIE CHICAGO,shared_land_unresolved,Recorded land area 178133 sqft is repeated on another nearby project's record; see measurement_pairs.csv. Different tax parcel numbers do not settle whether each reported area includes the shared site.,Check source-reported lot coverage for each building. Do not calculate substitute land from a map.,
commercial_17094000370000,343 W WOLF POINT  PLAZA CHICAGO,shared_land_unresolved,Recorded land area 178133 sqft is repeated on another nearby project's record; see measurement_pairs.csv. Different tax parcel numbers do not settle whether each reported area includes the shared site.,Check source-reported lot coverage for each building. Do not calculate substitute land from a map.,
commercial_17102110300000,545 N MCCLURG CHICAGO,shared_land_unresolved,Recorded land area 51925 sqft is repeated on another nearby project's record; see measurement_pairs.csv. Different tax parcel numbers do not settle whether each reported area includes the shared site.,Check source-reported lot coverage for each building. Do not calculate substitute land from a map.,
commercial_17102110310000,423 E OHIO CHICAGO,shared_land_unresolved,Recorded land area 51925 sqft is repeated on another nearby project's record; see measurement_pairs.csv. Different tax parcel numbers do not settle whether each reported area includes the shared site.,Check source-reported lot coverage for each building. Do not calculate substitute land from a map.,
commercial_17102120360000,200 E ILLINOIS CHICAGO,shared_land_unresolved,Recorded land area 100946 sqft is repeated on another nearby project's record; see measurement_pairs.csv. Different tax parcel numbers do not settle whether each reported area includes the shared site.,Check source-reported lot coverage for each building. Do not calculate substitute land from a map.,
commercial_17102120370000,240 E ILLINOIS CHICAGO,shared_land_unresolved,Recorded land area 100946 sqft is repeated on another nearby project's record; see measurement_pairs.csv. Different tax parcel numbers do not settle whether each reported area includes the shared site.,Check source-reported lot coverage for each building. Do not calculate substitute land from a map.,
