final_project_id,component_pins,decision_reason,evidence_ids,supporting_permit_number
residential_condo_1705301070,17053010310000,The 1522 W Thomas permit is filed on predecessor PIN 1705301031 and corresponds to successor condominium base 1705301070.,permit_100887419/condo_base_1705301070,
residential_condo_1705301071,17053010320000,The 1518 W Thomas permit is filed on predecessor PIN 1705301032 and corresponds to successor condominium base 1705301071.,permit_100882997/condo_base_1705301071,
residential_reviewed_14202280110000,14202280110000,Separate three-apartment Sheffield building on its own Assessor parcel; user approved September 9 2026.,permit_100097576,
residential_reviewed_14202280120000,14202280120000,Separate three-apartment Sheffield building on its own Assessor parcel; user approved September 9 2026.,permit_100093835,
residential_condo_1601317037,16013170371001/16013170371002/16013170371003/16013170371004/16013170371005/16013170371006,"The six completed condominium PINs describe Walton Row and its shared reported site, replacing former development parcel membership.",condo_base_1601317037/assessment_2022/permit_100563416,
residential_condo_1432224070,14322240701001/14322240701002/14322240701003,Each completed three-home condo cohort identifies its own building and reported lot; both replace the old combined Sheffield record.,condo_base_1432224070/assessment_2022/permits_100309781_100309785,
residential_condo_1432224071,14322240711001/14322240711002/14322240711003,Each completed three-home condo cohort identifies its own building and reported lot; both replace the old combined Sheffield record.,condo_base_1432224071/assessment_2022/permits_100309781_100309785,
residential_tieback_13224160040000,13224160040000/13224160050000/13224160240000,Approved full two-building site includes the additional vacant parcel named in the exact-parcel new-construction permit; no map-derived land area.,permit_100490842/assessor_PIN024_875,100490842
residential_condo_1708253039,17082530391001/17082530391002/17082530391003/17082530391004,Four original apartments completed by February 2017 sales; exclude the fifth dwelling created by commercial conversion. Use broker-reported whole-building floor area including commercial space and the repeated completed-Assessor site area.,permits_100634081_100703046/condo_base_1708253039/https://www.loopnet.com/Listing/440-N-Halsted-St-Chicago-IL/7337218/,
residential_condo_1707325052,17073250521001/17073250521002,Original two-home Warren building uses repeated whole-building and land fields in the 2022 condo snapshot. The 2025 conversion to one house does not change original construction.,permits_100104697_101064853/condo_2022_17073250521001_17073250521002,
residential_condo_1734105056,17341050561001/17341050561002/17341050561003/17341050561004/17341050561005/17341050561006/17341050561007/17341050561008,3109 Giles completed eight-home building; 3105 completed Assessor2023 remains outside sample; floor area unavailable,Completed Assessor and permit evidence; user approval2026-09-09,
residential_tieback_20024000560000,20024000560000,4400 Oakenwald four apartments confirmed by permit100902285 and completed Assessor; exclude neighboring1881 renovation,Completed Assessor and permit evidence; user approval2026-09-09,
residential_tieback_20024040410000,20024040420000,4450 Oakenwald surviving house; vacant4442 obsolete card does not establish second house,Completed Assessor and permit evidence; user approval2026-09-09,
residential_condo_1429227059,14292270591003/14292270591004/14292270591005/14292270591006/14292270591007/14292270591008/14292270591009/14292270591010/14292270591011/14292270591012/14292270591013/14292270591014,Completed 1130 building: six home parcels and six parking parcels; two separate commercial records excluded from home count.,condo_base_1429227059,
residential_condo_1708334056,17083340561001/17083340561002/17083340561003/17083340561004,Completed four-home condominium at 15 N Bishop; neighboring 17 and 19 have distinct retained parcels.,condo_base_1708334056/permit_100124927,
