duplicate_review_group_id,source_project_ids,action,final_project_ids,identity_evidence,evidence_urls,confidence,decision_reason,unresolved_caveat,reviewer,review_date,status
commercial_duplicate_review_001,commercial_13241160180000/commercial_13241160430000,merge_same_project,commercial_13241160430000,exact_address/same_city_footprint/cross_vintage_successor_pin,https://www.crexi.com/property-records/13241160430000-CHICAGO-IL-60618-4501/dbf4431ff3b973d2bfd696a40fc4c90d646cff0c,high,The two source families describe the same 3705 N Kedzie building across reassessment vintages,Construction year and physical fields require a separate field decision,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_002,commercial_13281160080000/commercial_13281160440000,keep_separate_projects,commercial_13281160080000/commercial_13281160440000,separate_pins/separate_addresses/separate_buildings,,high,2937 N Central and 2917 N Central are separate buildings,Shared local geography does not make them one project,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_003,commercial_13302270030000/commercial_13302270090000/commercial_13302270100000,keep_separate_projects,commercial_13302270030000/commercial_13302270090000/commercial_13302270100000,separate_pins/separate_addresses/separate_buildings,,high,The three Natoma addresses are separate buildings,The common unit count is not evidence of duplication,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_004,commercial_13363150560000/commercial_13363150590000,keep_separate_projects,commercial_13363150560000/commercial_13363150590000,separate_pins/separate_addresses/separate_six_unit_permits,,high,1814 N California and 1810 N California are separate six-unit buildings,Commercial physical fields are superseded by residential records in a separate component decision,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_005,commercial_14204030040000/commercial_14204030750000,merge_same_project,commercial_14204030750000,identical_permit_chains/exact_address/official_PD1164,https://gisapps.chicago.gov/gisimages/zoning_pds/PD1164.pdf,high,The 2021 and 2024 PIN families describe the same 148-unit 1025 W Addison project,Fields from the two vintages require explicit provenance,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_006,commercial_14311100080000/commercial_14311100110000/commercial_14311100140000,keep_separate_projects,commercial_14311100080000/commercial_14311100110000/commercial_14311100140000,separate_pins/separate_addresses/separate_buildings,,high,The three Seeley addresses are separate buildings,The shared construction episode does not justify combining their physical fields,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_007,commercial_14313260840000/commercial_14313260850000,keep_separate_projects,commercial_14313260840000/commercial_14313260850000,separate_pins/distinct_2021_addresses/distinct_building_fields/nearby_1651_permit,https://www.loopnet.com/property/1655-n-western-ave-chicago-il-60647/17031-14313260850000/,high,The 1665 N Western and 1655 N Western source rows are adjacent buildings rather than duplicate records,The 2024 workbook normalizes both addresses to 1655 N Western,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_008,commercial_16012270350000/commercial_16012270360000,keep_separate_projects,commercial_16012270350000/commercial_16012270360000,separate_pins/separate_building_fields/permit_addresses_2518_and_2516,,high,The two PIN families identify separate six-unit Division Street buildings,Permit 100754518 is linked to both because one candidate contains the permit PIN,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_009,commercial_16143160360000/commercial_16143160370000,keep_separate_projects,commercial_16143160360000/commercial_16143160370000,separate_pins/distinct_site_fields/multiple_address_specific_permits,https://www.crexi.com/property-records/16143160360000-CHICAGO-IL-60624-4140/3698b714d96520cb3c634b2db89d9c0e41fcd8ca,medium,The two PINs are separate Homan Square site aggregates and are not duplicate commercial records,Each PIN may contain multiple buildings and remains subject to the site-level project rule,codex_audit,2026-07-21,reviewed_evidence
commercial_duplicate_review_010,commercial_16242070150000/commercial_16242070530000/commercial_16242070760000,keep_separate_projects,commercial_16242070150000/commercial_16242070530000/commercial_16242070760000,separate_pins/separate_addresses/separate_buildings,,high,The Fairfield and Washtenaw records are separate buildings,They belong to one broader development but have distinct physical fields,codex_audit,2026-07-21,reviewed_evidence
