pin,pin10,card,year,class,township_code,tieback_key_pin,tieback_proration_rate,card_proration_rate,char_yrblt,char_building_sf,char_bedrooms,char_full_baths,char_half_baths,char_building_non_units,char_building_pins,char_land_sf,pin_is_multiland,pin_num_landlines,bldg_is_mixed_use,is_parking_space,is_common_area,row_id,char_unit_sf,cdu
13124250581001,1312425058,1,2023,299,71,13124250581001,0.3832,0.3832,2022,5598,3,2,1,0,3,3522,FALSE,1,FALSE,FALSE,FALSE,131242505810012023,NA,NA
13124250581001,1312425058,1.0,2024.0,299,71,13124250581001,0.3832,0.3832,2022.0,5598.0,3.0,2.0,1.0,0.0,3.0,3522.0,FALSE,1.0,FALSE,FALSE,FALSE,131242505810012024,NA,NA
13124250581001,1312425058,1.0,2025,299,71,13124250581001,0.3832,0.3832,2022.0,5598.0,3.0,2.0,1.0,0,3,3522.0,FALSE,1,FALSE,FALSE,FALSE,131242505810012025,NA,NA
13124250581002,1312425058,1,2023,299,71,13124250581001,0.28550000000000003,0.28550000000000003,2022,5598,3,2,NA,0,3,3522,FALSE,1,FALSE,FALSE,FALSE,131242505810022023,NA,NA
13124250581002,1312425058,1.0,2024.0,299,71,13124250581001,0.2855,0.2855,2022.0,5598.0,3.0,2.0,NA,0.0,3.0,3522.0,FALSE,1.0,FALSE,FALSE,FALSE,131242505810022024,NA,NA
13124250581002,1312425058,1.0,2025,299,71,13124250581001,0.2855,0.2855,2022.0,5598.0,3.0,2.0,NA,0,3,3522.0,FALSE,1,FALSE,FALSE,FALSE,131242505810022025,NA,NA
13124250581003,1312425058,1,2023,299,71,13124250581001,0.33130000000000004,0.33130000000000004,2022,5598,3,2,NA,0,3,3522,FALSE,1,FALSE,FALSE,FALSE,131242505810032023,NA,NA
13124250581003,1312425058,1.0,2024.0,299,71,13124250581001,0.3313,0.3313,2022.0,5598.0,3.0,2.0,NA,0.0,3.0,3522.0,FALSE,1.0,FALSE,FALSE,FALSE,131242505810032024,NA,NA
13124250581003,1312425058,1.0,2025,299,71,13124250581001,0.3313,0.3313,2022.0,5598.0,3.0,2.0,NA,0,3,3522.0,FALSE,1,FALSE,FALSE,FALSE,131242505810032025,NA,NA
13233220471001,1323322047,1,2021,299,71,13233220471001,0.2,0.2,2019,10764,4,3,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710012021,NA,NA
13233220471001,1323322047,1,2022,299,71,13233220471001,0.2,0.2,2019,10764,4,3,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710012022,NA,NA
13233220471001,1323322047,1,2023,299,71,13233220471001,0.2,0.2,2019,10764,4,3,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710012023,NA,NA
13233220471001,1323322047,1.0,2024.0,299,71,13233220471001,0.2,0.2,2019.0,10764.0,4.0,3.0,NA,0.0,6.0,6270.0,FALSE,1.0,FALSE,FALSE,FALSE,132332204710012024,NA,NA
13233220471001,1323322047,1.0,2025,299,71,13233220471001,0.2,0.2,2019.0,10764.0,4.0,3.0,NA,0,6,6270.0,FALSE,1,FALSE,FALSE,FALSE,132332204710012025,NA,NA
13233220471002,1323322047,1,2021,299,71,13233220471002,0.2,0.2,2019,10764,4,3,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710022021,NA,NA
13233220471002,1323322047,1,2022,299,71,13233220471002,0.2,0.2,2019,10764,4,3,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710022022,NA,NA
13233220471002,1323322047,1,2023,299,71,13233220471002,0.2,0.2,2019,10764,4,3,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710022023,NA,NA
13233220471002,1323322047,1.0,2024.0,299,71,13233220471002,0.2,0.2,2019.0,10764.0,4.0,3.0,NA,0.0,6.0,6270.0,FALSE,1.0,FALSE,FALSE,FALSE,132332204710022024,NA,NA
13233220471002,1323322047,1.0,2025,299,71,13233220471002,0.2,0.2,2019.0,10764.0,4.0,3.0,NA,0,6,6270.0,FALSE,1,FALSE,FALSE,FALSE,132332204710022025,NA,NA
13233220471003,1323322047,1,2021,299,71,13233220471003,0.15,0.15,2019,10764,2,2,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710032021,1500,NA
13233220471003,1323322047,1,2022,299,71,13233220471003,0.15,0.15,2019,10764,2,2,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710032022,1500,NA
13233220471003,1323322047,1,2023,299,71,13233220471003,0.15,0.15,2019,10764,2,2,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710032023,1500,NA
13233220471003,1323322047,1.0,2024.0,299,71,13233220471003,0.15,0.15,2019.0,10764.0,2.0,2.0,NA,0.0,6.0,6270.0,FALSE,1.0,FALSE,FALSE,FALSE,132332204710032024,1500.0,NA
13233220471003,1323322047,1.0,2025,299,71,13233220471003,0.15,0.15,2019.0,10764.0,2.0,2.0,NA,0,6,6270.0,FALSE,1,FALSE,FALSE,FALSE,132332204710032025,1500.0,NA
13233220471004,1323322047,1,2021,299,71,13233220471004,0.15,0.15,2019,10764,2,2,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710042021,1372,NA
13233220471004,1323322047,1,2022,299,71,13233220471004,0.15,0.15,2019,10764,2,2,NA,0,6,6270,FALSE,1,FALSE,FALSE,FALSE,132332204710042022,1372,NA
