site_id,site_decision,corrected_year,evidence_type,evidence_ids,evidence_url,notes
residential_13144170420000,retain_corrected,2008,exact_property_record,,https://www.redfin.com/IL/Chicago/4106-N-Saint-Louis-Ave-60618/home/13355401,Exact parcel records date the replacement house to 2008.
residential_13364310100000,retain_corrected,2007,exact_property_record,,https://www.redfin.com/IL/Chicago/1635-N-Campbell-Ave-60647/home/18954229,The exact parcel listing dates the completed house to 2007.
residential_14072210230000,retain_selected,,exact_property_record,,https://www.redfin.com/IL/Chicago/1906-W-Farragut-Ave-60640/home/13594942,The exact parcel record identifies a 2006 house with matching physical fields.
residential_16132170130000,retain_selected,,city_permit_and_sale_transition,100112381,,A land-to-building sale transition and the exact-address permit identify the new house.
residential_16133240440000,retain_selected,,townhouse_records,,https://www.redfin.com/IL/Chicago/1130-S-Troy-St-60612/home/18951510,Separate fee-simple townhouse parcels and property records support the selected 2006 cohort.
residential_17042110010000,retain_corrected,2008,contemporaneous_project_record,,https://www.chicagomag.com/real-estate/april-2008/house-of-the-month/,A contemporaneous account dates construction of the house to 2008.
residential_17072010480000,project_specific,,exact_property_records,,,The two adjacent houses have different construction histories and are decided separately.
residential_17091200190000,project_specific,,exact_property_records,,,The four adjacent houses have parcel-specific completion years and are decided separately.
residential_17172100780000,retain_selected,,sale_and_building_records,,https://www.compass.com/building/1117-w-monroe-st-chicago-il-60607/594252395964959101/,Building records and first sales support the selected 2006 and 2007 townhouse years.
residential_17172260190000,retain_selected,,exact_property_record,,https://www.redfin.com/IL/Chicago/914-W-Van-Buren-St-60607/home/12689870,The exact parcel record identifies a 2006 townhouse.
residential_17173230210000,retain_selected,,townhouse_records,,https://www.zillow.com/homedetails/1211-W-Arthington-St-Chicago-IL-60607/80839927_zpid/,The parcels are separately measured townhouses and the development and sale records do not contradict 2006.
residential_17202000800000,retain_selected,,exact_property_record,,https://www.compass.com/homedetails/1142-W-Washburne-Ave-Chicago-IL-60608/1WHGM1_pid/,The exact parcel record and contemporaneous listing history support the 2006 house.
residential_17211250100000,retain_selected,,exact_property_record,,https://www.redfin.com/IL/Chicago/1449-S-Emerald-St-60607/home/18924361,The exact parcel record identifies a 2006 house with matching physical fields.
residential_17211250130000,retain_selected,,city_permit,100147484,,A same-block new-house permit and stable Assessor history support the selected year.
residential_17221060970000,retain_corrected,2008,city_permit_and_townhouse_records,100188890,https://www.realtor.com/realestateandhomes-detail/1440-S-Wabash-Ave-W15_Chicago_IL_60605_M88290-12187,The permit covers the 39-unit development and the separately parceled townhouses were completed in 2008.
residential_17223070930000,retain_selected,,exact_property_record,,https://www.redfin.com/IL/Chicago/129-E-18th-St-60616/home/12693206,The exact parcel record identifies a 2006 townhouse with matching physical fields.
residential_19232160090000,retain_selected,,city_permit,100117633,,The nearby permit description and parcel geometry identify the new single-family house.
residential_20034230140000,retain_corrected,2007,exact_property_record,,https://www.redfin.com/IL/Chicago/523-E-46th-St-60653/home/18951737,The exact parcel record dates the completed house to 2007.
residential_20071160140000,retain_corrected,2007,exact_property_record,,https://www.zillow.com/homedetails/2125-W-49th-Pl-Chicago-IL-60609/87701677_zpid/,The exact parcel record dates the completed house to 2007.
residential_20091110350000,retain_selected,,exact_property_records,,https://www.redfin.com/IL/Chicago/723-W-49th-Pl-60609/home/18952346,The three separately parceled adjacent houses are consistently identified as the 2006 phase.
residential_20114230620000,retain_corrected,2007,project_and_sale_records,100142600,https://www.redfin.com/IL/Chicago/5449-S-Ridgewood-Ct-60615/home/18952880,The permit and listing history date completion to 2007.
residential_20161010100000,retain_corrected,2008,exact_property_record,,https://ilfls.com/listing/5523-s-emerald-ave-chicago-il-60621-233321,The exact parcel record dates the completed house to 2008.
residential_20284110510000,exclude,,vacant_site_record,,https://ilfls.com/listing/7656-7658-s-perry-ave-chicago-il-60620-640355,Current and historical evidence do not support a completed building on the project parcel.
residential_25014190050000,retain_corrected,2007,exact_property_record,,https://ilfls.com/listing/2113-e-93rd-st-chicago-il-60617-419039,The exact parcel record dates the completed house to 2007.
residential_25014190260000,retain_selected,,exact_property_record,,https://www.redfin.com/IL/Chicago/9314-S-Merrill-Ave-60617/home/18952505,The exact parcel record identifies a 2006 house with matching physical fields.
residential_25162150600000,retain_selected,,sale_transition,,,A recorded land sale followed by an improved sale identifies sample-period construction.
residential_25194050520000,retain_corrected,2008,exact_property_record,,https://www.redfin.com/IL/Chicago/11613-S-Church-St-60643/home/18953890,The exact parcel record dates the completed house to 2008.
residential_tieback_14314200490000,retain_selected,,sale_and_parcel_records,,,The first improved sale and predecessor parcel history support the selected 2006 project.
residential_17211330140000,retain_selected,,exact_property_records,,https://www.redfin.com/IL/Chicago/763-W-15th-St-60607/home/12693718,The three fee-simple University Village rowhouses are consistently dated to 2007.
residential_17211330170000,retain_selected,,exact_property_records,,https://www.redfin.com/IL/Chicago/745-W-15th-St-60607/home/12693717,The two fee-simple University Village rowhouses are consistently dated to 2007.
residential_17311070410000,retain_selected,,exact_property_records,,https://www.redfin.com/IL/Chicago/3226-S-Hamilton-Ave-60608/home/18953398,Separate parcels and parcel-specific records support the selected 2007 and 2008 years.
residential_17334041030000,retain_selected,,city_permit,100163336,,The Park Boulevard permit identifies the separately parceled townhouse buildings.
residential_19141220400000,retain_selected,,exact_property_record,,https://www.countyoffice.org/property-record-3718-w-58th-st-chicago-il-60629/,The exact parcel record identifies a 2007 house with matching physical fields.
residential_20223190280000,retain_selected,,improved_sale_and_property_record,,,The completion-period sale and exact parcel record support the selected 2007 house.
residential_20261000320000,exclude,,rehabilitation_record,,https://www.cookcountylandbank.org/property/839-e-71st-st/,The Land Bank records a rehabilitation of an existing building rather than new construction.
residential_13243060640000,retain_selected,,exact_property_record,,https://www.redfin.com/IL/Chicago/3419-N-Kedzie-Ave-60618/home/39994574,The exact parcel record confirms the 2008 public-record year and physical fields.
residential_16092270190000,retain_selected,,exact_property_record,,https://www.zillow.com/homedetails/440-N-Lavergne-Ave-Chicago-IL-60644/87718864_zpid/,The exact parcel record identifies a 2008 house.
residential_16132320260000,retain_selected,,improved_sale_and_property_record,,,The completion-period sale and exact parcel record support the selected 2008 house.
residential_16133040430000,retain_selected,,city_permit,100153502,,The exact-address permit identifies the three-unit building.
residential_17041310010000,retain_corrected,2006,exact_property_record,,https://www.countyoffice.org/property-record-1272-n-cleveland-ave-chicago-il-60610/,The exact parcel record dates the completed townhouse to 2006.
residential_17171050740000,retain_selected,,townhouse_development_records,,https://www.homesbymarco.com/subdivisions/1244_w_monroe_in_chicago_il,The rows are separately parceled townhouses and parcel-specific Assessor years are retained for the phased development.
residential_17211280030000,retain_corrected,2009,exact_property_record_and_development_permit,100178886,https://ilfls.com/listing/570-w-16th-st-chicago-il-60616-646372,The six-townhouse permit and exact parcel record date this unit to 2009.
residential_17271290810000,retain_selected,,improved_sale_and_property_record,,,The completion-period sale and exact parcel record support the selected 2008 house.
residential_20041220400000,retain_selected,,city_permit,100121895/100361949,,Exact-address permits identify the completed single-family house.
residential_20091110380000,retain_selected,,exact_property_record,,https://www.zillow.com/homedetails/729-W-49th-Pl-Chicago-IL-60609/87717391_zpid/,The exact parcel record identifies a 2008 house.
residential_25031150320000,exclude,,historical_industrial_and_vacant_site_records,,,Historical industrial use and current vacant-land records contradict the Assessor new-construction row.
residential_17211280040000,retain_selected,,city_permit_and_first_sales,100178886,,The development permit and 2010 first sales support the three completed townhouses.
residential_14083150640000,retain_corrected,2013,city_permit_and_development_records,100481925,https://www.compass.com/building/4832-n-clark-st-chicago-il-60640/594252811839762573/,The 23-rowhouse permit and development records date the completed project to 2013.
residential_14301100250000,retain_corrected,2013,exact_property_record,,https://www.redfin.com/IL/Chicago/3042-N-Hamilton-Ave-60618/home/13360817,The exact parcel record and first improved sale date the replacement house to 2013.
residential_20101110380000,retain_corrected,2013,contemporaneous_listing_records,,https://www.redfin.com/IL/Chicago/4830-S-King-Dr-60615/home/18952451,Contemporaneous listings identify both adjacent houses as new construction completed in 2013.
residential_14083150780000,retain_corrected,2013,city_permit_and_development_records,100481925,https://www.compass.com/building/4832-n-clark-st-chicago-il-60640/594252811839762573/,The 23-rowhouse permit and development records date the completed project to 2013.
residential_20034000840000,retain_selected,,city_permit_and_assessor_history,100802189,,The permit identifies five new townhouses and the parcel-specific Assessor records date the cohort to 2021.
residential_13154070500000,retain_selected,,city_permit,100862943,,The exact permit identifies the two-unit building at both parcel addresses.
