project_id,project_decision,corrected_year,evidence_type,evidence_ids,evidence_url,notes
residential_16013130430000,retain_corrected,2009,listing_and_permit_history,100127343,https://www.redfin.com/IL/Chicago/3126-W-Walton-St-60622/unit-3/home/28452147,Listings identify a 2009 four-unit building; the 2006 permit converted the newly developed property from three to four units.
residential_16013130440000,retain_corrected,2007,listing_and_permit_history,100127344,https://www.homes.com/property/3128-w-walton-st-chicago-il-unit-2/0le4kyk5teltd/,Listings identify a 2007 four-unit building; the 2006 permit converted the newly developed property from three to four units.
residential_16013130450000,retain_corrected,2009,listing_and_permit_history,100126945,https://www.redfin.com/IL/Chicago/3130-W-Walton-St-60622/unit-4/home/35636170,Listings identify a 2009 four-unit building; the 2006 permit converted the newly developed property from three to four units.
residential_16123250060000,retain_corrected,2008,new_construction_listing,100097840,https://www.redfin.com/IL/Chicago/3043-W-Washington-Blvd-60612/unit-2/home/13056767,The 2008 listing identifies a new three-unit building ready for occupancy; the 2006 alteration record is not the completion date.
residential_tieback_17071210020000,retain_selected,,city_new_construction_permit,100097763,,The later permit is a third-floor revision to the independently identified new house.
residential_19102040040000,retain_selected,,city_new_construction_permit,100094913,,The later existing-building language is a revision to the original new-construction permit.
commercial_17064080140000,retain_selected,,city_new_construction_permit,100443295/100464542,,Foundation and full-building permits identify the new 99-unit building; later existing-building language is a tenant build-out.
residential_multicard_14293050620000,retain_selected,,city_new_construction_permit,100652487,,The later existing-building language is a revision to the original new-house permit.
residential_17072170610000,retain_selected,,city_new_construction_permit,100506113,,The later existing-building records modify the completed single-family house.
residential_17091220110000,retain_selected,,city_new_construction_permit,100757692,,The later existing-building records are first-time tenant work and exterior changes to the completed townhome.
commercial_14313260840000,retain_selected,,demolition_and_new_building_records,100536596,,The demolition record predates the independently identified replacement building.
commercial_17092060390000,retain_selected,,city_new_construction_permit,100990134,,The new-building permit identifies the completed high-rise; the existing-building record is a later tenant build-out.
