project_id,review_status,project_exists,new_construction,construction_year_status,reviewed_construction_year,confidence,evidence_type,evidence_ids,evidence_url,notes,reviewed_dwelling_units,reviewed_building_sqft,reviewed_land_sqft,field_notes,reviewed_multifamily
residential_16043260140000,exclude,yes,no,not_applicable,,high,preperiod_sale_and_persistent_footprint,,https://www.redfin.com/IL/Chicago/5510-W-Chicago-Ave-60651/home/18951857,"The property sold as an improved site in 2005, before the sample, and the 2008 footprint records an older structure. No new-building permit or physical replacement supports the Assessor's later construction designation.",,,,,
residential_17071120240000,exclude,yes,no,not_applicable,,high,preperiod_sale_and_persistent_footprint,,https://www.redfin.com/IL/Chicago/2001-W-Huron-St-60612/home/14104194,"The property sold for $687,500 in 2003 and the official snapshots preserve an older footprint. The Assessor's 2006 year does not identify a new sample-period building.",,,,,
residential_13334050100000,exclude,yes,no,not_applicable,,high,city_permit,100165734,,The 2007 permit deconverts a factory and apartment to a warehouse and extends the second floor; it is not a new residential building.,,,,,
residential_20032100060000,exclude,yes,yes,corrected,2005,medium,mls_public_record,,https://www.compass.com/homedetails/4017-S-Vincennes-Ave-Chicago-IL-60653/1XBIAK_pid/,"The building is reported as built in 2005, before the analysis period; the Assessor selected 2007.",,,,,
residential_13024330230000,exclude,yes,no,not_applicable,,high,city_permit_and_historical_use,,,"Later permits describe an existing restaurant/commercial building, and the 2008 footprint reports 1970; the Assessor's 2008 new-construction designation is not credible.",,,,,
residential_16012130080000,exclude,yes,no,not_applicable,,high,preperiod_mls_record_and_persistent_footprint,,https://www.redfin.com/IL/Chicago/1439-N-Maplewood-Ave-60622/home/26830462,"The MLS record identifies the building as dating to 1995, and it sold for $656,000 in June 2006. The persistent older footprint and preperiod transaction outweigh the conflicting 2008 public-record year.",,,,,
residential_25173040090000,retain,yes,yes,confirmed,2008,medium,exact_pin_property_record,,https://www.crexi.com/property-records/25173040090000-CHICAGO-IL-60643/a22dbd0e18015f49f122c8a3d0c4da84824ce586,The exact PIN is consistently reported as a three-unit 2008 building with matching area fields; no contradictory permit was found.,,,,,
residential_16013130540000,exclude,yes,no,not_applicable,,high,city_permit,,,"The permit describes converting an existing three-unit building to four units, not constructing a new building.",,,,,
residential_14292010550000,retain,yes,yes,confirmed,2010,medium,city_permit_and_demolition,100229609,,"A site-specific permit describes a new mixed-use residential building and a demolition permit is present; the construction permit is marked expired, so 2010 remains based on the completed building and Assessor history.",,,,,
commercial_17064080140000,retain,yes,yes,corrected,2013,high,city_permits,100443295/100464542,https://www.forrent.com/il/chicago/1611-w-division/6mht01r,"Foundation and full-building permits were issued in 2012 and 2013 for the 99-unit building; the completed property is reported as built in 2013, not 2011.",,,,,
commercial_20032050390000,exclude,yes,no,not_applicable,,high,official_housing_records_and_existing_footprints,,https://www.loopnet.com/Listing/400-E-41st-St-Chicago-IL/4706984/,The PIN is part of the older Paul G. Stewart complex. Permit and footprint evidence do not support a separate 48-unit new building in 2011; commercial property sites appear to repeat the Assessor record.,,,,,
residential_14314280550000,retain,yes,yes,confirmed,2011,medium,exact_pin_property_record,,,The exact PIN and physical fields consistently identify a five-unit 2011 building; no contradictory permit was found.,,,,,
residential_17053000290000,retain,yes,yes,confirmed,2011,medium,demolition_and_assessor_history,,,"A 2010 demolition permit precedes the Assessor's first report of the six-unit building in 2012, supporting replacement construction around 2011.",,,,,
residential_17072080510000,retain,yes,yes,corrected,2014,medium,city_permit_and_property_record,100507436,,A permit applied for in 2013 describes the six-unit new building and property records report 2014; the Assessor's 2011 year predates the permit.,,,,,
residential_tieback_17072080250000,retain,yes,yes,corrected,2014,medium,city_permit_and_property_record,100507475,,A permit applied for in 2013 describes the six-unit new building and property records report 2014; the Assessor's 2011 year predates the permit.,,,,,
residential_16262000140000,retain,yes,yes,confirmed,2012,medium,city_permits,100199081/100433768,,The original new-building permit was issued in 2007 and reinstated in 2012; the Assessor begins reporting the completed building as 2011 and later revises it to 2012.,,,,,
residential_17072120520000,retain,yes,yes,corrected,2014,medium,city_permit_and_property_record,100507392,,A permit applied for in 2013 describes the six-unit new building and property records report 2014; the Assessor's 2012 year predates the permit.,,,,,
residential_25173040490000,retain,yes,yes,corrected,2009,medium,city_permit_and_property_record,100182858,,The 2007 permit identifies the four-unit new building and property records report completion around 2009; the Assessor's 2013 year is too late.,,,,,
commercial_14194140460000,retain,yes,yes,corrected,2015,high,city_permit_and_city_housing_report,100603054,https://www.chicagorehab.org/content/cms/documents/2015_Q2_AHP5_report.pdf,"The project is 3400 N Lincoln, not the historical 1728 W Roscoe parcel address. The new-building permit and City housing report place construction in 2015; the permit revision reduced the planned unit count from 48 to 47.",47,,,The City report supplies the completed unit count; other physical fields remain from the Assessor.,
residential_13254270240000,retain,yes,yes,corrected,2016,medium,exact_pin_property_record,,,The completed building is consistently reported as built in 2016; the Assessor's selected 2015 year is one year early.,,,,,
commercial_14303020298002,retain,yes,yes,confirmed,2017,high,developer_and_project_record,,https://www.taylorjohnson.com/tj-news/related-midwest-heartland-housing-bickerdike-redevelopment-corporation-and-chicago-housing-authority-celebrate-the-grand-opening-of-lathrop-residences-riverwalk-and-park-in-chicago/,"Project records identify a new six-story 59-unit building, with construction beginning in 2017.",,,,,
residential_17041100730000,retain,yes,yes,confirmed,2018,medium,exact_pin_property_record,,,The exact PIN consistently identifies a three-unit building completed in 2018/2019 with matching physical fields.,,,,,
residential_14081010440000,exclude,yes,no,not_applicable,,high,city_permit_historical_record_and_persistent_footprint,,https://www.zillow.com/homedetails/5531-N-Clark-St-Chicago-IL-60640/80808809_zpid/,The site contains an older building and later permits describe work on an existing structure. The 2019 Assessor row reflects a parcel/record change rather than a new building.,,,,,
commercial_13143310300000,retain,yes,yes,corrected,2019,high,developer_city_and_housing_records,,https://www.taylorjohnson.com/tj-news/evergreen-real-estate-group-celebrates-ribbon-cutting-of-independence-apartments-bringing-co-located-affordable-senior-housing-and-public-library-to-chicagos-irving-park-neighborhood/,"Independence Apartments is a new 44-unit building completed and opened in 2019, not 2020.",,,,,
commercial_13253140740000,retain,yes,yes,confirmed,2020,high,city_permits,100747866/100769962/100779277,,"Multiple foundation and full-building permits identify the 220-unit mixed-use project, completed in 2020.",,,,,
residential_297_group_13143320420000,exclude,yes,no,not_applicable,,high,historical_business_records_and_persistent_footprint,,https://www.redfin.com/IL/Chicago/4031-N-Elston-Ave-60618/home/21879783,The address was an operating auto dealership before and after the claimed year. Nearby new-building permits belong to different addresses and expired; no completed 2021 building is supported at this PIN.,,,,,
commercial_17042210990000,retain,yes,yes,confirmed,2012,high,developer_project_record,,https://jdlcorp.com/projects/1225-old-town,The 250-unit 1225 Old Town project broke ground in 2011 and was completed in 2012; the later office permit in the local permit history is unrelated to initial construction.,250,,,The independent project record confirms the Assessor unit count and construction year.,
commercial_17083380260000,retain,yes,yes,corrected,2014,high,city_permits_and_project_record,100491297/100516509,https://yochicago.com/the-madison-apartments-1212-w-madison-west-loop/,Foundation and full-building permits identify the 216-unit building at 1164 W Madison. Construction began in 2013 and occupancy began in 2014; the Assessor's selected 2011 year is too early.,216,,,The permit address and completed project address differ from the historical PIN label but identify the same development.,
commercial_17164010220000_tower_a,retain,yes,yes,corrected,2020,high,developer_architect_and_project_records,,https://www.pappageorgehaymes.com/projects/alta-grand-central/,"Alta Grand Central consists of two 14-story towers completed in 2020. Contemporary project records identify 173 apartments in each tower, not the Assessor's 176.",173,,,Tower-specific unit count corrected from approved project records.,
