stage,reference_location,reference_sha256,restored_sha256,comparison,check_scope,checked_date
eligibility_rule_validation.csv,tasks/audits/new_construction_universe_validation/output/eligibility_rule_validation.csv,bc9add3fbed5ca71637b785c4ee2ed1bea2b9e8a848701b493963a377ab02dc7,bc9add3fbed5ca71637b785c4ee2ed1bea2b9e8a848701b493963a377ab02dc7,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
eligibility_uncorroborated_retained.csv,tasks/audits/new_construction_universe_validation/output/eligibility_uncorroborated_retained.csv,d86eccca65a5390552ab9b86c8252825bec6c3fba84aeeb857614f469e84b1e1,d86eccca65a5390552ab9b86c8252825bec6c3fba84aeeb857614f469e84b1e1,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
multifamily_classification_decisions.csv,tasks/audits/new_construction_universe_validation/output/multifamily_classification_decisions.csv,4969a3df4f550e64c2e31d4cf0b79ab322be525e1527a2f7cd32f6c2d1788889,4969a3df4f550e64c2e31d4cf0b79ab322be525e1527a2f7cd32f6c2d1788889,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
provisional_validated_density_input.csv,tasks/audits/new_construction_universe_validation/output/provisional_validated_density_input.csv,d843aea2e831d302e21fa0d4d9c7abc14e421f46cca97f2a22779fe28107102c,d843aea2e831d302e21fa0d4d9c7abc14e421f46cca97f2a22779fe28107102c,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
historical_permit_project_evidence.csv,tasks/audits/new_construction_universe_validation/output/historical_permit_project_evidence.csv,7b782e0ede2fb1b89acd0984b56658c6385e41c0d6bcbb1af953460d01ae6bb9,7b782e0ede2fb1b89acd0984b56658c6385e41c0d6bcbb1af953460d01ae6bb9,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
project_evidence_inventory.csv,tasks/audits/new_construction_universe_validation/output/project_evidence_inventory.csv,d187cdfe4463b49eb16d4f671709d8cd7397519b50db52e2323ff1d11bb8b434,d187cdfe4463b49eb16d4f671709d8cd7397519b50db52e2323ff1d11bb8b434,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
permit_rule_coverage.csv,tasks/audits/new_construction_universe_validation/output/permit_rule_coverage.csv,7cee0ef8eb98c168db6e1520c1a6f795ccd1a92771075b630968be62130e2c8b,7cee0ef8eb98c168db6e1520c1a6f795ccd1a92771075b630968be62130e2c8b,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
presample_assessor_structure_evidence.csv,tasks/audits/new_construction_universe_validation/output/presample_assessor_structure_evidence.csv,bb5a75c2fa9395de8fb5bd9a200d3aad4dd44664f2d1e4d3148cdce460cc5171,bb5a75c2fa9395de8fb5bd9a200d3aad4dd44664f2d1e4d3148cdce460cc5171,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
predecessor_assessor_evidence.csv,tasks/audits/new_construction_universe_validation/output/predecessor_assessor_evidence.csv,1d5c46c40e9f86e116f0be91f416ad5fc6879cb6d4e903dc198e51d5f90a55bd,1d5c46c40e9f86e116f0be91f416ad5fc6879cb6d4e903dc198e51d5f90a55bd,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
commercial_completion_evidence.csv,tasks/audits/commercial_new_construction_sample_audit/output/commercial_completion_evidence.csv,99c1d8c359077327e4706cf727664624d035154998494859f45aaa87eaba858c,99c1d8c359077327e4706cf727664624d035154998494859f45aaa87eaba858c,byte_identical,stage_or_partial_chain_on_preserved_upstream_projects,2026-09-04
